Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,Caucasian,37,3,0,0.051941946347110274,0
race,Caucasian,37,4,0,0.020783599400176336,0
race,Caucasian,19,2,0,0.08158082949711055,0
race,Caucasian,19,4,0,0.15173731941034718,0
race,Caucasian,19,4,1,0.13069442359270506,0
race,Caucasian,44,2,0,0.07976451010576938,0
race,Caucasian,44,4,0,0.03932312955499887,0
race,Caucasian,24,4,0,0.07529868502269614,0
race,Caucasian,21,4,1,0.052953467654655945,0
race,Caucasian,21,2,0,0.08578284354177747,0
race,Caucasian,21,4,0,0.11746725870685623,0
race,Caucasian,45,4,0,0.03634353260687702,0
race,Caucasian,54,3,0,0.016371486555065973,0
race,Caucasian,26,4,0,0.06972560043444254,0
race,Caucasian,26,4,1,0.08693870553923155,0
race,Caucasian,20,3,0,0.08917308435404742,0
race,Caucasian,20,4,0,0.14693076287642065,0
race,Caucasian,20,4,1,0.0891807480535132,0
race,Caucasian,41,4,0,0.03293309555919544,0
race,Caucasian,41,4,1,0.07602334042880717,0
race,Caucasian,47,3,0,0.028789522678557538,0
race,Caucasian,47,4,0,0.02169544745830104,0
race,Caucasian,47,4,1,0.10628342082342407,0
race,Caucasian,29,4,0,0.059579217067187315,0
race,Caucasian,29,3,1,0.04199350372591126,0
race,Caucasian,29,4,1,0.10213126285666133,0
race,Caucasian,22,2,0,0.07720123326850843,0
race,Caucasian,22,4,0,0.08373756685221939,0
race,Caucasian,22,4,1,0.1170621601687149,0
race,Caucasian,51,4,0,0.04461794486481646,0
race,Caucasian,18,4,0,0.11640015084350083,0
race,Caucasian,39,2,0,0.038745797609342755,0
race,Caucasian,39,4,1,0.027225874248169895,0
race,Caucasian,50,4,0,0.08629956807505722,0
race,Caucasian,23,4,1,0.05332658849829711,0
race,Caucasian,23,3,0,0.045706545444195175,0
race,Caucasian,23,4,0,0.12192531367157791,0
race,Caucasian,52,4,1,0.017549386600007478,0
race,Caucasian,52,3,0,0.06545200866650171,0
race,Caucasian,52,4,0,0.03058792359021287,0
race,Caucasian,58,4,0,0.025957964055431954,0
race,Caucasian,46,3,0,0.07029787173454927,0
race,Caucasian,46,4,0,0.04567453849813464,0
race,Caucasian,30,3,0,0.0715604649839822,0
race,Caucasian,30,4,0,0.06836783531269908,0
race,Caucasian,40,3,0,0.03558683074169413,0
race,Caucasian,40,4,0,0.03823174989004883,0
race,Caucasian,40,2,1,0.047865602457474524,0
race,Caucasian,40,4,1,0.057691268320740875,0
race,Caucasian,42,3,0,0.02258616610005134,0
race,Caucasian,42,4,0,0.05567004992710224,0
race,Caucasian,48,4,0,0.0553569805800747,0
race,Caucasian,33,3,0,0.08427017280366017,0
race,Caucasian,33,4,0,0.06377220228542001,0
race,Caucasian,53,4,0,0.034317987818033274,0
race,Caucasian,53,4,1,0.07280896981574606,0
race,Caucasian,28,4,1,0.1257054160238754,0
race,Caucasian,28,4,0,0.045815266244131896,0
race,Caucasian,34,4,1,0.09059816200499485,0
race,Caucasian,34,3,0,0.05641663778778404,0
race,Caucasian,34,4,0,0.048158923102748157,0
race,Caucasian,25,4,1,0.07309598741974856,0
race,Caucasian,25,3,0,0.038342190587472,0
race,Caucasian,25,4,0,0.11432209338357369,0
race,Caucasian,38,4,0,0.10096312542364944,0
race,Caucasian,27,4,0,0.08052279734371126,0
race,Caucasian,27,4,1,0.06367419257929949,0
race,Caucasian,36,4,1,0.04146748011163286,0
race,Caucasian,32,4,0,0.039386810171641695,0
race,Caucasian,61,4,0,0.03213622013267404,0
race,Caucasian,43,2,0,0.01873751657877643,0
race,Caucasian,43,4,0,0.03394946984409587,0
race,Caucasian,63,2,0,0.015371239897737097,0
race,Caucasian,35,3,0,0.02924068215162792,0
race,Caucasian,31,4,1,0.0510236430172348,0
race,Caucasian,31,2,0,0.06249563643792423,0
race,Caucasian,57,3,0,0.032745414884199006,0
race,Caucasian,56,3,0,0.01604141424121593,0
race,Caucasian,56,4,1,0.04028747776747931,0
race,Caucasian,60,4,0,0.0701739167285933,0
race,Caucasian,49,4,1,0.08419434335255081,0
race,Caucasian,55,4,0,0.07412386009260133,0
race,African-American,47,4,0,0.037768563504156874,0
race,African-American,47,4,1,0.1256340267786235,0
race,African-American,39,4,0,0.05962788938555905,0
race,African-American,34,2,0,0.027862378016276917,0
race,African-American,34,4,0,0.10982277664818706,0
race,African-American,24,4,0,0.08940991940096801,0
race,African-American,24,3,1,0.03614366413444235,0
race,African-American,24,4,1,0.12611950290184717,0
race,African-American,33,4,0,0.13779154628411852,0
race,African-American,33,4,1,0.32395016176741426,0
race,African-American,49,4,1,0.057097511419648826,0
race,African-American,49,2,0,0.06073142717470738,0
race,African-American,49,4,0,0.08056181001276372,0
race,African-American,25,3,1,0.0881754322537392,0
race,African-American,25,4,1,0.10357670652312706,0
race,African-American,25,3,0,0.03844759582809901,0
race,African-American,25,4,0,0.09576449512441215,0
race,African-American,23,4,1,0.15402863465666686,0
race,African-American,23,2,0,0.044314400042073786,0
race,African-American,23,4,0,0.10415043813719083,0
race,African-American,27,4,1,0.11884664236735686,0
race,African-American,27,4,0,0.06655622099572223,0
race,African-American,19,4,1,0.08150201748340992,0
race,African-American,19,3,0,0.07871461250956832,0
race,African-American,19,4,0,0.11062431707724063,0
race,African-American,28,3,0,0.09707312297216499,0
race,African-American,28,4,0,0.10138154590297932,0
race,African-American,28,4,1,0.10742257126641315,0
race,African-American,37,4,0,0.1123203614872823,0
race,African-American,30,2,0,0.02785114682345225,0
race,African-American,30,3,0,0.02545655456866487,0
race,African-American,30,4,0,0.054377816415375,0
race,African-American,51,4,1,0.09881166559232349,0
race,African-American,26,4,0,0.08938088121625619,0
race,African-American,26,3,1,0.02683067112754743,0
race,African-American,26,4,1,0.10447011191976545,0
race,African-American,48,4,0,0.04927003136119835,0
race,African-American,48,4,1,0.054796512230943346,0
race,African-American,52,4,1,0.13432119057929404,0
race,African-American,43,4,0,0.06868029605436678,0
race,African-American,18,2,1,0.08783548488929276,0
race,African-American,18,4,1,0.1465962202472279,0
race,African-American,18,2,0,0.11089172453222011,0
race,African-American,18,3,0,0.061734258829738334,0
race,African-American,18,4,0,0.12566285714537714,0
race,African-American,20,4,0,0.11133046256089534,0
race,African-American,20,4,1,0.06171822850156789,0
race,African-American,21,2,0,0.05025160302621845,0
race,African-American,21,3,0,0.08074730132550546,0
race,African-American,21,4,0,0.09965856467484474,0
race,African-American,21,3,1,0.08685721639196765,0
race,African-American,21,4,1,0.08114895757687296,0
race,African-American,22,2,0,0.08077563933007288,0
race,African-American,22,4,0,0.08558944951258192,0
race,African-American,22,2,1,0.03623023649686244,0
race,African-American,22,4,1,0.08324290992829754,0
race,African-American,29,4,0,0.09295655452198116,0
race,African-American,58,4,0,0.015441811827613323,0
race,African-American,56,4,1,0.0709316216637974,0
race,African-American,56,4,0,0.03751355913794137,0
race,African-American,54,4,0,0.07017102033096612,0
race,African-American,50,4,0,0.17443755812634243,0
race,African-American,50,4,1,0.07871061605457666,0
race,African-American,45,2,0,0.019469341082137256,0
race,African-American,45,4,0,0.13988470599599412,0
race,African-American,63,3,0,0.03239312165283221,0
race,African-American,41,2,0,0.02617460558103912,0
race,African-American,41,4,0,0.06924512856201744,0
race,African-American,40,4,0,0.042403827058103936,0
race,African-American,35,2,0,0.07258282101053543,0
race,African-American,35,4,0,0.06829611180154684,0
race,African-American,32,3,0,0.04489304106780809,0
race,African-American,32,4,0,0.07552158186575117,0
race,African-American,36,3,0,0.04062797784687988,0
race,African-American,36,4,0,0.08520193528288354,0
race,African-American,38,4,0,0.1412592608801754,0
race,African-American,31,4,0,0.04517561794623054,0
race,African-American,53,3,0,0.015713234740849867,0
race,African-American,53,4,0,0.05020088214455939,0
race,African-American,46,4,1,0.09539313608953928,0
race,African-American,44,4,0,0.02141044896765374,0
race,African-American,42,4,0,0.1401706524879868,0
race,African-American,55,4,1,0.0420079056235341,0
race,Other,25,4,0,0.019711672261803034,0
race,Other,27,4,0,0.03138023254400656,0
race,Other,39,3,0,0.03987714368369638,0
race,Other,35,3,0,0.02586045772789631,0
race,Other,35,4,0,0.028520607567502812,0
race,Other,29,2,0,0.07963627339745569,0
race,Other,28,4,0,0.05206428469941385,0
race,Other,43,4,0,0.18735210763474314,0
race,Other,18,3,0,0.12739373887905944,0
race,Other,36,4,1,0.020853275632359253,0
race,Other,36,4,0,0.08229860286885071,0
race,Other,26,4,0,0.060758913681191656,0
race,Other,24,4,0,0.14568575316087573,0
race,Other,21,3,0,0.041485565471687275,0
race,Other,21,4,1,0.1554844698916215,0
race,Other,46,4,0,0.04235835009956144,0
race,Other,22,4,1,0.051137709956275,0
race,Other,45,4,0,0.023992495910069186,0
race,Other,40,4,0,0.04958519876595454,0
race,Hispanic,27,2,0,0.027465324700654672,0
race,Hispanic,42,4,0,0.0809004023122796,0
race,Hispanic,25,4,0,0.11866423642607829,0
race,Hispanic,23,4,0,0.060339463337820066,0
race,Hispanic,49,4,0,0.058636690588569615,0
race,Hispanic,38,3,0,0.03997329218852875,0
race,Hispanic,21,4,0,0.10253254226182328,0
race,Hispanic,35,2,0,0.02305391286063032,0
race,Hispanic,35,3,0,0.06002213012560887,0
race,Hispanic,35,4,1,0.3342772746584967,0
race,Hispanic,45,4,0,0.042059722347695276,0
race,Hispanic,24,4,0,0.08675570119787046,0
race,Hispanic,20,3,0,0.11152311791803919,0
race,Hispanic,20,4,0,0.13048702494945566,0
race,Hispanic,28,4,1,0.07003223742624559,0
race,Hispanic,18,4,0,0.14248231348849003,0
race,Hispanic,18,2,1,0.12805304598445066,0
race,Hispanic,32,4,1,0.03898096779381362,0
sex,male,37,3,0,0.051941946347110274,0
sex,male,37,4,0,0.08943617096550582,0
sex,male,19,2,0,0.05691885466110346,0
sex,male,19,3,0,0.03885935540384361,0
sex,male,19,4,0,0.11727593481588611,0
