Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,48,4,0,0.0009690536839190103,0
race,African-American,19,3,0,0.0036605385897935682,0
race,African-American,19,4,0,0.001656626485753344,0
race,African-American,19,4,1,0.0007676836983810946,0
race,African-American,31,4,0,0.016428595940094583,0
race,African-American,29,2,0,0.000849458115189586,0
race,African-American,29,4,0,0.001482934244870457,0
race,African-American,29,4,1,0.0014879141620035465,0
race,African-American,24,4,0,0.0013035211366094982,0
race,African-American,24,4,1,0.002515180471198441,0
race,African-American,26,2,0,0.0013791648511973734,0
race,African-American,26,3,0,0.0010044520129126328,0
race,African-American,26,4,0,0.0025101226632910545,0
race,African-American,30,4,0,0.0019553982997364415,0
race,African-American,58,4,0,0.0016060460088780655,0
race,African-American,35,2,0,0.0014894596716688116,0
race,African-American,35,4,0,0.0012318213659667475,0
race,African-American,18,3,0,0.00213661755944641,0
race,African-American,18,4,0,0.0011898870346284272,0
race,African-American,18,4,1,0.0012882118263936088,0
race,African-American,27,4,0,0.0015316184145357252,0
race,African-American,38,3,0,0.0006674323782588054,0
race,African-American,38,4,0,0.0011374744158482355,0
race,African-American,23,2,0,0.001528257958935305,0
race,African-American,23,4,0,0.001167632486655031,0
race,African-American,23,4,1,0.0026919072330951876,0
race,African-American,25,3,0,0.0026684579355820367,0
race,African-American,25,4,0,0.0018979084368902538,0
race,African-American,25,4,1,0.0008680723209027486,0
race,African-American,34,3,0,0.001497273360242195,0
race,African-American,34,4,0,0.0009963536438247116,0
race,African-American,33,4,0,0.0024330594056116033,0
race,African-American,33,4,1,0.010455888447182931,0
race,African-American,47,4,0,0.0005353101905440556,0
race,African-American,28,4,0,0.0011935720911090857,0
race,African-American,28,4,1,0.001467110798799128,0
race,African-American,20,2,0,0.0015149446578700348,0
race,African-American,20,3,0,0.0015843214487183117,0
race,African-American,20,4,0,0.0011662639657540874,0
race,African-American,45,4,0,0.0007247069486532468,0
race,African-American,54,4,0,0.0028476300504662743,0
race,African-American,22,2,0,0.0010288763484336378,0
race,African-American,22,4,0,0.001534874232727854,0
