Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,48,4,0,0.44119608004941735,0
race,African-American,19,3,0,0.522818756567311,0
race,African-American,19,4,0,0.5667439703000191,0
race,African-American,31,4,0,0.5124672627973864,0
race,African-American,31,4,1,0.4778497242450603,0
race,African-American,29,2,0,0.37845086581149634,0
race,African-American,29,4,0,0.5447953612386345,0
race,African-American,29,4,1,0.6017945058770174,0
race,African-American,24,4,0,0.5468998223254223,0
race,African-American,26,2,0,0.4775145934839247,0
race,African-American,26,4,0,0.5450272398955609,0
race,African-American,26,3,1,0.4475602163331982,0
race,African-American,30,4,0,0.48553240671583087,0
race,African-American,58,4,0,0.43582596945202634,0
race,African-American,35,2,0,0.45230612985881813,0
race,African-American,35,4,0,0.5607101481165375,0
race,African-American,18,3,0,0.5204129933714201,0
race,African-American,18,4,0,0.5619412217610821,0
race,African-American,27,4,0,0.5333238720758467,0
race,African-American,27,4,1,0.502102579329795,0
race,African-American,38,3,0,0.35419387720895973,0
race,African-American,38,4,0,0.45567062214579396,0
race,African-American,23,2,0,0.49296812159581493,0
race,African-American,23,4,0,0.5545192706221566,0
race,African-American,23,4,1,0.5141952015382387,0
race,African-American,25,3,0,0.4992668973991048,0
race,African-American,25,4,0,0.5146882736079641,0
race,African-American,25,4,1,0.5948365511035468,0
race,African-American,34,3,0,0.33490806209010865,0
race,African-American,34,4,0,0.44754807753834897,0
race,African-American,33,4,0,0.44104860043810445,0
race,African-American,33,4,1,0.5477553352733548,0
race,African-American,47,4,0,0.44307717882660547,0
race,African-American,28,4,0,0.5074141240419083,0
race,African-American,28,4,1,0.4901152265349174,0
race,African-American,20,2,0,0.5221902370489406,0
race,African-American,20,3,0,0.4994082333608404,0
race,African-American,20,4,0,0.6315950719345298,0
race,African-American,20,4,1,0.4506462897299016,0
race,African-American,45,4,0,0.5603728986350358,0
race,African-American,54,4,0,0.5568491884184409,0
race,African-American,22,2,0,0.4692219922376289,0
race,African-American,22,4,0,0.5752991032085387,0
race,African-American,49,4,0,0.40831385248655117,0
