Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,48,4,0,0.05801021958483566,0
race,African-American,19,3,0,0.11920292202211755,0
race,African-American,19,4,0,0.12057723350184554,0
race,African-American,31,4,0,0.037643708458194695,0
race,African-American,29,2,0,0.01798620996209156,0
race,African-American,29,4,0,0.020254497984300124,0
race,African-American,24,4,0,0.027306051711922755,0
race,African-American,26,2,0,0.01798620996209156,0
race,African-American,26,3,0,0.01798620996209156,0
race,African-American,26,4,0,0.04251076078633318,0
race,African-American,58,4,0,0.012339530443188206,0
race,African-American,35,2,0,0.01798620996209156,0
race,African-American,35,4,0,0.09037062853802141,0
race,African-American,18,3,0,0.11920292202211755,0
race,African-American,18,4,0,0.21095462771835938,0
race,African-American,27,4,0,0.028793175682080334,0
race,African-American,38,3,0,0.04742587317756678,0
race,African-American,38,4,0,0.04419620795689575,0
race,African-American,23,2,0,0.04742587317756678,0
race,African-American,23,4,0,0.056522717879099196,0
race,African-American,23,4,1,0.03270604156982917,0
race,African-American,25,3,0,0.0066928509242848554,0
race,African-American,25,4,0,0.027376534472207593,0
race,African-American,25,4,1,0.09527723907393397,0
race,African-American,34,4,1,0.11920292202211755,0
race,African-American,34,3,0,0.01798620996209156,0
race,African-American,34,4,0,0.01045730393688709,0
race,African-American,33,4,0,0.025289795692181805,0
race,African-American,47,4,0,0.04419620795689575,0
race,African-American,28,4,0,0.013728377627495448,0
race,African-American,20,2,0,0.08331439759984216,0
race,African-American,20,3,0,0.11920292202211755,0
race,African-American,20,4,0,0.0846041698412022,0
race,African-American,45,4,0,0.08331439759984216,0
race,African-American,54,4,0,0.04742587317756678,0
race,African-American,22,2,0,0.11920292202211753,0
race,African-American,22,4,0,0.10818009447927611,0
race,African-American,49,4,0,0.0629478864732012,0
race,African-American,21,2,0,0.04742587317756678,0
race,African-American,21,3,0,0.07135155612575036,0
race,African-American,21,4,0,0.12096989392462497,0
race,African-American,21,4,1,0.2689414213699951,0
race,African-American,39,4,0,0.01798620996209156,0
race,African-American,50,4,0,0.0066928509242848554,0
race,African-American,30,4,0,0.02732675594689142,0
race,African-American,36,2,0,0.01798620996209156,0
race,African-American,36,4,0,0.06859456599210455,0
race,African-American,46,3,0,0.04742587317756678,0
race,African-American,46,4,0,0.0066928509242848554,0
race,African-American,46,4,1,0.11920292202211755,0
race,African-American,43,4,0,0.05801021958483566,0
race,African-American,44,4,0,0.0629478864732012,0
race,African-American,56,4,0,0.012339530443188206,0
race,African-American,37,4,0,0.09527723907393397,0
race,African-American,42,2,0,0.01798620996209156,0
race,African-American,42,4,0,0.01045730393688709,0
race,African-American,53,4,0,0.03270604156982917,0
race,African-American,32,3,0,0.01798620996209156,0
race,African-American,32,4,0,0.012339530443188208,0
race,African-American,62,4,0,0.11920292202211755,0
race,African-American,40,4,0,0.04742587317756678,0
race,African-American,66,4,0,0.11920292202211755,0
race,African-American,51,4,0,0.01798620996209156,0
race,African-American,52,3,0,0.01798620996209156,0
race,African-American,59,4,0,0.04742587317756678,0
race,Hispanic,42,4,0,0.06859456599210455,0
race,Hispanic,27,3,0,0.04742587317756678,0
race,Hispanic,27,4,0,0.04742587317756678,0
race,Hispanic,55,3,0,0.0066928509242848554,0
race,Hispanic,20,3,0,0.04742587317756678,0
race,Hispanic,20,4,0,0.01798620996209156,0
race,Hispanic,49,4,0,0.06859456599210455,0
race,Hispanic,23,4,0,0.11920292202211755,0
race,Hispanic,25,4,0,0.0066928509242848554,0
race,Hispanic,54,4,0,0.0066928509242848554,0
race,Hispanic,24,4,0,0.0066928509242848554,0
race,Hispanic,34,4,0,0.01798620996209156,0
race,Hispanic,29,4,0,0.0066928509242848554,0
race,Hispanic,38,3,0,0.01798620996209156,0
race,Hispanic,22,4,0,0.04742587317756678,0
race,Hispanic,28,3,0,0.01798620996209156,0
race,Hispanic,45,4,0,0.04742587317756678,0
race,Hispanic,39,4,0,0.2689414213699951,0
race,Hispanic,36,4,0,0.01798620996209156,0
race,Hispanic,32,4,0,0.012339530443188206,0
race,Hispanic,26,4,0,0.11920292202211755,0
race,Caucasian,39,2,0,0.01798620996209156,0
race,Caucasian,39,4,0,0.03371220875897407,0
race,Caucasian,40,3,0,0.04742587317756678,0
race,Caucasian,40,4,0,0.006692850924284855,0
race,Caucasian,25,3,0,0.03270604156982917,0
race,Caucasian,25,4,0,0.045488074045164154,0
race,Caucasian,53,4,0,0.0066928509242848554,0
race,Caucasian,41,4,0,0.14346381566604333,0
race,Caucasian,18,2,0,0.11920292202211755,0
race,Caucasian,18,4,0,0.22220959839989476,0
race,Caucasian,34,3,0,0.01798620996209156,0
race,Caucasian,34,4,0,0.017246140979100745,0
race,Caucasian,32,4,0,0.01798620996209156,0
race,Caucasian,21,2,0,0.04742587317756678,0
race,Caucasian,21,3,0,0.04742587317756678,0
race,Caucasian,21,4,0,0.10135570451244812,0
race,Caucasian,21,4,1,0.04742587317756678,0
race,Caucasian,26,4,0,0.014221756949489323,0
race,Caucasian,51,2,0,0.01798620996209156,0
race,Caucasian,24,3,0,0.01798620996209156,0
race,Caucasian,24,4,0,0.01798620996209156,0
race,Caucasian,49,4,1,0.11920292202211755,0
race,Caucasian,49,4,0,0.0066928509242848554,0
race,Caucasian,56,4,0,0.02705936205092582,0
race,Caucasian,48,4,0,0.014221756949489323,0
race,Caucasian,37,3,0,0.01798620996209156,0
race,Caucasian,37,4,0,0.012339530443188206,0
race,Caucasian,20,2,0,0.04742587317756678,0
race,Caucasian,20,3,0,0.04742587317756678,0
race,Caucasian,20,4,0,0.15818364727378095,0
race,Caucasian,20,4,1,0.04742587317756678,0
race,Caucasian,54,3,0,0.01798620996209156,0
race,Caucasian,54,4,1,0.01798620996209156,0
race,Caucasian,46,3,0,0.01798620996209156,0
race,Caucasian,46,4,0,0.0066928509242848554,0
race,Caucasian,28,4,0,0.06859456599210455,0
race,Caucasian,50,2,0,0.04742587317756678,0
race,Caucasian,50,3,0,0.01798620996209156,0
race,Caucasian,50,4,0,0.0066928509242848554,0
race,Caucasian,23,4,0,0.012339530443188206,0
race,Caucasian,58,4,0,0.0066928509242848554,0
race,Caucasian,29,4,0,0.01798620996209156,0
race,Caucasian,47,4,0,0.0066928509242848554,0
race,Caucasian,42,3,0,0.0066928509242848554,0
race,Caucasian,22,4,0,0.06436082742919699,0
race,Caucasian,33,4,0,0.01798620996209156,0
race,Caucasian,27,4,0,0.08331439759984216,0
race,Caucasian,27,4,1,0.0066928509242848554,0
race,Caucasian,38,4,0,0.01798620996209156,0
race,Caucasian,30,4,0,0.024034978021314397,0
race,Caucasian,52,4,1,0.01798620996209156,0
race,Caucasian,52,3,0,0.04742587317756678,0
race,Caucasian,43,4,0,0.01798620996209156,0
race,Caucasian,31,4,0,0.024034978021314397,0
race,Caucasian,63,2,0,0.01798620996209156,0
race,Caucasian,45,3,0,0.04742587317756678,0
race,Caucasian,45,4,0,0.01798620996209156,0
race,Caucasian,44,4,0,0.01798620996209156,0
