Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,48,4,0,0.009814101111488893,0
race,African-American,19,4,0,0.012039949196536935,0
race,African-American,19,3,1,0.00745481514240912,0
race,African-American,31,4,0,0.018893751106512497,0
race,African-American,31,4,1,0.005901076233086622,0
race,African-American,29,2,0,0.004356033390283198,0
race,African-American,29,4,0,0.010661388370308245,0
race,African-American,24,4,0,0.011251488251339904,0
race,African-American,26,2,0,0.0063985584940848255,0
race,African-American,26,4,0,0.009753585647660691,0
race,African-American,26,3,1,0.004652512812010341,0
race,African-American,30,4,0,0.010975669271282898,0
race,African-American,58,4,0,0.005654501418420386,0
race,African-American,35,2,0,0.005589550371094526,0
race,African-American,35,4,0,0.021226047676773094,0
race,African-American,18,3,0,0.009036393014597115,0
race,African-American,18,4,0,0.013661034034207604,0
race,African-American,18,4,1,0.013892076874263732,0
race,African-American,27,4,0,0.01097603002958442,0
race,African-American,38,3,0,0.005653981353990841,0
race,African-American,38,4,0,0.009748226129316742,0
race,African-American,23,2,0,0.007341577559210581,0
race,African-American,23,4,0,0.01221130977356369,0
race,African-American,23,4,1,0.012430584256853255,0
race,African-American,25,3,0,0.006324429972743161,0
race,African-American,25,4,0,0.008993607068204264,0
race,African-American,25,4,1,0.025169229013785818,0
race,African-American,34,4,1,0.02303680073372581,0
race,African-American,34,3,0,0.003521365800975707,0
race,African-American,34,4,0,0.008591363302235417,0
race,African-American,33,4,0,0.00790739510474987,0
race,African-American,33,4,1,0.007606193067780382,0
race,African-American,47,4,0,0.007699847036127582,0
race,African-American,28,4,0,0.008695735239762704,0
race,African-American,20,2,0,0.007406196196651572,0
race,African-American,20,3,0,0.004498560345707024,0
race,African-American,20,4,0,0.011884885130339218,0
race,African-American,20,4,1,0.008635266104434405,0
race,African-American,45,4,0,0.03753412777029504,0
race,African-American,54,4,0,0.007626450925027107,0
race,African-American,22,2,0,0.006892918205160703,0
race,African-American,22,4,0,0.01116869308484288,0
race,African-American,22,4,1,0.011319734989413768,0
race,African-American,49,4,0,0.006696115180865225,0
race,African-American,21,2,0,0.007185182129392043,0
race,African-American,21,3,0,0.007444266533979821,0
race,African-American,21,4,0,0.011019828755601084,0
race,African-American,21,4,1,0.017899892790078066,0
race,African-American,39,4,0,0.0075901417716258196,0
race,African-American,50,4,0,0.006547748260403343,0
race,African-American,36,2,0,0.00422042244123158,0
race,African-American,36,4,0,0.008588014609898408,0
race,African-American,46,3,0,0.006309150713713509,0
race,African-American,46,4,0,0.0039438036538424195,0
race,African-American,46,4,1,0.02670922882093208,0
race,African-American,42,2,0,0.004620665921775397,0
race,African-American,42,4,0,0.007180274685058996,0
race,African-American,44,4,0,0.04096077741453914,0
race,African-American,43,4,0,0.015272365950105208,0
race,African-American,56,4,0,0.006133357512311069,0
race,African-American,37,4,0,0.012864129785042498,0
race,African-American,53,4,0,0.006214383611997938,0
race,African-American,32,3,0,0.00531960134389387,0
race,African-American,32,4,0,0.007831994841443179,0
race,African-American,32,3,1,0.0069620529782473475,0
race,African-American,62,4,0,0.013279802496134564,0
race,African-American,40,4,0,0.010454380318907105,0
race,African-American,66,4,0,0.038584889787709714,0
race,African-American,51,4,0,0.006030937176056955,0
race,African-American,52,3,0,0.005728242040136933,0
race,African-American,59,4,0,0.010047861097664446,0
race,Hispanic,42,4,0,0.008046775426726922,0
race,Hispanic,27,3,0,0.006275815783488853,0
race,Hispanic,27,4,0,0.006483987179931412,0
race,Hispanic,55,3,0,0.003797654003088927,0
race,Hispanic,20,3,0,0.011497374505827366,0
race,Hispanic,20,4,0,0.012826962320676651,0
race,Hispanic,49,4,0,0.013042741212817389,0
race,Hispanic,23,4,0,0.01062955848214005,0
race,Hispanic,25,4,0,0.010353944086309602,0
race,Hispanic,54,4,0,0.0033865553410817126,0
race,Hispanic,24,4,0,0.006371370153903629,0
race,Hispanic,34,4,0,0.006356644419825597,0
race,Hispanic,29,4,0,0.006655758792474349,0
race,Hispanic,38,3,0,0.006286805832496556,0
race,Hispanic,22,4,0,0.007295027293486991,0
race,Hispanic,28,3,0,0.006789671994010748,0
race,Hispanic,45,4,0,0.006247419407296003,0
race,Hispanic,39,4,0,0.007245387185487054,0
race,Hispanic,36,4,0,0.010217793872418402,0
race,Hispanic,32,4,0,0.010063152337177084,0
race,Hispanic,26,4,0,0.016073558634648166,0
race,Caucasian,39,2,0,0.005516800840245798,0
race,Caucasian,39,4,0,0.007166174353891006,0
race,Caucasian,40,3,0,0.005221645566165851,0
race,Caucasian,40,4,0,0.0051979160512486255,0
race,Caucasian,40,4,1,0.007300481653962566,0
race,Caucasian,25,3,0,0.007827507449110685,0
race,Caucasian,25,4,0,0.010187156647132592,0
race,Caucasian,53,4,0,0.004282894960763157,0
race,Caucasian,41,4,0,0.008699284354005384,0
race,Caucasian,18,2,0,0.00881411857396687,0
race,Caucasian,18,4,0,0.013855051073772474,0
race,Caucasian,34,4,1,0.008406005443976603,0
race,Caucasian,34,3,0,0.005615475990634275,0
race,Caucasian,34,4,0,0.007589527514022798,0
race,Caucasian,32,4,0,0.014941871314557847,0
race,Caucasian,21,2,0,0.009175446224590869,0
race,Caucasian,21,3,0,0.006189234388322625,0
race,Caucasian,21,4,0,0.010375556831604944,0
race,Caucasian,21,4,1,0.009075474869545026,0
race,Caucasian,26,4,0,0.00687768705558143,0
race,Caucasian,51,2,0,0.008347273641208349,0
race,Caucasian,24,3,0,0.004063847901357363,0
race,Caucasian,24,4,0,0.006736340886314921,0
race,Caucasian,49,4,0,0.012261436792400701,0
race,Caucasian,56,4,1,0.0076312940409156505,0
race,Caucasian,56,4,0,0.004026728998237655,0
race,Caucasian,48,4,0,0.004495989354773981,0
race,Caucasian,37,3,0,0.007989545729667912,0
race,Caucasian,37,4,0,0.005419278510053395,0
race,Caucasian,20,2,0,0.007131102795335152,0
race,Caucasian,20,3,0,0.007744818834148195,0
race,Caucasian,20,4,0,0.011735340207876787,0
race,Caucasian,54,3,0,0.003571595485303374,0
race,Caucasian,54,4,0,0.010635582093789675,0
race,Caucasian,46,3,0,0.005937256095168728,0
race,Caucasian,46,4,0,0.0045839938818776635,0
race,Caucasian,28,4,0,0.0309425558286094,0
race,Caucasian,50,2,0,0.007102458054381455,0
race,Caucasian,50,3,0,0.00961082810209558,0
race,Caucasian,50,4,0,0.00420770486464693,0
race,Caucasian,23,4,0,0.006228652885918782,0
race,Caucasian,58,4,0,0.005925393187925464,0
race,Caucasian,29,4,0,0.010543303433787237,0
race,Caucasian,29,4,1,0.006832364720769477,0
race,Caucasian,47,4,0,0.004402878948047868,0
race,Caucasian,42,3,0,0.0028650745175815263,0
race,Caucasian,22,4,0,0.007733827631777275,0
race,Caucasian,33,4,0,0.010838579685246319,0
race,Caucasian,27,4,0,0.020989138492205094,0
race,Caucasian,27,4,1,0.005932102881048095,0
race,Caucasian,38,4,0,0.008036966584521,0
race,Caucasian,30,4,0,0.004401018882491608,0
race,Caucasian,52,4,1,0.0053575974213030415,0
race,Caucasian,52,3,0,0.006341868220567049,0
race,Caucasian,43,4,0,0.005876775270530424,0
race,Caucasian,31,4,0,0.007595296389103784,0
race,Caucasian,63,2,0,0.003036187110332239,0
race,Caucasian,45,3,0,0.004566243117955345,0
race,Caucasian,45,4,0,0.005352778347862518,0
race,Caucasian,44,4,0,0.005563308588396074,0
race,Caucasian,19,4,0,0.015425847368559589,0
race,Caucasian,35,2,0,0.0042308998669771955,0
race,Caucasian,35,4,0,0.019111484178048962,0
race,Caucasian,36,4,0,0.006294576142406447,0
race,Caucasian,55,3,0,0.004436641760833345,0
race,Caucasian,69,4,0,0.007254605441962131,0
race,Other,34,4,0,0.004468230400143645,0
race,Other,33,4,0,0.0058138746499312825,0
race,Other,38,4,0,0.003459860283010564,0
race,Other,27,4,1,0.010348438367302941,0
race,Other,27,4,0,0.01161963526777287,0
race,Other,20,4,0,0.00849001266470221,0
race,Other,31,4,0,0.005360353022153643,0
