Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,48,4,0,0.46720017182127427,0
race,African-American,19,4,0,0.5759827274228135,0
race,African-American,19,3,1,0.44056928797551514,0
race,African-American,31,4,0,0.47659297073287793,0
race,African-American,31,4,1,0.37178495963815217,0
race,African-American,29,2,0,0.4224254164926627,0
race,African-American,29,4,0,0.45865310572080303,0
race,African-American,24,4,0,0.49772463296718644,0
race,African-American,26,2,0,0.43551779034733107,0
race,African-American,26,4,0,0.4509965900372641,0
race,African-American,26,3,1,0.4882406210590393,0
race,African-American,30,4,0,0.43101731113846525,0
race,African-American,58,4,0,0.3663181384623727,0
race,African-American,35,2,0,0.34831226101117274,0
race,African-American,35,4,0,0.5620131407219272,0
race,African-American,18,3,0,0.4735631187665642,0
race,African-American,18,4,0,0.6034178842906522,0
race,African-American,18,4,1,0.580162804471733,0
race,African-American,27,4,0,0.4732471365779866,0
race,African-American,38,3,0,0.4253792523797351,0
race,African-American,38,4,0,0.4557985045885995,0
race,African-American,23,2,0,0.35832986693762947,0
race,African-American,23,4,0,0.49681950033436545,0
race,African-American,23,4,1,0.52427313381105,0
race,African-American,25,3,0,0.32224357074020826,0
race,African-American,25,4,0,0.42771607338539624,0
race,African-American,25,4,1,0.6810514970907567,0
race,African-American,34,4,1,0.5917635788851563,0
race,African-American,34,3,0,0.2724385001638471,0
race,African-American,34,4,0,0.4774260998409588,0
race,African-American,33,4,0,0.3863120324864064,0
race,African-American,33,4,1,0.40816701700920743,0
race,African-American,47,4,0,0.45465928702517494,0
race,African-American,28,4,0,0.44495813475252055,0
race,African-American,20,2,0,0.4424043010895136,0
race,African-American,20,3,0,0.41851000869932387,0
race,African-American,20,4,0,0.6112770572695614,0
race,African-American,20,4,1,0.5302093473062129,0
race,African-American,45,4,0,0.5930285120169644,0
race,African-American,54,4,0,0.32202806861819905,0
race,African-American,22,2,0,0.5262516304908322,0
race,African-American,22,4,0,0.5880874753303571,0
race,African-American,22,4,1,0.5493248778202915,0
race,African-American,49,4,0,0.45511341781734227,0
race,African-American,21,2,0,0.5077353195847184,0
race,African-American,21,3,0,0.5292929219880511,0
race,African-American,21,4,0,0.5587771431258842,0
race,African-American,21,4,1,0.7507051615786319,0
race,African-American,39,4,0,0.4347267806024031,0
race,African-American,50,4,0,0.2893019222207272,0
race,African-American,36,2,0,0.3281625975797474,0
race,African-American,36,4,0,0.47457211362320806,0
race,African-American,46,3,0,0.491263230648888,0
race,African-American,46,4,0,0.2724385001638471,0
race,African-American,46,4,1,0.5726532641253083,0
race,African-American,42,2,0,0.3866089304163292,0
race,African-American,42,4,0,0.37256733411276255,0
