Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,48,4,0,0.3045613689904453,0
race,African-American,19,3,0,0.6636745648928077,0
race,African-American,19,4,0,0.5192479411245785,0
race,African-American,19,4,1,0.4256676622878671,0
race,African-American,31,4,1,0.7206051762641977,0
race,African-American,31,4,0,0.5660532945170581,0
race,African-American,29,2,0,0.24746067651787987,0
race,African-American,29,4,0,0.5042980419428131,0
race,African-American,29,4,1,0.6613398072523273,0
race,African-American,24,4,0,0.42127424444036793,0
race,African-American,24,4,1,0.6774871424158694,0
race,African-American,26,2,0,0.3182568485067772,0
race,African-American,26,3,0,0.39922034861309785,0
race,African-American,26,4,0,0.5773307001409286,0
race,African-American,30,4,0,0.5120348799441022,0
race,African-American,30,4,1,0.7348310628981553,0
race,African-American,58,4,0,0.5702779880139693,0
race,African-American,35,2,0,0.31895668952400685,0
race,African-American,35,4,0,0.44884101552993877,0
race,African-American,18,3,0,0.46741258013457193,0
race,African-American,18,4,0,0.3738930639003415,0
race,African-American,18,4,1,0.38284545540856885,0
race,African-American,27,4,0,0.4662977653795515,0
race,African-American,27,4,1,0.4580988344256436,0
race,African-American,38,3,0,0.1713655861229237,0
race,African-American,38,4,0,0.40480679539944125,0
race,African-American,23,4,1,0.6503779154150714,0
race,African-American,23,2,0,0.2367761985191617,0
race,African-American,23,4,0,0.42419291229658573,0
race,African-American,25,3,0,0.530080346515553,0
race,African-American,25,4,0,0.4352117354864127,0
race,African-American,25,4,1,0.560778121424357,0
race,African-American,34,3,0,0.407863661727745,0
race,African-American,34,4,0,0.35507519699907575,0
race,African-American,33,4,0,0.5207514405103899,0
race,African-American,33,4,1,0.48211752609897696,0
race,African-American,47,4,0,0.3220702164558618,0
race,African-American,28,4,0,0.41765663650904344,0
race,African-American,28,4,1,0.5147924983705764,0
race,African-American,20,2,1,0.46741898839177354,0
race,African-American,20,2,0,0.482802836346217,0
race,African-American,20,3,0,0.41406644904250944,0
race,African-American,20,4,0,0.5032637786568731,0
race,African-American,45,4,0,0.5034423492427671,0
race,African-American,54,4,0,0.5146369275335994,0
race,African-American,22,2,0,0.38685593971058907,0
race,African-American,22,4,0,0.5768738883331606,0
race,African-American,22,4,1,0.6157523695282261,0
race,African-American,49,4,0,0.2060349819284431,0
race,African-American,21,2,0,0.49607667981747217,0
race,African-American,21,3,0,0.5922856238055063,0
race,African-American,21,4,0,0.46216183766402813,0
race,African-American,21,3,1,0.34983806542751805,0
race,African-American,21,4,1,0.5407997495063654,0
race,African-American,39,4,0,0.5968027804883979,0
race,African-American,50,4,0,0.20028012514865054,0
race,African-American,50,4,1,0.44573938416936004,0
race,African-American,36,2,0,0.5810348370926173,0
race,African-American,36,4,0,0.5436140549583419,0
race,African-American,46,3,0,0.21456655877612346,0
race,African-American,46,4,0,0.44628989709127626,0
race,African-American,42,2,0,0.20117045134302297,0
race,African-American,42,4,0,0.4091917611885785,0
race,African-American,42,4,1,0.5493339128512164,0
race,African-American,44,4,0,0.5418755526033119,0
race,African-American,43,4,1,0.5622007939408467,0
race,African-American,43,4,0,0.3145468162765628,0
race,African-American,56,4,0,0.4249684944750301,0
race,African-American,56,4,1,0.3942552978413821,0
race,African-American,37,4,0,0.37719438788868476,0
race,African-American,53,4,0,0.2498970288513573,0
race,African-American,32,3,0,0.2442785855803557,0
race,African-American,32,4,0,0.4944664831369676,0
race,African-American,32,4,1,0.4197516145960718,0
race,African-American,62,4,0,0.39011276360233366,0
race,African-American,40,4,0,0.4129414303731216,0
race,African-American,66,4,0,0.4405974537632899,0
race,African-American,51,4,0,0.44488502401944874,0
race,African-American,52,3,0,0.48902442226154785,0
race,African-American,59,4,0,0.5812009863929357,0
race,Hispanic,42,4,0,0.29148737500019456,0
race,Hispanic,27,3,0,0.2478145076366091,0
race,Hispanic,27,4,0,0.22825094483947136,0
race,Hispanic,55,3,0,0.21838999587859753,0
race,Hispanic,20,3,0,0.39758569016841916,0
race,Hispanic,20,4,0,0.6262019724037833,0
race,Hispanic,49,4,0,0.30987244289667804,0
race,Hispanic,23,4,0,0.3144475554818779,0
race,Hispanic,25,4,0,0.6588782387296013,0
race,Hispanic,54,4,0,0.47061592340705494,0
race,Hispanic,24,4,0,0.2099212370513685,0
race,Hispanic,34,4,0,0.45684785286250146,0
race,Hispanic,29,4,0,0.3090329426347608,0
race,Hispanic,38,3,0,0.2023350405551222,0
race,Hispanic,22,4,0,0.3651789223978457,0
race,Hispanic,28,3,0,0.5023535466982039,0
race,Hispanic,45,4,0,0.2779298351623788,0
race,Hispanic,39,4,0,0.17974275864150122,0
race,Hispanic,36,4,0,0.5768916606697926,0
race,Hispanic,32,4,0,0.6272946618327168,0
race,Hispanic,26,4,0,0.26896143837674835,0
race,Caucasian,39,2,0,0.5342885252634154,0
race,Caucasian,39,4,0,0.4411740732712371,0
race,Caucasian,39,4,1,0.6267285582920527,0
race,Caucasian,40,3,0,0.4837688789638653,0
race,Caucasian,40,4,0,0.32045909783974974,0
race,Caucasian,25,3,0,0.3081291647930124,0
race,Caucasian,25,4,0,0.5175822519309684,0
race,Caucasian,25,4,1,0.5302169342745993,0
race,Caucasian,53,4,0,0.29814136626790194,0
race,Caucasian,41,4,0,0.17616043383317415,0
race,Caucasian,18,2,0,0.3991823619191475,0
race,Caucasian,18,4,0,0.5308024107874597,0
race,Caucasian,34,3,0,0.2478145076366091,0
race,Caucasian,34,4,0,0.5676388545876241,0
race,Caucasian,34,4,1,0.6781206517001787,0
race,Caucasian,32,4,0,0.5768916606697926,0
race,Caucasian,21,4,1,0.4774133967095654,0
race,Caucasian,21,2,0,0.4137175274227937,0
race,Caucasian,21,3,0,0.7340637729074868,0
race,Caucasian,21,4,0,0.49095201958799406,0
race,Caucasian,26,4,0,0.6529178396697648,0
race,Caucasian,51,2,0,0.22691602048375506,0
race,Caucasian,24,3,0,0.2481053537982772,0
race,Caucasian,24,4,0,0.5182653505482565,0
race,Caucasian,49,4,0,0.21923902623040786,0
race,Caucasian,56,4,0,0.2216259738308671,0
race,Caucasian,48,4,0,0.3645724064674365,0
race,Caucasian,48,4,1,0.2978150971467072,0
race,Caucasian,37,3,0,0.21417247684694793,0
race,Caucasian,37,4,0,0.5158628171119041,0
race,Caucasian,20,4,1,0.38695978221644933,0
race,Caucasian,20,2,0,0.5634138808957637,0
race,Caucasian,20,3,0,0.6289963780675666,0
race,Caucasian,20,4,0,0.3795748622798736,0
race,Caucasian,54,3,0,0.340169811198069,0
race,Caucasian,54,4,0,0.5325470346378982,0
race,Caucasian,46,3,0,0.46480967487698477,0
race,Caucasian,46,4,0,0.3536400112165093,0
race,Caucasian,28,4,0,0.4774451125525605,0
race,Caucasian,50,2,0,0.21335039824689894,0
race,Caucasian,50,3,0,0.22564997293289432,0
race,Caucasian,50,4,0,0.3860581242422853,0
race,Caucasian,23,4,1,0.7206051762641977,0
race,Caucasian,23,4,0,0.5300205083674769,0
race,Caucasian,58,4,0,0.2054325259157093,0
race,Caucasian,29,4,0,0.33684233775739814,0
race,Caucasian,47,4,0,0.5292504228587547,0
race,Caucasian,42,3,0,0.35943894164862833,0
race,Caucasian,22,4,0,0.5823857039249826,0
race,Caucasian,33,4,0,0.325486485626569,0
race,Caucasian,27,4,0,0.5238278681506597,0
race,Caucasian,38,4,0,0.31098443704990947,0
race,Caucasian,30,4,0,0.5784280372890988,0
race,Caucasian,52,3,0,0.46480967487698477,0
race,Caucasian,52,4,0,0.17437364758333213,0
race,Caucasian,43,4,1,0.4952395530923332,0
