Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,48,4,0,0.4818698401010417,0
race,African-American,19,3,1,0.5802420286861896,0
race,African-American,19,4,1,0.5800641194994254,0
race,African-American,19,4,0,0.5456119674280132,0
race,African-American,31,4,1,0.4900656561531268,0
race,African-American,31,4,0,0.6295523095004636,0
race,African-American,29,2,0,0.4024371558675187,0
race,African-American,29,4,0,0.6335858973100708,0
race,African-American,29,4,1,0.6233942314518552,0
race,African-American,24,4,0,0.5555160177244565,0
race,African-American,24,4,1,0.6740029424022953,0
race,African-American,26,2,0,0.47933749170967577,0
race,African-American,26,4,0,0.5872688457388575,0
race,African-American,26,3,1,0.44343775898567234,0
race,African-American,26,4,1,0.5632892285383807,0
race,African-American,30,4,0,0.5073005099667468,0
race,African-American,30,4,1,0.5771565061773074,0
race,African-American,58,4,1,0.30507376456492,0
race,African-American,58,4,0,0.36691683742120984,0
race,African-American,35,4,0,0.5637333723497532,0
race,African-American,35,2,1,0.3903514004337211,0
race,African-American,35,4,1,0.46134077869567824,0
race,African-American,18,4,0,0.5987797724682544,0
race,African-American,18,3,1,0.6130149888737464,0
race,African-American,18,4,1,0.6113548274455789,0
race,African-American,27,4,0,0.5009999545033406,0
race,African-American,27,4,1,0.6539891887995787,0
race,African-American,38,3,0,0.2908944315708147,0
race,African-American,38,4,0,0.3383743408412178,0
race,African-American,38,4,1,0.551195134600946,0
race,African-American,23,4,1,0.6348169877792212,0
race,African-American,23,2,0,0.56836598336166,0
race,African-American,23,4,0,0.5580496889061987,0
race,African-American,25,4,0,0.5815107939952183,0
race,African-American,25,3,1,0.51690540809931,0
race,African-American,25,4,1,0.5534808466301167,0
race,African-American,34,4,1,0.5135511785638867,0
race,African-American,34,3,0,0.31962177527626545,0
race,African-American,34,4,0,0.4860765228739985,0
race,African-American,33,4,0,0.4424655131969962,0
race,African-American,33,4,1,0.5023653496360436,0
race,African-American,47,4,0,0.4152966278742058,0
race,African-American,47,4,1,0.4797717940860943,0
race,African-American,28,4,0,0.70420140064241,0
race,African-American,28,4,1,0.5282892120864288,0
race,African-American,20,2,1,0.5432932847524596,0
race,African-American,20,4,1,0.5557218191690891,0
race,African-American,20,3,0,0.45864996793702323,0
race,African-American,20,4,0,0.578207028314181,0
race,African-American,45,4,0,0.5255398360390339,0
race,African-American,45,4,1,0.6348067027829578,0
race,African-American,54,4,0,0.47690931866407804,0
race,African-American,22,2,1,0.48859402904806337,0
race,African-American,22,4,1,0.5880354709836747,0
race,African-American,22,2,0,0.5185484028600996,0
race,African-American,22,4,0,0.7505320223020235,0
race,African-American,49,4,0,0.3561962907344852,0
race,African-American,21,2,0,0.5290172319343798,0
race,African-American,21,3,0,0.5354453332253832,0
race,African-American,21,4,0,0.5868200254731535,0
race,African-American,21,2,1,0.5199055908868851,0
race,African-American,21,3,1,0.5400376043825754,0
race,African-American,21,4,1,0.597762119705175,0
race,African-American,39,4,1,0.5249500114629423,0
race,African-American,50,4,0,0.39838156067035474,0
race,African-American,50,4,1,0.3770339020220728,0
race,African-American,36,2,1,0.34995587135590434,0
race,African-American,36,4,1,0.40848270247582447,0
race,African-American,36,4,0,0.40292325951341196,0
race,African-American,46,3,0,0.34222311469,0
race,African-American,46,4,0,0.30507376456492,0
race,African-American,46,4,1,0.6366135372450731,0
race,African-American,42,4,1,0.4562102352008317,0
race,African-American,42,2,0,0.2892876791966265,0
race,African-American,42,4,0,0.34805882621346285,0
race,African-American,44,4,0,0.3576425264867383,0
race,African-American,44,4,1,0.6366135372450731,0
race,African-American,43,4,1,0.5255398360390339,0
race,African-American,43,4,0,0.3227637051030752,0
race,African-American,56,4,0,0.3067303550524845,0
race,African-American,56,4,1,0.3957990996013498,0
race,African-American,37,4,0,0.4983339552625247,0
race,African-American,53,4,0,0.3613202913993696,0
race,African-American,32,3,1,0.3778711388599767,0
race,African-American,32,4,1,0.44424800451174873,0
race,African-American,32,3,0,0.33088848727494746,0
race,African-American,32,4,0,0.5299214878450759,0
race,African-American,62,4,0,0.47907441333120687,0
race,African-American,40,4,1,0.5150645662107636,0
race,African-American,40,4,0,0.6353548750695219,0
race,African-American,66,4,0,0.4425651322071658,0
race,African-American,51,4,0,0.4007385971164537,0
race,African-American,52,3,0,0.4003844377601173,0
race,African-American,59,4,0,0.5235940165599587,0
race,Hispanic,42,4,1,0.3543125496745788,0
race,Hispanic,42,4,0,0.3941273537167842,0
race,Hispanic,27,3,0,0.43190508427431656,0
race,Hispanic,27,4,0,0.49127959094285917,0
race,Hispanic,55,3,0,0.296249073728555,0
race,Hispanic,20,3,0,0.5718975472921146,0
race,Hispanic,20,4,0,0.5994011284785671,0
race,Hispanic,49,4,1,0.4788560303789061,0
race,Hispanic,49,4,0,0.35901629181303557,0
race,Hispanic,23,4,0,0.5448217841606463,0
race,Hispanic,25,4,0,0.6828668583271152,0
race,Hispanic,54,4,0,0.30507376456492,0
race,Hispanic,24,4,0,0.517716602496997,0
race,Hispanic,34,4,0,0.34906798391331734,0
race,Hispanic,29,4,0,0.5012456851533792,0
race,Hispanic,38,3,0,0.34222311469,0
race,Hispanic,22,4,0,0.46895138846202106,0
race,Hispanic,28,3,0,0.5563438491765966,0
race,Hispanic,45,4,1,0.3576425264867383,0
race,Hispanic,39,4,0,0.39838156067035474,0
race,Hispanic,36,4,1,0.5854837449453774,0
race,Hispanic,32,4,0,0.4126175282737306,0
race,Hispanic,32,4,1,0.48845383409197357,0
race,Hispanic,26,4,0,0.5504699981326139,0
race,Caucasian,39,2,0,0.4003844377601173,0
race,Caucasian,39,4,0,0.4843965422457048,0
race,Caucasian,39,4,1,0.3059020598087023,0
race,Caucasian,40,3,0,0.3859367814161328,0
race,Caucasian,40,4,0,0.45262987950078337,0
race,Caucasian,40,4,1,0.40025299861583796,0
race,Caucasian,25,3,1,0.5048689814320736,0
race,Caucasian,25,4,1,0.591126637060715,0
race,Caucasian,25,4,0,0.5525843471160652,0
race,Caucasian,53,4,1,0.4560589197057283,0
race,Caucasian,41,4,1,0.396700353552885,0
