Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,48,4,0,0.41787430066044906,0
race,African-American,19,3,1,0.6117639515164079,0
race,African-American,19,4,1,0.5660706152179168,0
race,African-American,19,4,0,0.555046266842764,0
race,African-American,31,4,1,0.4722525909282025,0
race,African-American,31,4,0,0.5488278881409003,0
race,African-American,29,2,0,0.3978711844487721,0
race,African-American,29,4,0,0.5198369075505247,0
race,African-American,29,4,1,0.44427012496253326,0
race,African-American,24,4,0,0.5165405137426985,0
race,African-American,24,4,1,0.5858127762106956,0
race,African-American,26,2,0,0.516421330888787,0
race,African-American,26,3,0,0.4707052369286591,0
race,African-American,26,4,0,0.5221275828186694,0
race,African-American,26,4,1,0.5923941055648042,0
race,African-American,30,4,0,0.5104525204333523,0
race,African-American,30,4,1,0.55089799894583,0
race,African-American,58,4,1,0.3197955484064003,0
race,African-American,58,4,0,0.39367359176759276,0
race,African-American,35,4,0,0.4847831987752473,0
race,African-American,35,2,1,0.4521528442243672,0
race,African-American,35,4,1,0.35853182165935993,0
race,African-American,18,3,0,0.6113581473765931,0
race,African-American,18,4,0,0.5675580081593935,0
race,African-American,18,3,1,0.6044918539970304,0
race,African-American,18,4,1,0.5462505239439022,0
race,African-American,27,4,0,0.5012897828902697,0
race,African-American,27,4,1,0.5610667165628281,0
race,African-American,38,3,0,0.3198366477827987,0
race,African-American,38,4,0,0.41506688720798635,0
race,African-American,38,4,1,0.4951958958009812,0
race,African-American,23,4,1,0.608531968867128,0
race,African-American,23,2,0,0.6063603554168969,0
race,African-American,23,4,0,0.5765251955806806,0
race,African-American,25,4,0,0.5338737712228111,0
race,African-American,25,3,1,0.5290565654969998,0
race,African-American,25,4,1,0.5392007513238015,0
race,African-American,34,4,1,0.5062369987294708,0
race,African-American,34,3,0,0.3781341467774344,0
race,African-American,34,4,0,0.48198369570799315,0
race,African-American,33,4,0,0.45268240705646856,0
race,African-American,33,4,1,0.48487192860356526,0
race,African-American,47,4,0,0.45810013715133624,0
race,African-American,47,4,1,0.34743972620235297,0
race,African-American,28,4,0,0.5812780306025217,0
race,African-American,28,4,1,0.4549040697188013,0
race,African-American,20,2,0,0.5728635966023162,0
race,African-American,20,3,0,0.44061060088312337,0
race,African-American,20,4,0,0.5921673958224547,0
race,African-American,20,4,1,0.4978700095258536,0
race,African-American,45,4,0,0.47635139670085,0
race,African-American,54,4,0,0.42429909754529815,0
race,African-American,22,2,1,0.5438708264864713,0
race,African-American,22,4,1,0.5524842127129094,0
race,African-American,22,2,0,0.572298239098442,0
race,African-American,22,4,0,0.5912081351329156,0
race,African-American,49,4,0,0.3644065966188572,0
race,African-American,21,2,0,0.5874709790931664,0
race,African-American,21,3,0,0.5777977905845847,0
race,African-American,21,4,0,0.5644855179452088,0
race,African-American,21,2,1,0.5896686782475706,0
race,African-American,21,3,1,0.5670642620232861,0
race,African-American,21,4,1,0.5926145871492777,0
race,African-American,39,4,1,0.4029788093425373,0
race,African-American,50,4,0,0.4089178049677999,0
race,African-American,36,2,1,0.41751828688777626,0
race,African-American,36,4,1,0.4393562068625255,0
race,African-American,36,4,0,0.48633987130298945,0
race,African-American,46,3,0,0.3937186900553312,0
race,African-American,46,4,0,0.3276515247341506,0
race,African-American,46,4,1,0.5276020688553764,0
race,African-American,42,4,1,0.43487270250233523,0
race,African-American,42,2,0,0.3197955484064003,0
race,African-American,42,4,0,0.4779639386568065,0
race,African-American,44,4,0,0.47256017787157634,0
race,African-American,43,4,0,0.3502374207588934,0
race,African-American,56,4,0,0.37730383886736363,0
race,African-American,37,4,0,0.42062068843802325,0
race,African-American,53,4,0,0.3714602962626814,0
race,African-American,32,4,1,0.4347799598603502,0
race,African-American,32,3,0,0.4230852910856359,0
race,African-American,32,4,0,0.53660010543278,0
race,African-American,62,4,0,0.36912133118194046,0
race,African-American,40,4,0,0.5432740679758082,0
race,African-American,66,4,0,0.3565128867660235,0
race,African-American,51,4,0,0.3719520310012122,0
race,African-American,52,3,0,0.42778282077427954,0
race,African-American,59,4,0,0.4048620421363729,0
race,Hispanic,42,4,1,0.38124672035256124,0
race,Hispanic,42,4,0,0.34743972620235297,0
race,Hispanic,27,3,0,0.41699331541518986,0
race,Hispanic,27,4,0,0.4997252301173026,0
