Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,0,3.3076923076923075,0
race,African-American,46,2,0,3.9285714285714284,0
race,African-American,46,3,0,4.0,0
race,African-American,46,4,0,4.5,0
race,African-American,46,1,1,5.0,0
race,African-American,46,4,1,6.0,0
race,African-American,30,1,0,3.020408163265306,0
race,African-American,30,2,0,3.2,0
race,African-American,30,3,0,3.896551724137931,0
race,African-American,30,4,0,4.173913043478261,0
race,African-American,30,1,1,4.0,0
race,African-American,30,2,1,4.0,0
race,African-American,30,3,1,4.5,0
race,African-American,30,4,1,5.5,0
race,African-American,29,1,0,2.810810810810811,0
race,African-American,29,2,0,3.3055555555555554,0
race,African-American,29,3,0,3.9583333333333335,0
race,African-American,29,4,0,3.831168831168831,0
race,African-American,29,2,1,4.0,0
race,African-American,29,4,1,3.6666666666666665,0
race,African-American,22,1,0,2.5945945945945947,0
race,African-American,22,2,0,2.9482758620689653,0
race,African-American,22,3,0,3.0,0
race,African-American,22,4,0,3.9285714285714284,0
race,African-American,22,1,1,3.0,0
race,African-American,22,4,1,4.0,0
race,African-American,34,1,0,3.088888888888889,0
race,African-American,34,2,0,3.4285714285714284,0
race,African-American,34,3,0,4.033333333333333,0
race,African-American,34,4,0,4.402985074626866,0
race,African-American,34,4,1,4.75,0
race,African-American,37,1,0,3.4615384615384617,0
race,African-American,37,2,0,3.2333333333333334,0
race,African-American,37,3,0,3.5833333333333335,0
race,African-American,37,4,0,4.326923076923077,0
race,African-American,53,1,0,3.217391304347826,0
race,African-American,53,2,0,4.0,0
race,African-American,53,3,0,4.0,0
race,African-American,53,4,0,4.681818181818182,0
race,African-American,53,4,1,6.0,0
race,African-American,23,1,0,2.5714285714285716,0
race,African-American,23,2,0,2.925925925925926,0
race,African-American,23,3,0,2.9166666666666665,0
race,African-American,23,4,0,3.5098039215686274,0
race,African-American,23,2,1,3.5,0
race,African-American,23,3,1,4.0,0
race,African-American,23,4,1,6.0,0
race,African-American,24,1,0,2.5657894736842106,0
race,African-American,24,2,0,3.103448275862069,0
race,African-American,24,3,0,2.7037037037037037,0
race,African-American,24,4,0,3.8488372093023258,0
race,African-American,24,1,1,2.0,0
race,African-American,24,4,1,5.666666666666667,0
race,African-American,26,1,0,2.674698795180723,0
race,African-American,26,2,0,3.289473684210526,0
race,African-American,26,3,0,3.21875,0
race,African-American,26,4,0,4.00990099009901,0
race,African-American,26,1,1,1.0,0
race,African-American,26,2,1,2.0,0
race,African-American,26,3,1,2.0,0
race,African-American,26,4,1,4.5,0
race,African-American,35,1,0,3.1076923076923078,0
race,African-American,35,2,0,3.3,0
race,African-American,35,3,0,3.5,0
race,African-American,35,4,0,4.461538461538462,0
race,African-American,35,4,1,3.0,0
race,African-American,38,1,0,3.0789473684210527,0
race,African-American,38,2,0,3.2142857142857144,0
race,African-American,38,3,0,4.133333333333334,0
race,African-American,38,4,0,4.323529411764706,0
race,African-American,38,2,1,5.0,0
race,African-American,38,4,1,5.0,0
race,African-American,25,1,1,4.0,0
race,African-American,25,2,1,3.0,0
race,African-American,25,3,1,4.0,0
race,African-American,25,4,1,4.5,0
race,African-American,25,1,0,2.72,0
race,African-American,25,2,0,2.84375,0
race,African-American,25,3,0,3.4285714285714284,0
race,African-American,25,4,0,3.7010309278350517,0
race,African-American,32,1,0,3.0681818181818183,0
race,African-American,32,2,0,3.125,0
race,African-American,32,3,0,3.8823529411764706,0
race,African-American,32,4,0,3.925373134328358,0
race,African-American,32,2,1,4.0,0
race,African-American,32,3,1,6.0,0
race,African-American,32,4,1,4.333333333333333,0
race,African-American,42,1,0,3.2857142857142856,0
