Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,0,0.0168077215582645,1
race,African-American,46,2,0,0.032896500379323616,1
race,African-American,46,3,0,0.0262048505309875,1
race,African-American,46,4,0,0.021203003307158,1
race,African-American,46,1,1,0.024949248167100778,1
race,African-American,46,3,1,0.0066928509242848554,1
race,African-American,46,4,1,0.2689414213699951,1
race,African-American,30,1,0,0.009644179481709505,1
race,African-American,30,2,0,0.014913091462425143,1
race,African-American,30,3,0,0.0258753582366003,1
race,African-American,30,4,0,0.07465775350392237,1
race,African-American,30,1,1,0.0066928509242848554,1
race,African-American,30,3,1,0.024034978021314397,1
race,African-American,30,4,1,0.2689414213699951,1
race,African-American,29,1,0,0.013638300545065618,1
race,African-American,29,2,0,0.024851446158056557,1
race,African-American,29,3,0,0.017577974081489634,1
race,African-American,29,4,0,0.0517831753412906,1
race,African-American,29,3,1,0.11920292202211755,1
race,African-American,29,4,1,0.2689414213699951,1
race,African-American,22,1,0,0.013638402275246424,1
race,African-American,22,2,0,0.02631824120985948,1
race,African-American,22,3,0,0.022019465100738468,1
race,African-American,22,4,0,0.07258691552135507,1
race,African-American,22,1,1,0.024949248167100778,1
race,African-American,22,3,1,0.19407217169605634,1
race,African-American,22,4,1,0.15838419269575515,1
race,African-American,34,1,0,0.00962659318628476,1
race,African-American,34,2,0,0.02159561143683844,1
race,African-American,34,3,0,0.026303648944524024,1
race,African-American,34,4,0,0.08327925178486051,1
race,African-American,34,1,1,0.11920292202211755,1
race,African-American,34,3,1,0.004582737040459815,1
race,African-American,34,4,1,0.2389937215004196,1
race,African-American,37,1,0,0.014905922790642831,1
race,African-American,37,2,0,0.02579189454860931,1
race,African-American,37,3,0,0.02145078463543454,1
race,African-American,37,4,0,0.05025388597509599,1
race,African-American,53,1,0,0.013411320936125156,1
race,African-American,53,2,0,0.012112743243839865,1
race,African-American,53,3,0,0.053986269731331124,1
race,African-American,53,4,0,0.04717117876135234,1
race,African-American,53,4,1,0.2689414213699951,1
race,African-American,23,1,0,0.01906042481739121,1
race,African-American,23,2,0,0.02167551934403856,1
race,African-American,23,3,0,0.021907997666009663,1
race,African-American,23,4,0,0.0620671301031412,1
race,African-American,23,2,1,0.04742587317756678,1
race,African-American,23,3,1,0.11920292202211755,1
race,African-American,23,4,1,0.18569996185774754,1
race,African-American,24,1,0,0.013478635085423013,1
race,African-American,24,2,0,0.01781027524075879,1
race,African-American,24,3,0,0.02487024464497955,1
race,African-American,24,4,0,0.08311874005808846,1
race,African-American,24,1,1,0.04742587317756678,1
race,African-American,24,2,1,0.0629478864732012,1
race,African-American,24,4,1,0.2231650802818187,1
race,African-American,26,1,0,0.011413301309494854,1
race,African-American,26,2,0,0.021635598786650966,1
race,African-American,26,3,0,0.013675104131597853,1
race,African-American,26,4,0,0.05373265561793713,1
race,African-American,26,1,1,0.11920292202211755,1
race,African-American,26,2,1,0.06083777258937616,1
race,African-American,26,3,1,0.11920292202211755,1
race,African-American,26,4,1,0.22615899298488726,1
race,African-American,35,1,0,0.012860599249579665,1
race,African-American,35,2,0,0.025813617565300328,1
race,African-American,35,3,0,0.038891771529351575,1
race,African-American,35,4,0,0.08562746156809345,1
race,African-American,35,1,1,0.04742587317756678,1
race,African-American,35,4,1,0.2689414213699951,1
race,African-American,38,1,0,0.009345808142532356,1
race,African-American,38,2,0,0.022451286494045427,1
race,African-American,38,3,0,0.04677714178938961,1
race,African-American,38,4,0,0.037255044266299955,1
race,African-American,38,1,1,0.11920292202211755,1
race,African-American,38,4,1,0.2689414213699951,1
race,African-American,25,1,0,0.012310703942231261,1
race,African-American,25,2,0,0.0066010224603336755,1
race,African-American,25,3,0,0.028867237028108957,1
race,African-American,25,4,0,0.059546932815550936,1
race,African-American,25,1,1,0.11920292202211755,1
race,African-American,25,2,1,0.11920292202211755,1
race,African-American,25,3,1,0.11920292202211755,1
race,African-American,25,4,1,0.19114467587537998,1
race,African-American,32,1,0,0.010379463081109763,1
race,African-American,32,2,0,0.0067316908309882585,1
race,African-American,32,3,0,0.019884999191158943,1
race,African-American,32,4,0,0.06593907519548421,1
race,African-American,32,1,1,0.11920292202211755,1
race,African-American,32,2,1,0.11920292202211755,1
race,African-American,32,3,1,0.0066928509242848554,1
race,African-American,32,4,1,0.19407217169605634,1
race,African-American,42,1,0,0.008344099743647151,1
race,African-American,42,2,0,0.017101963367169973,1
race,African-American,42,3,0,0.035176981636556345,1
race,African-American,42,4,0,0.05365673116773032,1
race,African-American,41,1,0,0.00927871846890286,1
race,African-American,41,2,0,0.017174994790750665,1
race,African-American,41,3,0,0.00829890713268043,1
race,African-American,41,4,0,0.029509138441295907,1
race,African-American,41,4,1,0.2689414213699951,1
race,African-American,33,1,0,0.009712659628033424,1
race,African-American,33,2,0,0.022745293589390123,1
race,African-American,33,3,0,0.021595801018521293,1
race,African-American,33,4,0,0.036579183756985593,1
race,African-American,33,1,1,0.11920292202211755,1
race,African-American,33,2,1,0.11920292202211755,1
race,African-American,33,3,1,0.14346381566604333,1
race,African-American,33,4,1,0.22617443954886066,1
race,African-American,31,1,0,0.01551125166606279,1
race,African-American,31,2,0,0.012350525847935266,1
race,African-American,31,3,0,0.01684175455263123,1
race,African-American,31,4,0,0.06225060025956017,1
race,African-American,31,1,1,0.04742587317756678,1
race,African-American,31,2,1,0.11920292202211755,1
race,African-American,31,4,1,0.19872572522731194,1
race,African-American,50,1,0,0.013584501756992192,1
race,African-American,50,2,0,0.02856367821284938,1
race,African-American,50,3,0,0.016876106487605336,1
race,African-American,50,4,0,0.07009929935264386,1
race,African-American,50,1,1,0.04742587317756678,1
race,African-American,28,1,0,0.01310557344559734,1
race,African-American,28,2,0,0.028826909254082118,1
race,African-American,28,3,0,0.02785916523881748,1
race,African-American,28,4,0,0.07350998028378722,1
race,African-American,28,1,1,0.0024726231566347743,1
race,African-American,28,2,1,0.04742587317756678,1
race,African-American,28,3,1,0.19407217169605634,1
race,African-American,28,4,1,0.2689414213699951,1
race,African-American,52,1,0,0.013425879632064468,1
race,African-American,52,2,0,0.02970125830119368,1
race,African-American,52,3,0,0.04404428303854646,1
race,African-American,52,4,0,0.022615994177406118,1
race,African-American,52,2,1,0.11920292202211755,1
race,African-American,51,1,0,0.005417107018136313,1
race,African-American,51,2,0,0.02188042783288196,1
race,African-American,51,3,0,0.008874171303732801,1
race,African-American,51,4,0,0.029011200351494994,1
race,African-American,51,3,1,0.2689414213699951,1
race,African-American,51,4,1,0.1258045621185965,1
race,African-American,40,1,0,0.006661753668941854,1
race,African-American,40,2,0,0.004504584674392221,1
race,African-American,40,3,0,0.02541889157919991,1
race,African-American,40,4,0,0.05375577864620262,1
race,African-American,40,4,1,0.2689414213699951,1
race,African-American,60,1,0,0.008091779409251276,1
race,African-American,60,2,0,0.04394856732015098,1
race,African-American,60,4,0,0.012339530443188206,1
race,African-American,60,2,1,0.11920292202211755,1
race,African-American,60,3,1,0.11920292202211755,1
race,African-American,39,1,0,0.010670908820875142,1
race,African-American,39,2,0,0.0189581213134335,1
race,African-American,39,3,0,0.021173114705866296,1
race,African-American,39,4,0,0.06234097770674967,1
race,African-American,39,2,1,0.0629478864732012,1
race,African-American,47,1,0,0.013269168771878379,1
race,African-American,47,2,0,0.026190062866560546,1
race,African-American,47,3,0,0.023686101204069433,1
race,African-American,47,4,0,0.04458509996147036,1
race,African-American,47,4,1,0.2689414213699951,1
race,African-American,36,1,0,0.010059656213304593,1
race,African-American,36,2,0,0.024969023474913744,1
race,African-American,36,3,0,0.03361398744440174,1
race,African-American,36,4,0,0.06519647597812482,1
race,African-American,36,1,1,0.0024726231566347743,1
race,African-American,36,2,1,0.0066928509242848554,1
race,African-American,36,3,1,0.2689414213699951,1
race,African-American,36,4,1,0.2689414213699951,1
race,African-American,44,1,0,0.010471180588126057,1
race,African-American,44,2,0,0.024883272044676642,1
race,African-American,44,3,0,0.0242656521803054,1
race,African-American,44,4,0,0.06047809874923384,1
race,African-American,44,1,1,0.0024726231566347743,1
race,African-American,44,4,1,0.21902858825403593,1
race,African-American,48,1,0,0.011800891382233183,1
race,African-American,48,2,0,0.013020571048288385,1
race,African-American,48,3,0,0.04278946536767905,1
race,African-American,48,4,0,0.03975314533951198,1
race,African-American,48,1,1,0.11920292202211755,1
race,African-American,48,2,1,0.04742587317756678,1
race,African-American,48,4,1,0.2689414213699951,1
race,African-American,49,1,0,0.005376120937277978,1
race,African-American,49,2,0,0.028611672150234035,1
race,African-American,49,3,0,0.04278946536767906,1
race,African-American,49,4,0,0.08859368755430128,1
race,African-American,49,1,1,0.04742587317756678,1
race,African-American,49,4,1,0.2689414213699951,1
race,African-American,63,1,0,0.0033166687101647907,1
race,African-American,63,2,0,0.006692850924284855,1
race,African-American,63,4,0,0.03221895305703265,1
race,African-American,27,2,1,0.04742587317756678,1
race,African-American,27,3,1,0.04742587317756678,1
race,African-American,27,4,1,0.1888026792188389,1
race,African-American,27,1,0,0.013419765087282808,1
race,African-American,27,2,0,0.03692532560908954,1
race,African-American,27,3,0,0.05192457542332693,1
race,African-American,27,4,0,0.04251753389197544,1
race,African-American,21,1,0,0.012365199259605124,1
race,African-American,21,2,0,0.019984387123751095,1
race,African-American,21,3,0,0.0350354562212226,1
race,African-American,21,4,0,0.07238720359739174,1
race,African-American,21,1,1,0.08169956498950665,1
race,African-American,21,2,1,0.11920292202211755,1
race,African-American,21,4,1,0.17532049317975087,1
race,African-American,43,1,0,0.014125654530009621,1
race,African-American,43,2,0,0.016532983750839787,1
race,African-American,43,3,0,0.04782907064405959,1
race,African-American,43,4,0,0.030704353651201822,1
race,African-American,43,1,1,0.04742587317756678,1
race,African-American,43,4,1,0.12851002908462877,1
race,African-American,45,1,0,0.019857710581143106,1
race,African-American,45,2,0,0.013591661739189204,1
race,African-American,45,3,0,0.012074945377281814,1
race,African-American,45,4,0,0.04092247893832059,1
race,African-American,45,4,1,0.21902858825403593,1
race,African-American,55,1,0,0.01930749177608701,1
race,African-American,55,2,0,0.02095704918069663,1
race,African-American,55,3,0,0.004582737040459815,1
race,African-American,55,4,0,0.07342008631312412,1
race,African-American,55,2,1,0.11920292202211755,1
race,African-American,59,1,0,0.008894516016767919,1
race,African-American,59,2,0,0.02662338465228307,1
race,African-American,59,3,0,0.0024726231566347743,1
race,African-American,59,4,0,0.01036614898587752,1
race,African-American,20,1,0,0.00946530674459829,1
race,African-American,20,2,0,0.014569889031867523,1
race,African-American,20,3,0,0.018857959438684208,1
race,African-American,20,4,0,0.05327208760395149,1
race,African-American,20,1,1,0.06083777258937616,1
race,African-American,20,2,1,0.07135155612575038,1
race,African-American,20,3,1,0.0629478864732012,1
race,African-American,20,4,1,0.1652398782119602,1
race,African-American,19,1,0,0.013685127831173656,1
race,African-American,19,2,0,0.023703662688832627,1
race,African-American,19,3,0,0.03249240112069793,1
race,African-American,19,4,0,0.0597652981327997,1
race,African-American,19,1,1,0.04742587317756678,1
race,African-American,19,2,1,0.1951029053058523,1
race,African-American,19,3,1,0.09527723907393397,1
race,African-American,19,4,1,0.16630066499927235,1
race,African-American,54,1,0,0.011956414477472047,1
race,African-American,54,2,0,0.03780188259657823,1
race,African-American,54,3,0,0.011371574082673468,1
race,African-American,54,4,0,0.039887117050355296,1
race,African-American,62,3,1,0.11920292202211755,1
race,African-American,62,1,0,0.013710935661867776,1
race,African-American,62,2,0,0.013253800588974587,1
race,African-American,62,3,0,0.03565337848744775,1
race,African-American,62,4,0,0.0066928509242848554,1
race,African-American,61,1,0,0.007467428714516108,1
race,African-American,61,2,0,0.012307318714351192,1
race,African-American,61,4,0,0.02592001335767473,1
race,African-American,65,1,1,0.11920292202211755,1
race,African-American,65,4,1,0.11920292202211755,1
race,African-American,65,1,0,0.0024726231566347743,1
race,African-American,65,2,0,0.015821049545692818,1
race,African-American,65,3,0,0.004582737040459815,1
race,African-American,65,4,0,0.0024726231566347743,1
race,African-American,56,1,0,0.00692209861965412,1
race,African-American,56,2,0,0.02116082800230424,1
race,African-American,56,3,0,0.025216642063066372,1
race,African-American,56,4,0,0.10525316314854682,1
race,African-American,56,1,1,0.0024726231566347743,1
race,African-American,57,1,0,0.0069429393192331455,1
race,African-American,57,2,0,0.033018095795374826,1
race,African-American,57,3,0,0.003879365745851468,1
race,African-American,57,4,0,0.06765066002752668,1
race,African-American,64,1,0,0.008091779409251276,1
race,African-American,64,2,0,0.0024726231566347743,1
race,African-American,64,3,0,0.0038793657458514683,1
race,African-American,64,4,0,0.005637793982372335,1
race,African-American,64,4,1,0.2689414213699951,1
race,African-American,66,1,0,0.0024726231566347743,1
race,African-American,66,2,0,0.03271025481491798,1
race,African-American,66,3,0,0.11920292202211755,1
race,African-American,66,1,1,0.11920292202211755,1
race,African-American,58,1,0,0.02611175992605104,1
race,African-American,58,2,0,0.010100295378953655,1
race,African-American,58,3,0,0.012074945377281815,1
race,African-American,58,4,0,0.030666866926270703,1
race,African-American,69,1,0,0.0024726231566347743,1
race,African-American,69,3,0,0.0066928509242848554,1
race,African-American,18,1,0,0.018155001526512712,1
race,African-American,18,2,0,0.014641453729465922,1
race,African-American,18,3,0,0.008874171303732801,1
race,African-American,18,4,0,0.056674416235885546,1
race,African-American,18,1,1,0.09049210248429726,1
race,African-American,18,2,1,0.04742587317756678,1
race,African-American,18,3,1,0.11920292202211755,1
race,African-American,68,1,0,0.0024726231566347743,1
race,African-American,68,3,0,0.0024726231566347743,1
race,African-American,68,4,0,0.012339530443188206,1
race,African-American,67,1,0,0.06083777258937616,1
race,African-American,67,2,0,0.04742587317756678,1
race,African-American,67,3,0,0.0066928509242848554,1
race,African-American,67,4,0,0.004582737040459815,1
race,African-American,70,1,0,0.0024726231566347743,1
race,Caucasian,28,1,0,0.009186193864541529,1
race,Caucasian,28,2,0,0.014957820818478936,1
race,Caucasian,28,3,0,0.021944429086858286,1
race,Caucasian,28,4,0,0.040318720400628325,1
race,Caucasian,28,1,1,0.14519007218989313,1
race,Caucasian,28,2,1,0.1309090268108575,1
race,Caucasian,28,3,1,0.09107540424765936,1
race,Caucasian,28,4,1,0.2231119318510786,1
race,Caucasian,23,1,0,0.007923407435985892,1
race,Caucasian,23,2,0,0.01762472302487532,1
race,Caucasian,23,3,0,0.01756295420758169,1
race,Caucasian,23,4,0,0.03596928464911953,1
race,Caucasian,23,1,1,0.03565337848744775,1
race,Caucasian,23,2,1,0.15818364727378095,1
race,Caucasian,23,3,1,0.0066928509242848554,1
race,Caucasian,23,4,1,0.17864355686450967,1
race,Caucasian,49,1,0,0.00871677128112437,1
race,Caucasian,49,2,0,0.019619682459009722,1
race,Caucasian,49,3,0,0.023469866843066636,1
race,Caucasian,49,4,0,0.02857872963939575,1
race,Caucasian,49,2,1,0.2689414213699951,1
race,Caucasian,49,3,1,0.0629478864732012,1
race,Caucasian,49,4,1,0.16911575513807672,1
race,Caucasian,44,1,0,0.009790999466162657,1
race,Caucasian,44,2,0,0.013442294975712815,1
race,Caucasian,44,3,0,0.016351431025955387,1
race,Caucasian,44,4,0,0.041289173160386106,1
race,Caucasian,44,1,1,0.04742587317756678,1
race,Caucasian,44,2,1,0.0024726231566347743,1
race,Caucasian,44,4,1,0.12082841184306681,1
race,Caucasian,34,1,0,0.008848256618182742,1
race,Caucasian,34,2,0,0.016442303412844462,1
race,Caucasian,34,3,0,0.023956114562617196,1
race,Caucasian,34,4,0,0.045165466894844485,1
race,Caucasian,34,1,1,0.06083777258937616,1
race,Caucasian,34,2,1,0.0765255605576285,1
race,Caucasian,34,3,1,0.11056576687349108,1
race,Caucasian,34,4,1,0.1471855575355456,1
race,Caucasian,22,1,0,0.008264073369323366,1
race,Caucasian,22,2,0,0.016180966766374087,1
race,Caucasian,22,3,0,0.01823670582456445,1
race,Caucasian,22,4,0,0.03245929616405449,1
race,Caucasian,22,1,1,0.04742587317756678,1
race,Caucasian,22,2,1,0.08029282240028995,1
race,Caucasian,22,3,1,0.13570702226331494,1
race,Caucasian,22,4,1,0.18494553200771816,1
race,Caucasian,43,1,0,0.010661937709719148,1
race,Caucasian,43,2,0,0.011497623791847208,1
race,Caucasian,43,3,0,0.01810461653827442,1
race,Caucasian,43,4,0,0.047667399851985405,1
race,Caucasian,43,1,1,0.11920292202211755,1
race,Caucasian,43,2,1,0.11920292202211755,1
race,Caucasian,43,4,1,0.12939417049339832,1
race,Caucasian,40,1,1,0.0024726231566347743,1
race,Caucasian,40,2,1,0.04742587317756678,1
race,Caucasian,40,4,1,0.11272091206712347,1
race,Caucasian,40,1,0,0.011228622362280099,1
race,Caucasian,40,2,0,0.024580044004483943,1
race,Caucasian,40,3,0,0.02754986044204458,1
race,Caucasian,40,4,0,0.04671876061653474,1
race,Caucasian,56,1,0,0.00842436307906406,1
race,Caucasian,56,2,0,0.014614082384492435,1
race,Caucasian,56,3,0,0.023949527452742477,1
race,Caucasian,56,4,0,0.03791869492781322,1
race,Caucasian,56,3,1,0.0066928509242848554,1
race,Caucasian,56,4,1,0.2689414213699951,1
race,Caucasian,32,1,0,0.008770517486742969,1
race,Caucasian,32,2,0,0.01683495193023701,1
race,Caucasian,32,3,0,0.03063026735924196,1
race,Caucasian,32,4,0,0.040922032328493105,1
race,Caucasian,32,1,1,0.018863782419495472,1
race,Caucasian,32,2,1,0.19407217169605634,1
race,Caucasian,32,3,1,0.2689414213699951,1
race,Caucasian,32,4,1,0.18147574955889706,1
race,Caucasian,24,1,0,0.0090021176353583,1
race,Caucasian,24,2,0,0.014534895258374796,1
race,Caucasian,24,3,0,0.01197527891488127,1
race,Caucasian,24,4,0,0.04261178237397385,1
race,Caucasian,24,1,1,0.11144915234968636,1
race,Caucasian,24,2,1,0.004582737040459815,1
race,Caucasian,24,4,1,0.2015317274085979,1
race,Caucasian,51,1,0,0.007352981417018914,1
race,Caucasian,51,2,0,0.020976901418180913,1
race,Caucasian,51,3,0,0.0181427820693118,1
race,Caucasian,51,4,0,0.0414631461147968,1
race,Caucasian,51,1,1,0.0024726231566347743,1
race,Caucasian,51,2,1,0.0024726231566347743,1
race,Caucasian,51,3,1,0.11920292202211755,1
race,Caucasian,51,4,1,0.20904602163084407,1
race,Caucasian,61,1,0,0.011661911042709451,1
race,Caucasian,61,2,0,0.010703185060046519,1
race,Caucasian,61,3,0,0.05098293456053203,1
race,Caucasian,61,4,0,0.03849352059869011,1
race,Caucasian,39,1,0,0.013109370737882016,1
race,Caucasian,39,2,0,0.017807503628891892,1
race,Caucasian,39,3,0,0.0214216916370008,1
race,Caucasian,39,4,0,0.03737684498237518,1
race,Caucasian,39,1,1,0.03384819909313947,1
race,Caucasian,39,2,1,0.06083777258937616,1
race,Caucasian,39,3,1,0.19407217169605634,1
race,Caucasian,39,4,1,0.2021591362440316,1
race,Caucasian,29,1,0,0.009367989235639612,1
race,Caucasian,29,2,0,0.012536562306462275,1
race,Caucasian,29,3,0,0.015895204395164328,1
race,Caucasian,29,4,0,0.04777213427724364,1
race,Caucasian,29,1,1,0.06475703280349324,1
race,Caucasian,29,2,1,0.11920292202211753,1
race,Caucasian,29,3,1,0.06456271908353671,1
race,Caucasian,29,4,1,0.16360531599007502,1
race,Caucasian,30,1,0,0.006769303172813807,1
race,Caucasian,30,2,0,0.014383978890596694,1
race,Caucasian,30,3,0,0.024396092158695922,1
race,Caucasian,30,4,0,0.049303045195479435,1
race,Caucasian,30,1,1,0.03244145650392278,1
race,Caucasian,30,2,1,0.03565337848744775,1
race,Caucasian,30,3,1,0.2689414213699951,1
race,Caucasian,30,4,1,0.17671498001056635,1
race,Caucasian,38,1,0,0.008494611619299045,1
race,Caucasian,38,2,0,0.016440014106932598,1
race,Caucasian,38,3,0,0.012135199734115951,1
race,Caucasian,38,4,0,0.03779536814637381,1
race,Caucasian,38,1,1,0.04394856732015098,1
race,Caucasian,38,2,1,0.024949248167100778,1
race,Caucasian,38,3,1,0.0629478864732012,1
race,Caucasian,38,4,1,0.21406026744753798,1
race,Caucasian,25,1,0,0.010335549378716181,1
race,Caucasian,25,2,0,0.013313393566989127,1
race,Caucasian,25,3,0,0.017325026506162036,1
race,Caucasian,25,4,0,0.03542060057652815,1
race,Caucasian,25,1,1,0.04278946536767906,1
race,Caucasian,25,2,1,0.09049210248429725,1
race,Caucasian,25,3,1,0.13161239810546585,1
race,Caucasian,25,4,1,0.15020529130403457,1
race,Caucasian,50,1,0,0.006801480244984571,1
race,Caucasian,50,2,0,0.020542577241751663,1
race,Caucasian,50,3,0,0.009890567018007336,1
race,Caucasian,50,4,0,0.039079957966476626,1
race,Caucasian,50,1,1,0.0024726231566347743,1
race,Caucasian,50,2,1,0.0066928509242848554,1
race,Caucasian,50,3,1,0.04742587317756678,1
race,Caucasian,50,4,1,0.15885497934926335,1
race,Caucasian,21,1,0,0.008995794478965287,1
race,Caucasian,21,2,0,0.014159848213971031,1
race,Caucasian,21,3,0,0.01978074191557149,1
race,Caucasian,21,4,0,0.047205402305333814,1
race,Caucasian,21,1,1,0.11920292202211755,1
race,Caucasian,21,2,1,0.0629478864732012,1
race,Caucasian,21,3,1,0.09980787450004157,1
race,Caucasian,21,4,1,0.14251877822261552,1
race,Caucasian,41,1,0,0.009929533110674982,1
race,Caucasian,41,2,0,0.01829119936436459,1
race,Caucasian,41,3,0,0.024488559259087304,1
race,Caucasian,41,4,0,0.0460880202731427,1
race,Caucasian,41,1,1,0.005637793982372335,1
race,Caucasian,41,2,1,0.2689414213699951,1
race,Caucasian,41,3,1,0.2689414213699951,1
race,Caucasian,41,4,1,0.17720271968605197,1
race,Caucasian,26,1,0,0.008895949667634061,1
race,Caucasian,26,2,0,0.01522472077248572,1
race,Caucasian,26,3,0,0.026007528191014505,1
race,Caucasian,26,4,0,0.045178928841819434,1
