Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.005600213459851957,0
race,African-American,46,2,1,0.021918695153957335,0
race,African-American,46,4,1,0.07918321705858009,0
race,African-American,46,1,0,0.0030436699151470863,0
race,African-American,46,2,0,0.013995816321525627,0
race,African-American,46,3,0,0.013872649662516778,0
race,African-American,46,4,0,0.029440809021479556,0
race,African-American,30,1,0,0.005741393319527555,0
race,African-American,30,2,0,0.010018862285658306,0
race,African-American,30,3,0,0.025815580421550206,0
race,African-American,30,4,0,0.038927685305736114,0
race,African-American,30,1,1,0.010483094948974633,0
race,African-American,30,2,1,0.0469639711772112,0
race,African-American,30,3,1,0.042634596793396554,0
race,African-American,30,4,1,0.09877831906801277,0
race,African-American,29,1,0,0.005464140906098364,0
race,African-American,29,2,0,0.007302471054812601,0
race,African-American,29,3,0,0.02623276643369518,0
race,African-American,29,4,0,0.030347483473720654,0
race,African-American,29,1,1,0.02057026139125339,0
race,African-American,29,2,1,0.015339473029112196,0
race,African-American,29,4,1,0.028461760587938947,0
race,African-American,22,1,0,0.0038005391405091303,0
race,African-American,22,2,0,0.009363334230487847,0
race,African-American,22,3,0,0.01144616180340248,0
race,African-American,22,4,0,0.04137555842408516,0
race,African-American,22,1,1,0.0028037014581701663,0
race,African-American,22,2,1,0.0019491208927922665,0
race,African-American,22,3,1,0.027724704771582908,0
race,African-American,22,4,1,0.0178624895232968,0
race,African-American,34,1,0,0.005639100439892646,0
race,African-American,34,2,0,0.007939944896037037,0
race,African-American,34,3,0,0.017163868772658002,0
race,African-American,34,4,0,0.045566401013029785,0
race,African-American,34,1,1,0.013199889934803238,0
race,African-American,34,2,1,0.005493442965963946,0
race,African-American,34,3,1,0.004071827904278615,0
race,African-American,34,4,1,0.06483353268579903,0
race,African-American,37,1,0,0.005564786642359777,0
race,African-American,37,2,0,0.011084744980200761,0
race,African-American,37,3,0,0.017463089106530588,0
race,African-American,37,4,0,0.03383644242786202,0
race,African-American,37,1,1,0.02852415130061077,0
race,African-American,37,4,1,0.02407033644627453,0
race,African-American,53,1,0,0.0037446029009173807,0
race,African-American,53,2,0,0.00720215713710798,0
race,African-American,53,3,0,0.016611514057408558,0
race,African-American,53,4,0,0.01614715288058631,0
race,African-American,53,1,1,0.002773128294953189,0
race,African-American,53,4,1,0.16208968967445495,0
race,African-American,23,1,0,0.005721780740617878,0
race,African-American,23,2,0,0.010820468700941051,0
race,African-American,23,3,0,0.015727711438878057,0
race,African-American,23,4,0,0.03567425783814739,0
race,African-American,23,1,1,0.005665775771678291,0
race,African-American,23,2,1,0.007334644458273613,0
race,African-American,23,3,1,0.027941746483254433,0
race,African-American,23,4,1,0.06664773746713515,0
race,African-American,24,1,0,0.0062748075507118115,0
race,African-American,24,2,0,0.014661005375068033,0
race,African-American,24,3,0,0.01004203954727937,0
race,African-American,24,4,0,0.0401762895919374,0
race,African-American,24,1,1,0.008706264419402622,0
race,African-American,24,2,1,0.010525279077455594,0
race,African-American,24,4,1,0.10888388806195726,0
race,African-American,26,1,0,0.0056237083552018825,0
race,African-American,26,2,0,0.010741632158236689,0
race,African-American,26,3,0,0.013579751028118876,0
race,African-American,26,4,0,0.04902863594029811,0
race,African-American,26,1,1,0.005902651350304312,0
race,African-American,26,2,1,0.0024036396342658564,0
race,African-American,26,3,1,0.009383853263729963,0
race,African-American,26,4,1,0.069474656970168,0
race,African-American,35,1,0,0.00568196591975644,0
race,African-American,35,2,0,0.008009363067110531,0
race,African-American,35,3,0,0.019301782345461607,0
race,African-American,35,4,0,0.056203866951258036,0
race,African-American,35,1,1,0.011042682587127409,0
race,African-American,35,2,1,0.007513132824299517,0
race,African-American,35,3,1,0.01631739543209828,0
race,African-American,35,4,1,0.05764090180817472,0
race,African-American,38,1,0,0.004926479229663242,0
race,African-American,38,2,0,0.00818905145187143,0
race,African-American,38,3,0,0.034320092143032235,0
race,African-American,38,4,0,0.032899489234367585,0
race,African-American,38,1,1,0.005491002339082601,0
race,African-American,38,2,1,0.055702081513357767,0
race,African-American,38,4,1,0.1759641840157371,0
race,African-American,25,1,1,0.004214101700109086,0
race,African-American,25,2,1,0.016086187296249704,0
race,African-American,25,3,1,0.02782252751385266,0
race,African-American,25,4,1,0.06817847561006687,0
race,African-American,25,1,0,0.0054955357058351926,0
race,African-American,25,2,0,0.009316188938677823,0
race,African-American,25,3,0,0.013440736543594107,0
race,African-American,25,4,0,0.043997461842747505,0
race,African-American,32,1,0,0.00532335442804719,0
race,African-American,32,2,0,0.007369832448222468,0
race,African-American,32,3,0,0.02828174431640491,0
race,African-American,32,4,0,0.03558236189740877,0
race,African-American,32,2,1,0.03362708780692079,0
race,African-American,32,3,1,0.05598360512727617,0
race,African-American,32,4,1,0.0555054653414794,0
race,African-American,42,1,0,0.004995327771380535,0
race,African-American,42,2,0,0.01087126922897576,0
race,African-American,42,3,0,0.03126911223956705,0
race,African-American,42,4,0,0.04388160423704235,0
race,African-American,42,1,1,0.006553444791454961,0
race,African-American,42,2,1,0.016908521027666386,0
race,African-American,42,4,1,0.10988664958515865,0
race,African-American,41,1,0,0.004279878747019413,0
race,African-American,41,2,0,0.009829537264693287,0
race,African-American,41,3,0,0.013078105451852907,0
race,African-American,41,4,0,0.02011066068447232,0
race,African-American,41,1,1,0.0050000878016814715,0
race,African-American,41,2,1,0.11003591510621544,0
race,African-American,41,3,1,0.026619450445860355,0
race,African-American,41,4,1,0.06371158413685347,0
