Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.04742587317756678,1
race,African-American,46,2,1,0.19407217169605634,1
race,African-American,46,4,1,0.23150679653302572,1
race,African-American,46,1,0,0.05316803708513084,1
race,African-American,46,2,0,0.10827081415782175,1
race,African-American,46,3,0,0.09596439481379797,1
race,African-American,46,4,0,0.12629032661332903,1
race,African-American,30,1,0,0.05639800428313563,1
race,African-American,30,2,0,0.092801895510309,1
race,African-American,30,3,0,0.10059405750686362,1
race,African-American,30,4,0,0.12599873938526082,1
race,African-American,30,1,1,0.08331439759984216,1
race,African-American,30,2,1,0.11920292202211755,1
race,African-American,30,3,1,0.19407217169605634,1
race,African-American,30,4,1,0.2240198715656318,1
race,African-American,29,1,0,0.05648389875061863,1
race,African-American,29,2,0,0.07588908640901938,1
race,African-American,29,3,0,0.1107461577214467,1
race,African-American,29,4,0,0.12996729060694007,1
race,African-American,29,1,1,0.11920292202211755,1
race,African-American,29,2,1,0.10125865981097987,1
race,African-American,29,4,1,0.12008640797337126,1
race,African-American,22,1,0,0.05481468702921172,1
race,African-American,22,2,0,0.09286724440673527,1
race,African-American,22,3,0,0.09816470020368678,1
race,African-American,22,4,0,0.1413525745533211,1
race,African-American,22,1,1,0.04742587317756679,1
race,African-American,22,2,1,0.04742587317756678,1
race,African-American,22,3,1,0.11920292202211755,1
race,African-American,22,4,1,0.11920292202211756,1
race,African-American,34,1,0,0.057213652565460064,1
race,African-American,34,2,0,0.07209923371788111,1
race,African-American,34,3,0,0.10230393793265878,1
race,African-American,34,4,0,0.1297008554502074,1
race,African-American,34,1,1,0.04742587317756678,1
race,African-American,34,2,1,0.04742587317756678,1
race,African-American,34,3,1,0.11920292202211755,1
race,African-American,34,4,1,0.13990291746313613,1
race,African-American,37,1,0,0.055185554133734424,1
race,African-American,37,2,0,0.07873540773216464,1
race,African-American,37,3,0,0.07135155612575035,1
race,African-American,37,4,0,0.1302673016005414,1
race,African-American,37,1,1,0.15818364727378095,1
race,African-American,37,4,1,0.11920292202211755,1
race,African-American,53,1,0,0.061097692005100256,1
race,African-American,53,2,0,0.09913693675644418,1
race,African-American,53,3,0,0.10983254385272116,1
race,African-American,53,4,0,0.10484751225320739,1
