Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,0,0.0002599341752542245,0
race,African-American,46,2,0,0.0009830694265191159,0
race,African-American,46,3,0,0.00094464863520151,0
race,African-American,46,4,0,0.0052741728507904595,0
race,African-American,46,1,1,0.0005680117019873899,0
race,African-American,46,4,1,0.03540760789240565,0
race,African-American,30,1,0,0.00039799133531375137,0
race,African-American,30,2,0,0.0009172604868273255,0
race,African-American,30,3,0,0.002095038340879294,0
race,African-American,30,4,0,0.006291982495469509,0
race,African-American,30,1,1,0.000498700832558051,0
race,African-American,30,2,1,0.008863359381176612,0
race,African-American,30,3,1,0.0059607524253715485,0
race,African-American,30,4,1,0.04731032395695703,0
race,African-American,29,1,0,0.0003344910013526973,0
race,African-American,29,2,0,0.00041658557864115243,0
race,African-American,29,3,0,0.0015275048973909956,0
race,African-American,29,4,0,0.004102846496488207,0
race,African-American,29,2,1,0.0013554184214877958,0
race,African-American,29,4,1,0.002100720450424408,0
race,African-American,22,1,0,0.00021798059838923394,0
race,African-American,22,2,0,0.0005641988943864235,0
race,African-American,22,3,0,0.0008830794139705567,0
race,African-American,22,4,0,0.005536548198128384,0
race,African-American,22,1,1,0.0003717004288277387,0
race,African-American,22,4,1,0.0016895084558456919,0
race,African-American,34,1,0,0.0003070618839363408,0
race,African-American,34,2,0,0.0005842408363667203,0
race,African-American,34,3,0,0.001212877225229146,0
race,African-American,34,4,0,0.007131811357730058,0
race,African-American,34,4,1,0.003517366509437892,0
race,African-American,37,1,0,0.0004930480685429055,0
race,African-American,37,2,0,0.0007246730042154884,0
race,African-American,37,3,0,0.0015515044866314966,0
race,African-American,37,4,0,0.005265089533306163,0
race,African-American,53,1,0,0.00023146512486169984,0
race,African-American,53,2,0,0.0007935316640232321,0
race,African-American,53,3,0,0.0010329234701434774,0
race,African-American,53,4,0,0.00609256595619298,0
race,African-American,53,4,1,0.013129886473251839,0
race,African-American,23,1,0,0.0003435445363844393,0
race,African-American,23,2,0,0.0005382579194520906,0
race,African-American,23,3,0,0.0010134234716204305,0
race,African-American,23,4,0,0.004604617862985144,0
race,African-American,23,2,1,0.0002537857660634865,0
race,African-American,23,3,1,0.0039046967292482074,0
race,African-American,23,4,1,0.005597512265371485,0
race,African-American,24,1,0,0.00037673805231910884,0
race,African-American,24,2,0,0.000954834040624191,0
race,African-American,24,3,0,0.0006886879289286924,0
race,African-American,24,4,0,0.006705143098469143,0
race,African-American,24,1,1,8.469956314904505e-05,0
race,African-American,24,4,1,0.03709114111264301,0
race,African-American,26,1,0,0.0002945172598772706,0
race,African-American,26,2,0,0.0007184239444729984,0
race,African-American,26,3,0,0.0010820967064110408,0
race,African-American,26,4,0,0.008363708389942007,0
race,African-American,26,1,1,0.00022934538520187026,0
race,African-American,26,2,1,6.900944293245741e-05,0
race,African-American,26,3,1,0.001257739146301872,0
race,African-American,26,4,1,0.027440174925587594,0
race,African-American,35,1,0,0.00039347225604120193,0
race,African-American,35,2,0,0.0006530128131005221,0
race,African-American,35,3,0,0.0014695957697399898,0
race,African-American,35,4,0,0.00977908268542876,0
race,African-American,35,4,1,0.004525244602777793,0
race,African-American,38,1,0,0.00031407680100444793,0
race,African-American,38,2,0,0.0006270179121140053,0
race,African-American,38,3,0,0.003401514732196675,0
race,African-American,38,4,0,0.008341067983866777,0
race,African-American,38,2,1,0.013934592026403146,0
race,African-American,38,4,1,0.022804528945582356,0
race,African-American,25,1,1,0.0007722625687250321,0
race,African-American,25,2,1,0.0009047037802415355,0
race,African-American,25,3,1,0.009611333105451786,0
race,African-American,25,4,1,0.019421571528658,0
race,African-American,25,1,0,0.0003271742003086177,0
race,African-American,25,2,0,0.0005006954860293687,0
race,African-American,25,3,0,0.000789304111541279,0
race,African-American,25,4,0,0.005812555184891467,0
race,African-American,32,1,0,0.00026838999830816905,0
race,African-American,32,2,0,0.00043199404365122494,0
race,African-American,32,3,0,0.0019879914551899644,0
race,African-American,32,4,0,0.00499545069635421,0
race,African-American,32,2,1,0.005947505808207401,0
race,African-American,32,3,1,0.0018778310187921546,0
race,African-American,32,4,1,0.0037263477344661165,0
race,African-American,42,1,0,0.00037352854837101817,0
race,African-American,42,2,0,0.00089682859913865,0
race,African-American,42,3,0,0.002978087332815134,0
race,African-American,42,4,0,0.00696876569747009,0
race,African-American,42,2,1,0.0024447714334421855,0
race,African-American,41,1,0,0.0003349448254149481,0
race,African-American,41,2,0,0.0022661226903186713,0
race,African-American,41,3,0,0.0012067041451333897,0
race,African-American,41,4,0,0.0035287228098568263,0
race,African-American,41,1,1,0.00021991337396533666,0
race,African-American,41,3,1,0.0013817155608061764,0
race,African-American,41,4,1,0.014605740672494648,0
race,African-American,33,1,0,0.0002548921341244118,0
race,African-American,33,2,0,0.0007368981421149817,0
race,African-American,33,3,0,0.0012114380244843412,0
race,African-American,33,4,0,0.006136527252664728,0
race,African-American,33,2,1,0.00012911388980449076,0
race,African-American,33,3,1,0.0034459290041375734,0
race,African-American,33,4,1,0.013215221946443029,0
race,African-American,31,1,0,0.00035620884576811337,0
race,African-American,31,2,0,0.0008475888631392293,0
race,African-American,31,3,0,0.001405599706974092,0
race,African-American,31,4,0,0.010761878595402712,0
race,African-American,31,3,1,0.004476982138868173,0
race,African-American,31,4,1,0.04230935598252651,0
race,African-American,50,1,0,0.0002542486324229762,0
race,African-American,50,2,0,0.00031324313910611,0
race,African-American,50,3,0,0.0010762463204168056,0
race,African-American,50,4,0,0.004073830170734875,0
race,African-American,50,1,1,0.00027093866369848135,0
race,African-American,50,2,1,0.005716339964152622,0
race,African-American,50,4,1,0.010058000397597428,0
race,African-American,28,1,0,0.0004464949679113973,0
race,African-American,28,2,0,0.00048585847321972413,0
race,African-American,28,3,0,0.00161979847702363,0
race,African-American,28,4,0,0.005747026559156206,0
race,African-American,28,3,1,0.002540006257552998,0
race,African-American,28,4,1,0.012514484869580829,0
race,African-American,52,1,0,0.0002280132854176905,0
race,African-American,52,2,0,0.0005246887617007968,0
race,African-American,52,3,0,0.0011937681123631433,0
race,African-American,52,4,0,0.0025958378139811556,0
race,African-American,52,4,1,0.006736672461245228,0
race,African-American,51,1,0,0.0002456056521055041,0
race,African-American,51,2,0,0.0005670807183232067,0
race,African-American,51,3,0,0.0007984132754633857,0
race,African-American,51,4,0,0.0016415271105484266,0
race,African-American,51,2,1,0.00029418037747860166,0
race,African-American,40,1,0,0.0005045348566039676,0
race,African-American,40,2,0,0.0004803826029345786,0
