Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.01798620996209156,0
race,African-American,46,2,1,0.04742587317756678,0
race,African-American,46,4,1,0.19407217169605634,0
race,African-American,46,1,0,0.014758615868136704,0
race,African-American,46,2,0,0.03687690054788008,0
race,African-American,46,3,0,0.03451984101244375,0
race,African-American,46,4,0,0.08367792197189539,0
race,African-American,30,1,0,0.017212009096265517,0
race,African-American,30,2,0,0.04767073662762776,0
race,African-American,30,3,0,0.03890014364659106,0
race,African-American,30,4,0,0.0929712354389431,0
race,African-American,30,1,1,0.01798620996209156,0
race,African-American,30,2,1,0.04742587317756678,0
race,African-American,30,3,1,0.11920292202211755,0
race,African-American,30,4,1,0.19469061186193393,0
race,African-American,29,1,0,0.01411607832348043,0
race,African-American,29,2,0,0.023765839252925143,0
race,African-American,29,3,0,0.05862029084210365,0
race,African-American,29,4,0,0.0791573384315705,0
race,African-American,29,2,1,0.2689414213699951,0
race,African-American,29,4,1,0.07313114203652168,0
race,African-American,22,1,0,0.01285321364834294,0
race,African-American,22,2,0,0.03873549931422941,0
race,African-American,22,3,0,0.05095733709884875,0
race,African-American,22,4,0,0.08272367388546573,0
race,African-American,22,1,1,0.012339530443188206,0
race,African-American,22,4,1,0.17612790948491863,0
race,African-American,34,1,0,0.01321919270676216,0
race,African-American,34,2,0,0.02586697592485868,0
race,African-American,34,3,0,0.05293952174011271,0
race,African-American,34,4,0,0.09253441144058856,0
race,African-American,34,1,1,0.01798620996209156,0
race,African-American,34,4,1,0.12832062017988882,0
race,African-American,37,1,0,0.01399404341626138,0
race,African-American,37,2,0,0.028497148088884004,0
race,African-American,37,3,0,0.041553493784199536,0
race,African-American,37,4,0,0.07900921558886906,0
race,African-American,37,4,1,0.2689414213699951,0
race,African-American,53,1,0,0.010620975807000227,0
race,African-American,53,2,0,0.05506627475486068,0
race,African-American,53,3,0,0.0376303985928577,0
race,African-American,53,4,0,0.059355383642862795,0
race,African-American,53,4,1,0.11920292202211755,0
race,African-American,23,1,0,0.019578897991858763,0
race,African-American,23,2,0,0.03896751051215802,0
race,African-American,23,3,0,0.040930425028393946,0
race,African-American,23,4,0,0.08776905429329747,0
race,African-American,23,1,1,0.01798620996209156,0
race,African-American,23,2,1,0.04742587317756678,0
race,African-American,23,3,1,0.2689414213699951,0
race,African-American,23,4,1,0.16891703430548993,0
race,African-American,24,1,0,0.01819510756310939,0
race,African-American,24,2,0,0.04558869274161623,0
race,African-American,24,3,0,0.02865663965719321,0
race,African-American,24,4,0,0.09743825411627634,0
race,African-American,24,1,1,0.0066928509242848554,0
race,African-American,24,2,1,0.04742587317756678,0
race,African-American,24,3,1,0.04742587317756678,0
race,African-American,24,4,1,0.2689414213699951,0
race,African-American,26,1,0,0.015002058134863012,0
race,African-American,26,2,0,0.026602780243873234,0
race,African-American,26,3,0,0.04439476828894351,0
race,African-American,26,4,0,0.09339064638643126,0
race,African-American,26,1,1,0.04742587317756678,0
race,African-American,26,2,1,0.0066928509242848554,0
race,African-American,26,3,1,0.04742587317756678,0
race,African-American,26,4,1,0.17909832176126858,0
race,African-American,35,1,0,0.017259437815913097,0
race,African-American,35,2,0,0.04530480711043813,0
race,African-American,35,3,0,0.04748431676452209,0
race,African-American,35,4,0,0.09218957766460123,0
race,African-American,35,2,1,0.0066928509242848554,0
race,African-American,35,4,1,0.12890727947968786,0
race,African-American,38,1,0,0.01651036399885091,0
race,African-American,38,2,0,0.038652951998191694,0
race,African-American,38,3,0,0.055659710703166075,0
race,African-American,38,4,0,0.10435566429341168,0
race,African-American,38,2,1,0.11920292202211755,0
race,African-American,38,4,1,0.11920292202211755,0
race,African-American,25,1,1,0.0629478864732012,0
race,African-American,25,2,1,0.01798620996209156,0
race,African-American,25,3,1,0.11920292202211755,0
race,African-American,25,4,1,0.13479521212278292,0
race,African-American,25,1,0,0.01609432356957844,0
race,African-American,25,2,0,0.026605797733868102,0
race,African-American,25,3,0,0.043322532803385265,0
race,African-American,25,4,0,0.08772197633454218,0
race,African-American,32,1,0,0.01069860844035218,0
race,African-American,32,2,0,0.026054735122518255,0
race,African-American,32,3,0,0.0453679842227907,0
race,African-American,32,4,0,0.09219291231253726,0
race,African-American,32,2,1,0.06859456599210455,0
race,African-American,32,3,1,0.04742587317756678,0
race,African-American,32,4,1,0.14519007218989316,0
race,African-American,42,1,0,0.015335193862776804,0
race,African-American,42,2,0,0.026221265029158773,0
race,African-American,42,3,0,0.049238633901241016,0
race,African-American,42,4,0,0.0983677509324689,0
race,African-American,42,2,1,0.11920292202211755,0
race,African-American,41,1,0,0.015227441903426403,0
race,African-American,41,2,0,0.03804525909756785,0
race,African-American,41,3,0,0.04953355073164326,0
race,African-American,41,4,0,0.06849310005687836,0
race,African-American,41,1,1,0.0066928509242848554,0
race,African-American,41,3,1,0.04742587317756678,0
race,African-American,41,4,1,0.10125865981097987,0
race,African-American,33,1,0,0.013000593742896612,0
race,African-American,33,2,0,0.03805499872717625,0
race,African-American,33,3,0,0.032519715181177626,0
race,African-American,33,4,0,0.08666978893986635,0
race,African-American,33,2,1,0.02705936205092582,0
race,African-American,33,3,1,0.08331439759984216,0
race,African-American,33,4,1,0.13122375804527509,0
race,African-American,31,1,0,0.016544244647577176,0
race,African-American,31,2,0,0.040964785035313186,0
race,African-American,31,3,0,0.045936848715054435,0
race,African-American,31,4,0,0.09600313009998264,0
race,African-American,31,3,1,0.2689414213699951,0
race,African-American,31,4,1,0.18210933022196452,0
race,African-American,50,1,0,0.01237844223741267,0
race,African-American,50,2,0,0.025813792698410273,0
race,African-American,50,3,0,0.06577122623265287,0
race,African-American,50,4,0,0.10056592076590659,0
race,African-American,50,1,1,0.01798620996209156,0
race,African-American,50,2,1,0.11920292202211755,0
race,African-American,50,4,1,0.08331439759984216,0
race,African-American,28,1,0,0.021028320088790492,0
