Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.016862758054193,0
race,African-American,46,2,1,0.07427258805513016,0
race,African-American,46,4,1,0.17767089963993105,0
race,African-American,46,1,0,0.023085983808508067,0
race,African-American,46,2,0,0.014833713209211575,0
race,African-American,46,3,0,0.048513141495251225,0
race,African-American,46,4,0,0.10269335404066811,0
race,African-American,30,1,0,0.023255279944738798,0
race,African-American,30,2,0,0.05093195981090434,0
race,African-American,30,3,0,0.05074992188532358,0
race,African-American,30,4,0,0.10845211590834183,0
race,African-American,30,1,1,0.09357798165137615,0
race,African-American,30,3,1,0.09584752947357845,0
race,African-American,30,4,1,0.1690938209347785,0
race,African-American,29,1,0,0.020291643520031755,0
race,African-American,29,2,0,0.03223029078512977,0
race,African-American,29,3,0,0.05655604119822235,0
race,African-American,29,4,0,0.09150702038075739,0
race,African-American,29,2,1,0.11320754716981132,0
race,African-American,29,4,1,0.14746384293287823,0
race,African-American,22,1,0,0.013656146695728158,0
race,African-American,22,2,0,0.037500949917458205,0
race,African-American,22,3,0,0.04592471636834391,0
race,African-American,22,4,0,0.10603246767595968,0
race,African-American,22,1,1,0.02003338898163606,0
race,African-American,22,3,1,0.059763313609467454,0
race,African-American,22,4,1,0.17716749532568055,0
race,African-American,34,1,0,0.020616132907260436,0
race,African-American,34,2,0,0.034074226962328744,0
race,African-American,34,3,0,0.052762777824818065,0
race,African-American,34,4,0,0.11598182087285172,0
race,African-American,34,2,1,0.1492204899777283,0
race,African-American,34,4,1,0.2103927541866077,0
race,African-American,37,1,0,0.028020287642536428,0
race,African-American,37,2,0,0.042636518831508756,0
race,African-American,37,3,0,0.04289915062216329,0
race,African-American,37,4,0,0.08168057026559997,0
race,African-American,37,2,1,0.02784048156508653,0
race,African-American,37,4,1,0.12153887829508682,0
race,African-American,53,1,0,0.012573629050090566,0
race,African-American,53,2,0,0.047159408166754124,0
race,African-American,53,3,0,0.05517566970815151,0
race,African-American,53,4,0,0.10645398241510495,0
race,African-American,53,4,1,0.15751918158567774,0
race,African-American,23,1,0,0.02544688331480765,0
race,African-American,23,2,0,0.03484532412448295,0
race,African-American,23,3,0,0.029468107915478086,0
race,African-American,23,4,0,0.08471707394504609,0
race,African-American,23,1,1,0.02865019168270693,0
race,African-American,23,2,1,0.021348314606741574,0
race,African-American,23,3,1,0.061146709108156776,0
race,African-American,23,4,1,0.15205057340152667,0
race,African-American,24,1,0,0.02406009149231024,0
race,African-American,24,2,0,0.04467544578300226,0
race,African-American,24,3,0,0.0324232823919079,0
race,African-American,24,4,0,0.11060301338885462,0
race,African-American,24,2,1,0.1214488913995766,0
race,African-American,24,3,1,0.05896805896805897,0
race,African-American,24,4,1,0.18287347757081274,0
race,African-American,26,1,0,0.018749681615760645,0
race,African-American,26,2,0,0.03669487460781842,0
race,African-American,26,3,0,0.041692728058629135,0
race,African-American,26,4,0,0.10366667151188402,0
race,African-American,26,1,1,0.06234899851921128,0
race,African-American,26,2,1,0.0772466737796904,0
race,African-American,26,3,1,0.059763313609467454,0
race,African-American,26,4,1,0.11364576279790019,0
race,African-American,35,1,0,0.02676854848645954,0
race,African-American,35,2,0,0.04725238401880143,0
race,African-American,35,3,0,0.04949744039843493,0
race,African-American,35,4,0,0.10024663748548943,0
race,African-American,35,1,1,0.07057415706609728,0
race,African-American,35,2,1,0.018496180136710897,0
race,African-American,35,4,1,0.17313570947253748,0
race,African-American,38,1,0,0.023917959316006623,0
race,African-American,38,2,0,0.03895921893820116,0
race,African-American,38,3,0,0.07440083691002522,0
race,African-American,38,4,0,0.1002072107873832,0
race,African-American,38,1,1,0.02353934758996612,0
race,African-American,38,2,1,0.1109229466553768,0
race,African-American,38,3,1,0.12153675968530664,0
race,African-American,38,4,1,0.18274708058490752,0
race,African-American,25,1,0,0.022528125538119326,0
race,African-American,25,2,0,0.02487961938577616,0
race,African-American,25,3,0,0.045851471711821655,0
race,African-American,25,4,0,0.09594417577060275,0
race,African-American,25,1,1,0.05478180129990715,0
race,African-American,25,3,1,0.06814164498221757,0
race,African-American,25,4,1,0.15558313052024858,0
race,African-American,32,1,0,0.01742670466760491,0
race,African-American,32,2,0,0.03356375693117968,0
race,African-American,32,3,0,0.06200435442403331,0
race,African-American,32,4,0,0.09397466399444711,0
race,African-American,32,1,1,0.029459901800327332,0
race,African-American,32,3,1,0.08045384218669417,0
race,African-American,32,4,1,0.17111565888049063,0
race,African-American,42,1,0,0.019789341232130685,0
race,African-American,42,2,0,0.03237168136965451,0
race,African-American,42,3,0,0.04829799661459146,0
race,African-American,42,4,0,0.09913887659657039,0
race,African-American,42,2,1,0.005272857581652504,0
race,African-American,42,4,1,0.1755868544600939,0
race,African-American,41,1,0,0.02030308520768425,0
race,African-American,41,2,0,0.04929699499983567,0
race,African-American,41,3,0,0.0477900468036058,0
race,African-American,41,4,0,0.08721375795978714,0
race,African-American,41,1,1,0.09357798165137615,0
race,African-American,41,4,1,0.23903966597077245,0
race,African-American,33,1,0,0.01869453653818709,0
race,African-American,33,2,0,0.03538711601138294,0
race,African-American,33,3,0,0.0414235566082852,0
race,African-American,33,4,0,0.09621645549829283,0
race,African-American,33,2,1,0.14367747890295357,0
race,African-American,33,4,1,0.2075004288196083,0
race,African-American,31,1,0,0.024859765406839745,0
race,African-American,31,2,0,0.04378897987810366,0
race,African-American,31,3,0,0.04299968714447927,0
race,African-American,31,4,0,0.11885090470317129,0
race,African-American,31,3,1,0.1064011100064459,0
race,African-American,31,4,1,0.1831020633896007,0
race,African-American,50,1,0,0.019522056947557424,0
race,African-American,50,2,0,0.02295644089837224,0
race,African-American,50,3,0,0.05470741423430279,0
race,African-American,50,4,0,0.08414818717652751,0
race,African-American,50,1,1,0.01095118898623279,0
race,African-American,50,2,1,0.07427258805513016,0
race,African-American,50,4,1,0.2735796113882199,0
race,African-American,28,1,0,0.025189399741394607,0
race,African-American,28,2,0,0.02762610667068971,0
race,African-American,28,3,0,0.05692677740144837,0
race,African-American,28,4,0,0.10183712206123771,0
race,African-American,28,1,1,0.023978040968519115,0
race,African-American,28,3,1,0.0807584893848275,0
race,African-American,28,4,1,0.1912381953583506,0
race,African-American,52,1,0,0.02489277064932733,0
race,African-American,52,2,0,0.039006353701250406,0
race,African-American,52,3,0,0.04729111853032487,0
race,African-American,52,4,0,0.059084366445350256,0
race,African-American,52,4,1,0.12404287901990811,0
race,African-American,51,1,0,0.018813719122638205,0
race,African-American,51,2,0,0.03468186115503025,0
race,African-American,51,3,0,0.049064519645988354,0
race,African-American,51,4,0,0.048755925515956255,0
race,African-American,51,2,1,0.06454493190131924,0
race,African-American,51,4,1,0.26153014073804265,0
race,African-American,40,1,0,0.02796655303992456,0
race,African-American,40,2,0,0.0317125338606823,0
race,African-American,40,3,0,0.07217462134392971,0
race,African-American,40,4,0,0.0964179623845034,0
race,African-American,40,1,1,0.029459901800327332,0
race,African-American,40,3,1,0.07427258805513016,0
race,African-American,40,4,1,0.21048762290822842,0
race,African-American,60,1,0,0.008638674093897743,0
race,African-American,60,2,0,0.03142300819663982,0
race,African-American,60,3,0,0.07427258805513016,0
race,African-American,60,4,0,0.09682346947864146,0
race,African-American,60,2,1,0.059763313609467454,0
race,African-American,60,4,1,0.37763713080168776,0
race,African-American,39,1,0,0.029015602188069662,0
race,African-American,39,2,0,0.04452912163807564,0
race,African-American,39,3,0,0.04191396985930515,0
race,African-American,39,4,0,0.10201837336562455,0
race,African-American,39,2,1,0.1492204899777283,0
race,African-American,39,3,1,0.059763313609467454,0
race,African-American,47,1,0,0.023887595043717312,0
race,African-American,47,2,0,0.03735515865743568,0
race,African-American,47,3,0,0.02512144042637553,0
race,African-American,47,4,0,0.08672932069324517,0
race,African-American,47,4,1,0.1755868544600939,0
race,African-American,36,1,0,0.020188546783977745,0
race,African-American,36,2,0,0.036171995816115604,0
race,African-American,36,3,0,0.052969050213265936,0
race,African-American,36,4,0,0.1030547387827188,0
race,African-American,36,1,1,0.12404287901990811,0
race,African-American,36,3,1,0.16952209197475204,0
race,African-American,36,4,1,0.16510673203775594,0
race,African-American,44,1,0,0.015671802188096707,0
race,African-American,44,2,0,0.028646945424142516,0
race,African-American,44,3,0,0.05222352585697314,0
race,African-American,44,4,0,0.07757101006190135,0
race,African-American,44,4,1,0.15944267189783987,0
race,African-American,48,1,0,0.015615373246815532,0
race,African-American,48,2,0,0.04888665683859782,0
race,African-American,48,3,0,0.06127164635092928,0
race,African-American,48,4,0,0.1060548157389906,0
race,African-American,48,1,1,0.029459901800327332,0
race,African-American,48,2,1,0.08045384218669417,0
race,African-American,48,4,1,0.07017543859649122,0
race,African-American,49,1,0,0.02812452978320629,0
race,African-American,49,2,0,0.03418841803763287,0
race,African-American,49,3,0,0.05108666089270112,0
race,African-American,49,4,0,0.09225109213458578,0
race,African-American,49,1,1,0.01095118898623279,0
race,African-American,49,4,1,0.24384787472035793,0
race,African-American,63,1,0,0.01449243645879023,0
race,African-American,63,2,0,0.04050409810772019,0
race,African-American,63,4,0,0.06002687752372001,0
race,African-American,27,1,1,0.02003338898163606,0
race,African-American,27,2,1,0.09779961482301308,0
race,African-American,27,4,1,0.22104737484590492,0
race,African-American,27,1,0,0.02305980398609954,0
race,African-American,27,2,0,0.0617621184843212,0
race,African-American,27,3,0,0.04993726634255963,0
race,African-American,27,4,0,0.09964601983117681,0
race,African-American,21,1,0,0.01551529513437609,0
race,African-American,21,2,0,0.030917593515086293,0
race,African-American,21,3,0,0.031672413406113396,0
race,African-American,21,4,0,0.09227628336643183,0
race,African-American,21,1,1,0.04618816397999556,0
race,African-American,21,2,1,0.07427258805513016,0
race,African-American,21,4,1,0.2023018714293323,0
race,African-American,43,1,0,0.017492186623598742,0
race,African-American,43,2,0,0.0258882181331173,0
race,African-American,43,3,0,0.06607691167966784,0
race,African-American,43,4,0,0.0913306706638906,0
race,African-American,43,4,1,0.15686726839339576,0
race,African-American,45,1,0,0.026908345701403505,0
race,African-American,45,2,0,0.02752206482005199,0
race,African-American,45,3,0,0.05112906727711147,0
race,African-American,45,4,0,0.08905351978784024,0
race,African-American,45,2,1,0.0228494623655914,0
race,African-American,45,4,1,0.10437096698188882,0
race,African-American,55,1,0,0.021116921946364955,0
race,African-American,55,2,0,0.02070549893222529,0
race,African-American,55,3,0,0.02394585378107668,0
race,African-American,55,4,0,0.0770281819832919,0
race,African-American,55,2,1,0.07427258805513016,0
race,African-American,55,4,1,0.024390243902439025,0
race,African-American,59,1,0,0.007983391564455978,0
race,African-American,59,2,0,0.046050004099735566,0
race,African-American,59,3,0,0.014023592351902855,0
race,African-American,59,4,0,0.09204934843738541,0
race,African-American,20,1,0,0.018532658413759708,0
race,African-American,20,2,0,0.03398390692150947,0
race,African-American,20,3,0,0.04047046995764154,0
race,African-American,20,4,0,0.07114446960184269,0
race,African-American,20,1,1,0.11258278145695365,0
race,African-American,20,2,1,0.044058564594770845,0
race,African-American,20,3,1,0.09089249905876888,0
race,African-American,20,4,1,0.1014795859740127,0
race,African-American,19,1,0,0.03105822528237857,0
race,African-American,19,2,0,0.03867821350423811,0
race,African-American,19,3,0,0.034673629442015706,0
race,African-American,19,4,0,0.08402098280126814,0
race,African-American,19,1,1,0.03636363636363636,0
race,African-American,19,2,1,0.16952209197475204,0
race,African-American,19,3,1,0.07252935823485743,0
race,African-American,19,4,1,0.20090389408668946,0
race,African-American,54,1,0,0.01775294129743056,0
race,African-American,54,2,0,0.03148221300980351,0
race,African-American,54,3,0,0.020111677814871422,0
race,African-American,54,4,0,0.036549239363192924,0
race,African-American,54,2,1,0.004540295119182747,0
