Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.01798620996209156,1
race,African-American,46,2,1,0.11920292202211755,1
race,African-American,46,4,1,0.2689414213699951,1
race,African-American,46,1,0,0.019808533351576188,1
race,African-American,46,2,0,0.03675348798051134,1
race,African-American,46,3,0,0.07548804815353313,1
race,African-American,46,4,0,0.1050224203868498,1
race,African-American,30,1,0,0.018323007311224816,1
race,African-American,30,2,0,0.03385267001001806,1
race,African-American,30,3,0,0.04623373928987393,1
race,African-American,30,4,0,0.10591974824627108,1
race,African-American,30,1,1,0.04742587317756678,1
race,African-American,30,3,1,0.07135155612575038,1
race,African-American,30,4,1,0.13479521212278292,1
race,African-American,29,1,0,0.016988320743241234,1
race,African-American,29,2,0,0.02951233475342506,1
race,African-American,29,3,0,0.057069106331685104,1
race,African-American,29,4,0,0.0811252035980833,1
race,African-American,29,2,1,0.04742587317756678,1
race,African-American,29,4,1,0.1647429119923584,1
race,African-American,22,1,0,0.011151228536964737,1
race,African-American,22,2,0,0.025842649871424105,1
race,African-American,22,3,0,0.03310056356757837,1
race,African-American,22,4,0,0.0883010177701651,1
race,African-American,22,1,1,0.0066928509242848554,1
race,African-American,22,3,1,0.01798620996209156,1
race,African-American,22,4,1,0.15316529983928767,1
race,African-American,34,1,0,0.019329428164589307,1
race,African-American,34,2,0,0.02953848330599235,1
race,African-American,34,3,0,0.04907757433229745,1
race,African-American,34,4,0,0.1132721101222208,1
race,African-American,34,2,1,0.04742587317756678,1
race,African-American,34,4,1,0.1491506218916931,1
race,African-American,37,1,0,0.024303829076998584,1
race,African-American,37,2,0,0.042742143934057016,1
race,African-American,37,3,0,0.04278665653761985,1
race,African-American,37,4,0,0.08464100432531306,1
race,African-American,37,2,1,0.04742587317756678,1
race,African-American,37,4,1,0.09527723907393397,1
race,African-American,53,1,0,0.016127040183425912,1
race,African-American,53,2,0,0.052848844284055764,1
race,African-American,53,3,0,0.051110936724309726,1
race,African-American,53,4,0,0.1350890045812234,1
race,African-American,53,4,1,0.2689414213699951,1
race,African-American,23,1,0,0.016258681462368776,1
race,African-American,23,2,0,0.02962885147608357,1
race,African-American,23,3,0,0.03014315493598016,1
race,African-American,23,4,0,0.07350948051880608,1
race,African-American,23,1,1,0.03270604156982917,1
race,African-American,23,2,1,0.01798620996209156,1
race,African-American,23,3,1,0.07135155612575036,1
race,African-American,23,4,1,0.1254047548662348,1
race,African-American,24,1,0,0.018152703222155318,1
race,African-American,24,2,0,0.032608268001680575,1
race,African-American,24,3,0,0.02206473975224001,1
race,African-American,24,4,0,0.09654909029332268,1
race,African-American,24,2,1,0.03761265210574171,1
race,African-American,24,3,1,0.01798620996209156,1
race,African-American,24,4,1,0.1719206168768135,1
race,African-American,26,1,0,0.01479852103599774,1
race,African-American,26,2,0,0.03130788409699245,1
race,African-American,26,3,0,0.02849591304032885,1
race,African-American,26,4,0,0.08954982414634012,1
race,African-American,26,1,1,0.03270604156982917,1
race,African-American,26,2,1,0.02705936205092582,1
race,African-American,26,3,1,0.01798620996209156,1
race,African-American,26,4,1,0.11255856157734634,1
race,African-American,35,1,0,0.02253022788549136,1
race,African-American,35,2,0,0.03969666153245613,1
race,African-American,35,3,0,0.03347155425260503,1
race,African-American,35,4,0,0.11527061540545154,1
race,African-American,35,1,1,0.04742587317756678,1
race,African-American,35,2,1,0.01798620996209156,1
race,African-American,35,4,1,0.16286883635847915,1
race,African-American,38,1,0,0.015610604133796564,1
race,African-American,38,2,0,0.03492347204063408,1
race,African-American,38,3,0,0.057846601285480775,1
race,African-American,38,4,0,0.09961541321019346,1
race,African-American,38,1,1,0.03270604156982917,1
race,African-American,38,2,1,0.11920292202211755,1
race,African-American,38,3,1,0.11920292202211755,1
race,African-American,38,4,1,0.16911575513807675,1
race,African-American,25,1,0,0.0181949570493857,1
race,African-American,25,2,0,0.019757598057567802,1
race,African-American,25,3,0,0.03867092687422587,1
race,African-American,25,4,0,0.0932572713661111,1
race,African-American,25,1,1,0.01798620996209156,1
race,African-American,25,3,1,0.08331439759984216,1
race,African-American,25,4,1,0.14962865319975566,1
race,African-American,32,1,0,0.015312687333391672,1
race,African-American,32,2,0,0.031056214541605714,1
race,African-American,32,3,0,0.04384239191618846,1
race,African-American,32,4,0,0.09200171598727672,1
race,African-American,32,1,1,0.01798620996209156,1
race,African-American,32,3,1,0.11920292202211755,1
race,African-American,32,4,1,0.13869328464794922,1
race,African-American,42,1,0,0.020721999652391004,1
race,African-American,42,2,0,0.041576864654027997,1
race,African-American,42,3,0,0.05801021958483566,1
race,African-American,42,4,0,0.0993851127159336,1
race,African-American,42,2,1,0.0066928509242848554,1
race,African-American,42,4,1,0.11920292202211755,1
race,African-American,41,1,0,0.021940523360341063,1
race,African-American,41,2,0,0.0640794250869156,1
race,African-American,41,3,0,0.05580609897936774,1
race,African-American,41,4,0,0.09907559250914434,1
race,African-American,41,1,1,0.04742587317756678,1
race,African-American,41,4,1,0.11920292202211755,1
race,African-American,33,1,0,0.015814379815893988,1
race,African-American,33,2,0,0.027704896016511587,1
race,African-American,33,3,0,0.045995194265734646,1
race,African-American,33,4,0,0.10090587354393586,1
race,African-American,33,2,1,0.08331439759984216,1
race,African-American,33,4,1,0.22286803695526355,1
race,African-American,31,1,0,0.018587485892258705,1
race,African-American,31,2,0,0.03954492010126925,1
race,African-American,31,3,0,0.03682225379353905,1
race,African-American,31,4,0,0.12164231065806405,1
race,African-American,31,3,1,0.08331439759984216,1
race,African-American,31,4,1,0.17014648874787275,1
race,African-American,50,1,0,0.019949704748950685,1
race,African-American,50,2,0,0.028209852830956263,1
race,African-American,50,3,0,0.040065957373697975,1
race,African-American,50,4,0,0.1198281423478569,1
race,African-American,50,1,1,0.01798620996209156,1
race,African-American,50,2,1,0.11920292202211755,1
race,African-American,50,4,1,0.19407217169605634,1
race,African-American,28,1,0,0.01698709390010265,1
race,African-American,28,2,0,0.028208602842448242,1
race,African-American,28,3,0,0.05567344428614214,1
race,African-American,28,4,0,0.09889697142314938,1
race,African-American,28,1,1,0.01798620996209156,1
race,African-American,28,3,1,0.04742587317756678,1
race,African-American,28,4,1,0.15855660953793785,1
race,African-American,52,1,0,0.022366352349804643,1
race,African-American,52,2,0,0.040199654321680774,1
race,African-American,52,3,0,0.07347179213379218,1
race,African-American,52,4,0,0.07435269293895252,1
race,African-American,52,4,1,0.11920292202211755,1
race,African-American,51,1,0,0.020904869851275716,1
race,African-American,51,2,0,0.042534790817880745,1
race,African-American,51,3,0,0.055018032726651366,1
race,African-American,51,4,0,0.07241962723841305,1
race,African-American,51,2,1,0.08331439759984216,1
race,African-American,51,4,1,0.17909832176126858,1
race,African-American,40,1,0,0.02297313369322107,1
race,African-American,40,2,0,0.03513250548658726,1
race,African-American,40,3,0,0.04668513906366191,1
race,African-American,40,4,0,0.10090841760041977,1
race,African-American,40,1,1,0.01798620996209156,1
race,African-American,40,3,1,0.11920292202211755,1
race,African-American,40,4,1,0.2689414213699951,1
race,African-American,60,1,0,0.01657454008236572,1
race,African-American,60,2,0,0.050650303780966854,1
race,African-American,60,3,0,0.11920292202211755,1
race,African-American,60,4,0,0.09527723907393397,1
race,African-American,60,2,1,0.01798620996209156,1
race,African-American,60,4,1,0.2689414213699951,1
race,African-American,39,1,0,0.022932992223212066,1
race,African-American,39,2,0,0.040824012323254825,1
race,African-American,39,3,0,0.045587879755136236,1
race,African-American,39,4,0,0.11623693486253525,1
race,African-American,39,2,1,0.04742587317756678,1
race,African-American,39,3,1,0.01798620996209156,1
race,African-American,47,1,0,0.019068253931543423,1
race,African-American,47,2,0,0.051778991839841776,1
race,African-American,47,3,0,0.03831742781537966,1
race,African-American,47,4,0,0.10739143573464484,1
race,African-American,47,4,1,0.11920292202211755,1
race,African-American,36,1,0,0.0164128326685164,1
race,African-American,36,2,0,0.03840764782427267,1
race,African-American,36,3,0,0.05358866850856282,1
race,African-American,36,4,0,0.10477680182068633,1
race,African-American,36,1,1,0.11920292202211755,1
race,African-American,36,3,1,0.11920292202211755,1
race,African-American,36,4,1,0.11920292202211755,1
race,African-American,44,1,0,0.019128367485401858,1
race,African-American,44,2,0,0.044909821573698376,1
race,African-American,44,3,0,0.03129437169010333,1
race,African-American,44,4,0,0.09042678431574439,1
race,African-American,44,4,1,0.17909832176126855,1
race,African-American,48,1,0,0.0171792424887437,1
