Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.004969257436423299,0
race,African-American,46,2,1,0.035315410276927896,0
race,African-American,46,3,1,0.016439234367916805,0
race,African-American,46,4,1,0.36637694632244333,0
race,African-American,46,1,0,0.004972829386500451,0
race,African-American,46,2,0,0.01072465339591445,0
race,African-American,46,3,0,0.020281868761410117,0
race,African-American,46,4,0,0.08438835237570291,0
race,African-American,30,1,0,0.005872318850272046,0
race,African-American,30,2,0,0.025140998502014993,0
race,African-American,30,3,0,0.02944355858342318,0
race,African-American,30,4,0,0.11430898630120226,0
race,African-American,30,1,1,0.015119471363599389,0
race,African-American,30,2,1,0.08819221634080295,0
race,African-American,30,3,1,0.03688739300092382,0
race,African-American,30,4,1,0.25061469608268405,0
race,African-American,29,1,0,0.005915634633313001,0
race,African-American,29,2,0,0.011452131439763051,0
race,African-American,29,3,0,0.025940882531932025,0
race,African-American,29,4,0,0.09522108666351367,0
race,African-American,29,1,1,0.013257225297012983,0
race,African-American,29,2,1,0.04088591132462706,0
race,African-American,29,3,1,0.083274047920582,0
race,African-American,29,4,1,0.2629006112767976,0
race,African-American,22,1,0,0.004195886942768231,0
race,African-American,22,2,0,0.0168868701058467,0
race,African-American,22,3,0,0.025326222465761383,0
race,African-American,22,4,0,0.10387314852157409,0
race,African-American,22,1,1,0.005656391047710209,0
race,African-American,22,2,1,0.03963970194437369,0
race,African-American,22,3,1,0.06187180821706292,0
race,African-American,22,4,1,0.2654263007816878,0
race,African-American,34,1,0,0.006339799397193358,0
race,African-American,34,2,0,0.013140678789332366,0
race,African-American,34,3,0,0.032312764313400716,0
race,African-American,34,4,0,0.14685578621813997,0
race,African-American,34,1,1,0.047056411164783575,0
race,African-American,34,2,1,0.013554000467497714,0
race,African-American,34,3,1,0.03231916867726496,0
race,African-American,34,4,1,0.3052615408128701,0
race,African-American,37,1,0,0.009146496390020726,0
race,African-American,37,2,0,0.016251749463256207,0
race,African-American,37,3,0,0.04999316564486258,0
race,African-American,37,4,0,0.07469240423558009,0
race,African-American,37,1,1,0.010339135839031687,0
race,African-American,37,2,1,0.0641807872439768,0
race,African-American,37,4,1,0.2122593192633102,0
race,African-American,53,1,0,0.0030129446545200675,0
race,African-American,53,2,0,0.019574211405580088,0
race,African-American,53,3,0,0.03222405445193076,0
race,African-American,53,4,0,0.04724417847058963,0
race,African-American,53,1,1,0.0017013822357424295,0
race,African-American,53,4,1,0.46352263033670865,0
race,African-American,23,1,0,0.007859007604777962,0
race,African-American,23,2,0,0.020673578644219984,0
race,African-American,23,3,0,0.01999887106010559,0
race,African-American,23,4,0,0.1023256601979312,0
race,African-American,23,1,1,0.009481445202304482,0
race,African-American,23,2,1,0.014745829538239132,0
race,African-American,23,3,1,0.07790363303944933,0
race,African-American,23,4,1,0.2101142088362381,0
race,African-American,24,1,0,0.00913996106522782,0
race,African-American,24,2,0,0.02075478228073715,0
race,African-American,24,3,0,0.017868888495460325,0
race,African-American,24,4,0,0.16495253530802167,0
race,African-American,24,1,1,0.002486310041206325,0
race,African-American,24,2,1,0.03988633392594429,0
race,African-American,24,3,1,0.01934312970595505,0
race,African-American,24,4,1,0.2398758372259823,0
race,African-American,26,1,1,0.011451426330032327,0
race,African-American,26,2,1,0.019940835868584274,0
race,African-American,26,3,1,0.019276317580767595,0
race,African-American,26,4,1,0.20650805189747898,0
race,African-American,26,1,0,0.006275244446133202,0
race,African-American,26,2,0,0.021367564714753023,0
race,African-American,26,3,0,0.02024098640443476,0
race,African-American,26,4,0,0.10088295109434327,0
race,African-American,35,1,0,0.009187898453913405,0
race,African-American,35,2,0,0.012239898256378348,0
race,African-American,35,3,0,0.02770553766555833,0
race,African-American,35,4,0,0.14110611295448547,0
