Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.047425873,0
race,African-American,46,2,1,0.268941421,0
race,African-American,46,3,1,0.156637547,0
race,African-American,46,4,1,0.384470711,0
race,African-American,46,1,0,0.07160924,0
race,African-American,46,2,0,0.103114711,0
race,African-American,46,3,0,0.134795212,0
race,African-American,46,4,0,0.228085876,0
race,African-American,30,1,0,0.068806271,0
race,African-American,30,2,0,0.111261525,0
race,African-American,30,3,0,0.129041237,0
race,African-American,30,4,0,0.219325096,0
race,African-American,30,1,1,0.119202922,0
race,African-American,30,2,1,0.194072172,0
race,African-American,30,3,1,0.209046022,0
race,African-American,30,4,1,0.284188936,0
race,African-American,29,1,0,0.070677593,0
race,African-American,29,2,0,0.104111411,0
race,African-American,29,3,0,0.148313532,0
race,African-American,29,4,0,0.202568023,0
race,African-American,29,1,1,0.095277239,0
race,African-American,29,2,1,0.268941421,0
race,African-American,29,3,1,0.219028588,0
race,African-American,29,4,1,0.302544902,0
race,African-American,22,1,0,0.065709976,0
race,African-American,22,2,0,0.122611611,0
race,African-American,22,3,0,0.117242945,0
race,African-American,22,4,0,0.221008576,0
race,African-American,22,1,1,0.047425873,0
race,African-American,22,2,1,0.136032092,0
race,African-American,22,3,1,0.194072172,0
race,African-American,22,4,1,0.333841119,0
race,African-American,34,1,0,0.066371872,0
race,African-American,34,2,0,0.100002175,0
race,African-American,34,3,0,0.148712372,0
race,African-American,34,4,0,0.23442732,0
race,African-American,34,1,1,0.145190072,0
race,African-American,34,2,1,0.119202922,0
race,African-American,34,3,1,0.120749022,0
race,African-American,34,4,1,0.357270919,0
race,African-American,37,1,0,0.070872062,0
race,African-American,37,2,0,0.101281213,0
race,African-American,37,3,0,0.114252235,0
race,African-American,37,4,0,0.182138565,0
race,African-American,37,1,1,0.119202922,0
race,African-American,37,2,1,0.219028588,0
race,African-American,37,4,1,0.257538351,0
race,African-American,53,1,0,0.054261783,0
race,African-American,53,2,0,0.135908947,0
race,African-American,53,3,0,0.120969894,0
race,African-American,53,4,0,0.203623568,0
race,African-American,53,1,1,0.047425873,0
race,African-American,53,4,1,0.5,0
race,African-American,23,1,0,0.076519958,0
race,African-American,23,2,0,0.123594124,0
race,African-American,23,3,0,0.118084514,0
race,African-American,23,4,0,0.210256044,0
race,African-American,23,1,1,0.119202922,0
race,African-American,23,2,1,0.120439802,0
race,African-American,23,3,1,0.219028588,0
race,African-American,23,4,1,0.299226537,0
race,African-American,24,1,0,0.079337609,0
race,African-American,24,2,0,0.112320625,0
race,African-American,24,3,0,0.109111746,0
race,African-American,24,4,0,0.245074695,0
race,African-American,24,1,1,0.047425873,0
race,African-American,24,2,1,0.119202922,0
race,African-American,24,3,1,0.119202922,0
race,African-American,24,4,1,0.309694559,0
race,African-American,26,1,1,0.119202922,0
race,African-American,26,2,1,0.095277239,0
race,African-American,26,3,1,0.138693285,0
race,African-American,26,4,1,0.293942412,0
race,African-American,26,1,0,0.071882542,0
race,African-American,26,2,0,0.100217093,0
race,African-American,26,3,0,0.12564585,0
race,African-American,26,4,0,0.215477774,0
race,African-American,35,1,0,0.07832352,0
race,African-American,35,2,0,0.110053415,0
race,African-American,35,3,0,0.120179406,0
race,African-American,35,4,0,0.226546292,0
race,African-American,35,1,1,0.10125866,0
race,African-American,35,2,1,0.273712937,0
race,African-American,35,3,1,0.119202922,0
race,African-American,35,4,1,0.330071128,0
race,African-American,38,1,0,0.063376328,0
race,African-American,38,2,0,0.128323409,0
race,African-American,38,3,0,0.154709407,0
race,African-American,38,4,0,0.227402332,0
race,African-American,38,1,1,0.119202922,0
race,African-American,38,2,1,0.158183647,0
race,African-American,38,3,1,0.268941421,0
race,African-American,38,4,1,0.346575312,0
race,African-American,25,1,1,0.083314398,0
race,African-American,25,2,1,0.071351556,0
race,African-American,25,3,1,0.238993722,0
race,African-American,25,4,1,0.336288884,0
race,African-American,25,1,0,0.076401739,0
race,African-American,25,2,0,0.093090818,0
race,African-American,25,3,0,0.137006617,0
race,African-American,25,4,0,0.231605869,0
race,African-American,32,1,0,0.057441275,0
race,African-American,32,2,0,0.095109349,0
race,African-American,32,3,0,0.124848563,0
race,African-American,32,4,0,0.218220642,0
race,African-American,32,1,1,0.119202922,0
race,African-American,32,2,1,0.194072172,0
race,African-American,32,3,1,0.194072172,0
race,African-American,32,4,1,0.303650161,0
race,African-American,42,1,0,0.070717939,0
race,African-American,42,2,0,0.11157918,0
race,African-American,42,3,0,0.151731486,0
race,African-American,42,4,0,0.20891961,0
race,African-American,42,2,1,0.158183647,0
race,African-American,42,3,1,0.119202922,0
race,African-American,42,4,1,0.268941421,0
race,African-American,41,1,0,0.068958988,0
race,African-American,41,2,0,0.14089891,0
race,African-American,41,3,0,0.149188095,0
race,African-American,41,4,0,0.207967873,0
race,African-American,41,1,1,0.083314398,0
race,African-American,41,3,1,0.119202922,0
race,African-American,41,4,1,0.224974175,0
race,African-American,33,1,0,0.06746492,0
race,African-American,33,2,0,0.091596365,0
race,African-American,33,3,0,0.103868103,0
race,African-American,33,4,0,0.214807584,0
race,African-American,33,1,1,0.121264389,0
race,African-American,33,2,1,0.157152914,0
race,African-American,33,3,1,0.326706066,0
race,African-American,33,4,1,0.358797535,0
race,African-American,31,1,0,0.07160924,0
race,African-American,31,2,0,0.118152297,0
race,African-American,31,3,0,0.112849804,0
race,African-American,31,4,0,0.26363423,0
race,African-American,31,1,1,0.071351556,0
race,African-American,31,2,1,0.132196497,0
race,African-American,31,3,1,0.268941421,0
race,African-American,31,4,1,0.333436569,0
race,African-American,50,1,0,0.066772566,0
race,African-American,50,2,0,0.101645185,0
race,African-American,50,3,0,0.138693285,0
race,African-American,50,4,0,0.234495592,0
race,African-American,50,1,1,0.083314398,0
race,African-American,50,2,1,0.268941421,0
race,African-American,50,4,1,0.282494768,0
race,African-American,28,1,0,0.069533597,0
race,African-American,28,2,0,0.102854084,0
race,African-American,28,3,0,0.132454181,0
race,African-American,28,4,0,0.230928193,0
race,African-American,28,1,1,0.10125866,0
race,African-American,28,2,1,0.158183647,0
race,African-American,28,3,1,0.1731227,0
race,African-American,28,4,1,0.290164672,0
race,African-American,52,1,0,0.069914764,0
race,African-American,52,2,0,0.126852545,0
race,African-American,52,3,0,0.137920234,0
race,African-American,52,4,0,0.172397768,0
race,African-American,52,2,1,0.119202922,0
race,African-American,52,3,1,0.268941421,0
race,African-American,52,4,1,0.194072172,0
race,African-American,51,1,0,0.075064006,0
race,African-American,51,2,0,0.130340272,0
race,African-American,51,3,0,0.095964395,0
race,African-American,51,4,0,0.179802996,0
race,African-American,51,2,1,0.145190072,0
race,African-American,51,3,1,0.268941421,0
race,African-American,51,4,1,0.2457621,0
race,African-American,40,1,0,0.070333442,0
race,African-American,40,2,0,0.108873884,0
race,African-American,40,3,0,0.116072108,0
race,African-American,40,4,0,0.223275436,0
race,African-American,40,1,1,0.246135281,0
race,African-American,40,2,1,0.268941421,0
race,African-American,40,3,1,0.384470711,0
race,African-American,40,4,1,0.331957397,0
race,African-American,60,1,0,0.047425873,0
race,African-American,60,2,0,0.145190072,0
race,African-American,60,4,0,0.194072172,0
race,African-American,60,1,1,0.047425873,0
race,African-American,60,2,1,0.119202922,0
race,African-American,60,3,1,0.268941421,0
race,African-American,60,4,1,0.384470711,0
race,African-American,39,1,0,0.082891585,0
race,African-American,39,2,0,0.115180347,0
race,African-American,39,3,0,0.161140527,0
race,African-American,39,4,0,0.22706151,0
race,African-American,39,2,1,0.169115755,0
race,African-American,39,3,1,0.119202922,0
race,African-American,39,4,1,0.296048114,0
race,African-American,47,1,0,0.071351556,0
race,African-American,47,2,0,0.13635069,0
race,African-American,47,3,0,0.098288248,0
race,African-American,47,4,0,0.237877068,0
race,African-American,47,1,1,0.119202922,0
race,African-American,47,2,1,0.268941421,0
race,African-American,47,3,1,0.119202922,0
race,African-American,47,4,1,0.194072172,0
race,African-American,36,1,0,0.061005315,0
race,African-American,36,2,0,0.123224366,0
race,African-American,36,3,0,0.162427093,0
race,African-American,36,4,0,0.225583304,0
race,African-American,36,1,1,0.138693285,0
race,African-American,36,2,1,0.119202922,0
race,African-American,36,3,1,0.268941421,0
race,African-American,36,4,1,0.275930891,0
race,African-American,44,1,0,0.067933601,0
race,African-American,44,2,0,0.125224939,0
race,African-American,44,3,0,0.10125866,0
race,African-American,44,4,0,0.2001854,0
race,African-American,44,1,1,0.083314398,0
race,African-American,44,2,1,0.083314398,0
race,African-American,44,4,1,0.315153137,0
race,African-American,48,1,0,0.056039119,0
race,African-American,48,2,0,0.13183812,0
race,African-American,48,3,0,0.120233656,0
race,African-American,48,4,0,0.24474141,0
race,African-American,48,1,1,0.119202922,0
race,African-American,48,2,1,0.194072172,0
race,African-American,48,4,1,0.312685726,0
race,African-American,49,1,0,0.083932838,0
race,African-American,49,2,0,0.123798858,0
race,African-American,49,3,0,0.161140527,0
race,African-American,49,4,0,0.220391878,0
race,African-American,49,1,1,0.083314398,0
race,African-American,49,2,1,0.268941421,0
race,African-American,49,4,1,0.384470711,0
race,African-American,63,1,0,0.061781283,0
race,African-American,63,2,0,0.169115755,0
race,African-American,63,4,0,0.183376565,0
race,African-American,27,1,1,0.071351556,0
race,African-American,27,2,1,0.179098322,0
race,African-American,27,3,1,0.119202922,0
race,African-American,27,4,1,0.320574476,0
race,African-American,27,1,0,0.073075019,0
race,African-American,27,2,0,0.134795212,0
race,African-American,27,3,0,0.135702574,0
race,African-American,27,4,0,0.214262616,0
race,African-American,21,1,0,0.071978014,0
race,African-American,21,2,0,0.10172249,0
race,African-American,21,3,0,0.118453284,0
race,African-American,21,4,0,0.217507335,0
race,African-American,21,1,1,0.090492102,0
race,African-American,21,2,1,0.169115755,0
race,African-American,21,4,1,0.277300556,0
race,African-American,43,1,0,0.066825076,0
race,African-American,43,2,0,0.089295818,0
race,African-American,43,3,0,0.166382728,0
race,African-American,43,4,0,0.18928363,0
race,African-American,43,1,1,0.047425873,0
race,African-American,43,2,1,0.047425873,0
race,African-American,43,4,1,0.328518023,0
race,African-American,45,1,0,0.06214937,0
race,African-American,45,2,0,0.112952877,0
race,African-American,45,3,0,0.108270814,0
race,African-American,45,4,0,0.215905129,0
race,African-American,45,1,1,0.083314398,0
race,African-American,45,2,1,0.083314398,0
race,African-American,45,4,1,0.261339375,0
race,African-American,55,1,0,0.059388715,0
race,African-American,55,2,0,0.08844133,0
race,African-American,55,3,0,0.108270814,0
race,African-American,55,4,0,0.227827085,0
race,African-American,55,1,1,0.268941421,0
race,African-American,55,2,1,0.268941421,0
race,African-American,55,4,1,0.309601461,0
race,African-American,59,1,0,0.047425873,0
race,African-American,59,2,0,0.169115755,0
race,African-American,59,3,0,0.047425873,0
race,African-American,59,4,0,0.257166343,0
race,African-American,59,1,1,0.047425873,0
race,African-American,59,3,1,0.047425873,0
race,African-American,20,1,0,0.067883361,0
race,African-American,20,2,0,0.111849928,0
race,African-American,20,3,0,0.123504363,0
race,African-American,20,4,0,0.167518137,0
race,African-American,20,1,1,0.083314398,0
race,African-American,20,2,1,0.130340272,0
race,African-American,20,3,1,0.194072172,0
race,African-American,20,4,1,0.232302049,0
race,African-American,19,1,0,0.059986857,0
race,African-American,19,2,0,0.111529922,0
race,African-American,19,3,0,0.128218549,0
race,African-American,19,4,0,0.210040693,0
race,African-American,19,1,1,0.071351556,0
race,African-American,19,2,1,0.1531653,0
race,African-American,19,3,1,0.241671806,0
race,African-American,19,4,1,0.278180464,0
race,African-American,54,1,0,0.073060533,0
race,African-American,54,2,0,0.141477622,0
race,African-American,54,3,0,0.104847512,0
race,African-American,54,4,0,0.11191485,0
race,African-American,54,1,1,0.047425873,0
race,African-American,54,2,1,0.047425873,0
race,African-American,54,3,1,0.047425873,0
race,African-American,54,4,1,0.268941421,0
race,African-American,62,3,1,0.194072172,0
race,African-American,62,1,0,0.047425873,0
race,African-American,62,2,0,0.146780577,0
race,African-American,62,3,0,0.10125866,0
race,African-American,62,4,0,0.119202922,0
race,African-American,61,1,0,0.063376328,0
race,African-American,61,2,0,0.076136693,0
race,African-American,61,4,0,0.170146489,0
race,African-American,65,1,1,0.119202922,0
race,African-American,65,2,1,0.119202922,0
race,African-American,65,3,1,0.047425873,0
race,African-American,65,4,1,0.268941421,0
race,African-American,65,1,0,0.047425873,0
race,African-American,65,2,0,0.071351556,0
race,African-American,65,3,0,0.119202922,0
race,African-American,65,4,0,0.047425873,0
race,African-American,56,1,1,0.047425873,0
race,African-American,56,4,1,0.271327179,0
race,African-American,56,1,0,0.059388715,0
race,African-American,56,2,0,0.099136937,0
race,African-American,56,3,0,0.133227231,0
race,African-American,56,4,0,0.261581998,0
race,African-American,57,1,0,0.054603578,0
race,African-American,57,2,0,0.112602006,0
race,African-American,57,3,0,0.095277239,0
race,African-American,57,4,0,0.228971197,0
race,African-American,57,1,1,0.047425873,0
race,African-American,57,4,1,0.268941421,0
race,African-American,64,1,0,0.056398004,0
race,African-American,64,2,0,0.047425873,0
race,African-American,64,3,0,0.071351556,0
race,African-American,64,4,0,0.156637547,0
race,African-American,64,4,1,0.268941421,0
race,African-American,66,1,0,0.047425873,0
race,African-American,66,2,0,0.095277239,0
race,African-American,66,3,0,0.119202922,0
race,African-American,66,1,1,0.119202922,0
race,African-American,66,2,1,0.119202922,0
race,African-American,58,1,0,0.080614023,0
race,African-American,58,2,0,0.067933601,0
race,African-American,58,3,0,0.145190072,0
race,African-American,58,4,0,0.201746015,0
race,African-American,58,4,1,0.268941421,0
race,African-American,69,1,0,0.047425873,0
race,African-American,69,3,0,0.119202922,0
race,African-American,18,1,0,0.07054177,0
race,African-American,18,2,0,0.120179406,0
race,African-American,18,3,0,0.093059579,0
race,African-American,18,4,0,0.219028588,0
race,African-American,18,1,1,0.104263869,0
race,African-American,18,2,1,0.104847512,0
race,African-American,18,3,1,0.194072172,0
race,African-American,18,4,1,0.119202922,0
race,African-American,68,1,0,0.047425873,0
race,African-American,68,3,0,0.047425873,0
race,African-American,68,4,0,0.268941421,0
race,African-American,67,1,0,0.083314398,0
race,African-American,67,2,0,0.047425873,0
race,African-American,67,3,0,0.119202922,0
race,African-American,67,4,0,0.083314398,0
race,African-American,70,1,0,0.047425873,0
race,Caucasian,28,1,0,0.071107136,0
race,Caucasian,28,2,0,0.115135027,0
race,Caucasian,28,3,0,0.140142427,0
race,Caucasian,28,4,0,0.224643695,0
race,Caucasian,28,1,1,0.099041,0
race,Caucasian,28,2,1,0.2025134,0
race,Caucasian,28,3,1,0.170868794,0
race,Caucasian,28,4,1,0.317784031,0
race,Caucasian,23,1,1,0.090682911,0
race,Caucasian,23,2,1,0.16575203,0
race,Caucasian,23,3,1,0.209682224,0
race,Caucasian,23,4,1,0.318452912,0
race,Caucasian,23,1,0,0.062066296,0
race,Caucasian,23,2,0,0.115950946,0
race,Caucasian,23,3,0,0.136500831,0
race,Caucasian,23,4,0,0.201320381,0
race,Caucasian,49,1,0,0.067280197,0
race,Caucasian,49,2,0,0.10002078,0
race,Caucasian,49,3,0,0.120285192,0
race,Caucasian,49,4,0,0.168898082,0
race,Caucasian,49,1,1,0.087989167,0
race,Caucasian,49,2,1,0.176127909,0
race,Caucasian,49,3,1,0.194072172,0
race,Caucasian,49,4,1,0.258958855,0
race,Caucasian,44,1,0,0.064727849,0
race,Caucasian,44,2,0,0.102065321,0
race,Caucasian,44,3,0,0.11640953,0
race,Caucasian,44,4,0,0.213644202,0
race,Caucasian,44,1,1,0.124564847,0
race,Caucasian,44,2,1,0.119202922,0
race,Caucasian,44,3,1,0.144159339,0
race,Caucasian,44,4,1,0.27217937,0
race,Caucasian,34,1,1,0.112258428,0
race,Caucasian,34,2,1,0.169490567,0
race,Caucasian,34,3,1,0.215040974,0
race,Caucasian,34,4,1,0.302544917,0
race,Caucasian,34,1,0,0.070353241,0
race,Caucasian,34,2,0,0.10825029,0
race,Caucasian,34,3,0,0.134602502,0
race,Caucasian,34,4,0,0.217942692,0
race,Caucasian,22,1,0,0.060684189,0
race,Caucasian,22,2,0,0.103312929,0
race,Caucasian,22,3,0,0.132602272,0
race,Caucasian,22,4,0,0.194606491,0
race,Caucasian,22,1,1,0.097159119,0
race,Caucasian,22,2,1,0.130646278,0
race,Caucasian,22,3,1,0.1990376,0
race,Caucasian,22,4,1,0.28087,0
race,Caucasian,43,1,0,0.060959295,0
race,Caucasian,43,2,0,0.108495593,0
race,Caucasian,43,3,0,0.117445032,0
race,Caucasian,43,4,0,0.220792391,0
race,Caucasian,43,1,1,0.083314398,0
race,Caucasian,43,2,1,0.207065747,0
race,Caucasian,43,3,1,0.243985005,0
race,Caucasian,43,4,1,0.268710391,0
race,Caucasian,40,1,1,0.078187466,0
race,Caucasian,40,2,1,0.095277239,0
race,Caucasian,40,3,1,0.219028588,0
race,Caucasian,40,4,1,0.273533738,0
race,Caucasian,40,1,0,0.07019414,0
race,Caucasian,40,2,0,0.114336712,0
race,Caucasian,40,3,0,0.139516157,0
race,Caucasian,40,4,0,0.222697853,0
race,Caucasian,56,1,0,0.059532845,0
race,Caucasian,56,2,0,0.120327359,0
race,Caucasian,56,3,0,0.100189582,0
race,Caucasian,56,4,0,0.181098132,0
race,Caucasian,56,1,1,0.047425873,0
race,Caucasian,56,2,1,0.047425873,0
race,Caucasian,56,3,1,0.119202922,0
race,Caucasian,56,4,1,0.20655038,0
race,Caucasian,32,1,0,0.067628114,0
race,Caucasian,32,2,0,0.112891033,0
race,Caucasian,32,3,0,0.154934288,0
race,Caucasian,32,4,0,0.230573527,0
race,Caucasian,32,1,1,0.097159119,0
race,Caucasian,32,2,1,0.190182546,0
race,Caucasian,32,3,1,0.204855944,0
race,Caucasian,32,4,1,0.318499328,0
race,Caucasian,24,1,1,0.110647359,0
race,Caucasian,24,2,1,0.119930499,0
race,Caucasian,24,3,1,0.202921146,0
race,Caucasian,24,4,1,0.336121733,0
race,Caucasian,24,1,0,0.06265675,0
race,Caucasian,24,2,0,0.100420758,0
race,Caucasian,24,3,0,0.116607421,0
race,Caucasian,24,4,0,0.199023151,0
race,Caucasian,51,1,1,0.096307973,0
race,Caucasian,51,2,1,0.222209598,0
race,Caucasian,51,3,1,0.194690612,0
race,Caucasian,51,4,1,0.30232565,0
race,Caucasian,51,1,0,0.058473844,0
race,Caucasian,51,2,0,0.110560309,0
race,Caucasian,51,3,0,0.12039223,0
race,Caucasian,51,4,0,0.20355081,0
race,Caucasian,61,1,0,0.058080671,0
race,Caucasian,61,2,0,0.093568262,0
race,Caucasian,61,3,0,0.1531653,0
