Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.049258031578348495,0
race,African-American,46,2,1,0.05454545454545454,0
race,African-American,46,3,1,0.08212183965750464,0
race,African-American,46,4,1,0.25743193547518267,0
race,African-American,46,1,0,0.04238047862119878,0
race,African-American,46,2,0,0.05148285248004628,0
race,African-American,46,3,0,0.09616130904534201,0
race,African-American,46,4,0,0.1603371442015369,0
race,African-American,30,1,0,0.049533437630839255,0
race,African-American,30,2,0,0.06874180893652233,0
race,African-American,30,3,0,0.0913076252133636,0
race,African-American,30,4,0,0.1269723129505703,0
race,African-American,30,1,1,0.06870229007633588,0
race,African-American,30,2,1,0.06870229007633588,0
race,African-American,30,3,1,0.09966123850308586,0
race,African-American,30,4,1,0.23889830427987166,0
race,African-American,29,1,0,0.04113128727945361,0
race,African-American,29,2,0,0.059189889484070037,0
race,African-American,29,3,0,0.07999000610757281,0
race,African-American,29,4,0,0.11747062790099756,0
race,African-American,29,1,1,0.05948218056711565,0
race,African-American,29,3,1,0.12506473415159317,0
race,African-American,29,4,1,0.1881353668274259,0
race,African-American,22,1,0,0.035631542762937944,0
race,African-American,22,2,0,0.07796888242506096,0
race,African-American,22,3,0,0.08070157560236746,0
race,African-American,22,4,0,0.1499599363142159,0
race,African-American,22,1,1,0.04343047466874355,0
race,African-American,22,2,1,0.03760291775913859,0
race,African-American,22,3,1,0.10560747663551402,0
race,African-American,22,4,1,0.1565959979448131,0
race,African-American,34,1,0,0.04010274692244988,0
race,African-American,34,2,0,0.05938693891738027,0
race,African-American,34,3,0,0.08664490780494123,0
race,African-American,34,4,0,0.14730361122625196,0
race,African-American,34,1,1,0.07486205432937182,0
race,African-American,34,2,1,0.053631864318887223,0
race,African-American,34,3,1,0.04296296296296296,0
race,African-American,34,4,1,0.24904486795802494,0
race,African-American,37,1,0,0.04783587275692891,0
race,African-American,37,2,0,0.06501771550971638,0
race,African-American,37,3,0,0.08240501378969518,0
race,African-American,37,4,0,0.11761066906744647,0
race,African-American,37,1,1,0.06870229007633588,0
race,African-American,37,2,1,0.18812541694462975,0
race,African-American,37,4,1,0.12156942111284852,0
race,African-American,53,1,0,0.03896519841886649,0
race,African-American,53,2,0,0.060687648673376414,0
race,African-American,53,3,0,0.0747538154799374,0
race,African-American,53,4,0,0.11684293211544272,0
race,African-American,53,1,1,0.06184816880911957,0
race,African-American,53,4,1,0.3374343085172327,0
race,African-American,23,1,0,0.046541601291452864,0
race,African-American,23,2,0,0.07623707412854352,0
race,African-American,23,3,0,0.06961306813998888,0
race,African-American,23,4,0,0.14376885911115464,0
race,African-American,23,1,1,0.057355313040732867,0
race,African-American,23,2,1,0.06407368778056001,0
race,African-American,23,3,1,0.20093299244353602,0
race,African-American,23,4,1,0.2131421621141422,0
race,African-American,24,1,0,0.042968747566875035,0
race,African-American,24,2,0,0.06811224513029063,0
race,African-American,24,3,0,0.05558967597519144,0
race,African-American,24,4,0,0.1558579332640766,0
race,African-American,24,1,1,0.025480292234148102,0
race,African-American,24,2,1,0.18076644974692696,0
race,African-American,24,4,1,0.26088900617236527,0
race,African-American,26,1,1,0.04600833600512985,0
race,African-American,26,2,1,0.056678116041886085,0
race,African-American,26,3,1,0.07393731677617806,0
race,African-American,26,4,1,0.15559517869872472,0
race,African-American,26,1,0,0.0400998850501671,0
race,African-American,26,2,0,0.06292382920150967,0
race,African-American,26,3,0,0.06284428101965603,0
race,African-American,26,4,0,0.1375909724589637,0
race,African-American,35,1,0,0.04463152636191286,0
race,African-American,35,2,0,0.057369531244525124,0
race,African-American,35,3,0,0.07399680453175707,0
race,African-American,35,4,0,0.15562490139865348,0
race,African-American,35,1,1,0.06651373096297429,0
race,African-American,35,3,1,0.056189151599443675,0
race,African-American,35,4,1,0.2131160153260363,0
race,African-American,38,1,0,0.04923046212989662,0
race,African-American,38,2,0,0.061390280844364674,0
race,African-American,38,3,0,0.10479190607758729,0
race,African-American,38,4,0,0.12064128403567898,0
race,African-American,38,2,1,0.08940613095184549,0
race,African-American,38,4,1,0.29023829745484375,0
race,African-American,25,1,1,0.05191752921004696,0
race,African-American,25,2,1,0.09094653738294067,0
race,African-American,25,3,1,0.10742044901435872,0
race,African-American,25,4,1,0.18665530619924636,0
race,African-American,25,1,0,0.04318828513864251,0
race,African-American,25,2,0,0.05355489951177114,0
race,African-American,25,3,0,0.06807983476994839,0
race,African-American,25,4,0,0.14360019414375325,0
race,African-American,32,1,0,0.0352238085578569,0
race,African-American,32,2,0,0.046562761600207225,0
race,African-American,32,3,0,0.08139374193313971,0
race,African-American,32,4,0,0.1339837398632354,0
race,African-American,32,2,1,0.07833807305698276,0
race,African-American,32,3,1,0.11811470755252697,0
race,African-American,32,4,1,0.18432499060676466,0
race,African-American,42,1,0,0.04046724207273843,0
race,African-American,42,2,0,0.062375685098104705,0
race,African-American,42,3,0,0.08597233592074471,0
race,African-American,42,4,0,0.13921577351816194,0
race,African-American,42,2,1,0.056678116041886085,0
race,African-American,42,4,1,0.18076644974692696,0
race,African-American,41,1,0,0.047336098219262976,0
race,African-American,41,2,0,0.08655579411603155,0
race,African-American,41,3,0,0.07208164579071906,0
race,African-American,41,4,0,0.11465588712779767,0
race,African-American,41,1,1,0.04296296296296296,0
race,African-American,41,3,1,0.19362745098039216,0
race,African-American,41,4,1,0.11981360296725357,0
race,African-American,33,1,0,0.038429565546277106,0
race,African-American,33,2,0,0.0728535430261459,0
race,African-American,33,3,0,0.06585727746037871,0
race,African-American,33,4,0,0.1377332226574107,0
race,African-American,33,1,1,0.05196212688833903,0
race,African-American,33,2,1,0.08371552403467297,0
race,African-American,33,3,1,0.1056064266859745,0
race,African-American,33,4,1,0.2019857436023266,0
race,African-American,31,1,0,0.04247515637796166,0
race,African-American,31,2,0,0.07095669120427166,0
race,African-American,31,3,0,0.06857188862808422,0
race,African-American,31,4,0,0.16640276437436907,0
race,African-American,31,1,1,0.025480292234148102,0
race,African-American,31,2,1,0.08787593984962407,0
