Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.6286514779410992,0
race,African-American,46,2,1,0.7407578292319125,0
race,African-American,46,3,1,0.7201818486916534,0
race,African-American,46,4,1,0.9243873209739244,0
race,African-American,46,1,0,0.5772041984492656,0
race,African-American,46,2,0,0.6369115365082145,0
race,African-American,46,3,0,0.6589244320051157,0
race,African-American,46,4,0,0.8251560378156935,0
race,African-American,30,1,0,0.5992013654694198,0
race,African-American,30,2,0,0.6523049526691992,0
race,African-American,30,3,0,0.7102621895711922,0
race,African-American,30,4,0,0.7889944519477287,0
race,African-American,30,1,1,0.6822076682243946,0
race,African-American,30,2,1,0.7113377826255783,0
race,African-American,30,3,1,0.7616305310265512,0
race,African-American,30,4,1,0.8858078811646602,0
race,African-American,29,1,0,0.5982117650162494,0
race,African-American,29,2,0,0.6300958455910118,0
race,African-American,29,3,0,0.7052899295334463,0
race,African-American,29,4,0,0.7726109677046683,0
race,African-American,29,1,1,0.649988550313453,0
race,African-American,29,3,1,0.8006510704551365,0
race,African-American,29,4,1,0.8551786448358903,0
race,African-American,22,1,0,0.57206346272369,0
race,African-American,22,2,0,0.6670542776046957,0
race,African-American,22,3,0,0.6775552182552952,0
race,African-American,22,4,0,0.7963510075537665,0
race,African-American,22,1,1,0.6076653560005565,0
race,African-American,22,2,1,0.5722756250997608,0
race,African-American,22,3,1,0.7485129832075526,0
race,African-American,22,4,1,0.8581407665657277,0
race,African-American,34,1,0,0.5755877829240932,0
race,African-American,34,2,0,0.6272909758829643,0
race,African-American,34,3,0,0.7130946694132009,0
race,African-American,34,4,0,0.7995000730352636,0
race,African-American,34,1,1,0.7395158548059764,0
race,African-American,34,2,1,0.6155736367629293,0
race,African-American,34,3,1,0.5540556146151091,0
race,African-American,34,4,1,0.8971282963537023,0
race,African-American,37,1,0,0.5986918623664973,0
race,African-American,37,2,0,0.618904263552933,0
race,African-American,37,3,0,0.6308003409812203,0
race,African-American,37,4,0,0.7445539449403824,0
race,African-American,37,1,1,0.6598447519098865,0
race,African-American,37,2,1,0.8542886149431986,0
race,African-American,37,4,1,0.8399581949184878,0
race,African-American,53,1,0,0.5499018449506695,0
race,African-American,53,2,0,0.6686278916726441,0
race,African-American,53,3,0,0.6938331851183281,0
race,African-American,53,4,0,0.7779397828432755,0
race,African-American,53,1,1,0.5986752820104128,0
race,African-American,53,4,1,0.9273053726241771,0
race,African-American,23,1,0,0.6013528171105522,0
race,African-American,23,2,0,0.6478288687640098,0
race,African-American,23,3,0,0.6602271480178153,0
race,African-American,23,4,0,0.7816334848373246,0
race,African-American,23,1,1,0.6456283559717068,0
race,African-American,23,2,1,0.6643797402598157,0
race,African-American,23,3,1,0.836569370986234,0
race,African-American,23,4,1,0.8265765543145971,0
race,African-American,24,1,0,0.5980220191748962,0
race,African-American,24,2,0,0.6455374648239922,0
race,African-American,24,3,0,0.6172158543942335,0
race,African-American,24,4,0,0.803811589392687,0
race,African-American,24,1,1,0.526447170872854,0
race,African-American,24,2,1,0.8314403615728123,0
race,African-American,24,4,1,0.878690051883772,0
race,African-American,26,1,1,0.611266310965858,0
race,African-American,26,2,1,0.5886093043378442,0
race,African-American,26,3,1,0.6836372527906319,0
race,African-American,26,4,1,0.8431527996367914,0
race,African-American,26,1,0,0.5816864463853065,0
race,African-American,26,2,0,0.6327739183548081,0
race,African-American,26,3,0,0.656097558029942,0
race,African-American,26,4,0,0.7846800575540547,0
race,African-American,35,1,0,0.5889910097463477,0
race,African-American,35,2,0,0.6282233762737316,0
race,African-American,35,3,0,0.670319563154247,0
race,African-American,35,4,0,0.808583938334949,0
race,African-American,35,1,1,0.6794393471933547,0
race,African-American,35,3,1,0.6214016137328064,0
race,African-American,35,4,1,0.8636165185968011,0
race,African-American,38,1,0,0.5881617138982796,0
race,African-American,38,2,0,0.6559094458157108,0
race,African-American,38,3,0,0.7359914673988509,0
race,African-American,38,4,0,0.7656278221331606,0
race,African-American,38,2,1,0.728558590602957,0
race,African-American,38,4,1,0.9006048293954827,0
race,African-American,25,1,1,0.6442605564173745,0
race,African-American,25,2,1,0.6849486775807393,0
