Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,0,0.001686348647481134,0
race,African-American,46,2,0,0.003120698246594037,0
race,African-American,46,3,0,0.004744153482993866,0
race,African-American,46,4,0,0.00929387115214698,0
race,African-American,46,3,1,0.0024726231566347743,0
race,African-American,46,4,1,0.04742587317756678,0
race,African-American,30,1,0,0.0019138194023320323,0
race,African-American,30,2,0,0.004269118080536604,0
race,African-American,30,3,0,0.004304458261275192,0
race,African-American,30,4,0,0.009684493825620748,0
race,African-American,30,4,1,0.01798620996209156,0
race,African-American,29,1,0,0.0022090682293121216,0
race,African-American,29,2,0,0.003206222104024447,0
race,African-American,29,3,0,0.009010394675830488,0
race,African-American,29,4,0,0.0073844279816656,0
race,African-American,29,1,1,0.01798620996209156,0
race,African-American,22,1,0,0.002210899089815283,0
race,African-American,22,2,0,0.004872754980133335,0
race,African-American,22,3,0,0.00472933142651003,0
race,African-American,22,4,0,0.02046379642405804,0
race,African-American,22,1,1,0.0024726231566347743,0
race,African-American,22,3,1,0.0066928509242848554,0
race,African-American,22,4,1,0.04742587317756678,0
race,African-American,34,1,0,0.001772004939775715,0
race,African-American,34,2,0,0.0023435772057311976,0
race,African-American,34,3,0,0.0049256833762875134,0
race,African-American,34,4,0,0.013170197682702502,0
race,African-American,37,1,0,0.0020176510407242045,0
race,African-American,37,2,0,0.0032977813456335635,0
race,African-American,37,3,0,0.003466452720129459,0
race,African-American,37,4,0,0.010054218462481574,0
race,African-American,53,1,0,0.0012505233601037167,0
race,African-American,53,2,0,0.005861451482524887,0
race,African-American,53,3,0,0.0036120470732416113,0
race,African-American,53,4,0,0.014035194716860877,0
race,African-American,53,4,1,0.01798620996209156,0
race,African-American,23,1,0,0.0021946873683469518,0
race,African-American,23,2,0,0.004159150433484815,0
race,African-American,23,3,0,0.004840026172237701,0
race,African-American,23,4,0,0.015804505204654932,0
race,African-American,23,1,1,0.01798620996209156,0
race,African-American,23,2,1,0.0066928509242848554,0
race,African-American,23,3,1,0.0066928509242848554,0
race,African-American,23,4,1,0.03270604156982917,0
race,African-American,24,1,0,0.0021451483888227166,0
race,African-American,24,2,0,0.004584155981879415,0
race,African-American,24,3,0,0.005889985206016435,0
race,African-American,24,4,0,0.01776348310630493,0
race,African-American,26,1,0,0.0019734760067889228,0
race,African-American,26,2,0,0.00558730330442187,0
race,African-American,26,3,0,0.004257625071948275,0
race,African-American,26,4,0,0.014523158318743547,0
race,African-American,26,2,1,0.0066928509242848554,0
race,African-American,26,4,1,0.09527723907393397,0
race,African-American,35,1,0,0.002154109615114556,0
race,African-American,35,2,0,0.004014102486714616,0
race,African-American,35,3,0,0.007014386887692748,0
race,African-American,35,4,0,0.0118081080494468,0
race,African-American,35,1,1,0.010229416559363167,0
race,African-American,38,1,0,0.0023222067108007866,0
race,African-American,38,2,0,0.006032130656708842,0
race,African-American,38,3,0,0.005812773314493277,0
race,African-American,38,4,0,0.015527027787366067,0
race,African-American,25,1,0,0.0019676066176417253,0
race,African-American,25,2,0,0.0029196752224659676,0
race,African-American,25,3,0,0.008923406608756991,0
race,African-American,25,4,0,0.013442909023695897,0
race,African-American,25,1,1,0.0066928509242848554,0
race,African-American,25,4,1,0.01798620996209156,0
race,African-American,32,1,0,0.0013014441849591777,0
race,African-American,32,2,0,0.0026123493529552184,0
race,African-American,32,3,0,0.0043942156878803715,0
race,African-American,32,4,0,0.013038775093116817,0
race,African-American,32,4,1,0.0066928509242848554,0
race,African-American,42,1,0,0.0018093818730014765,0
