Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,0,0.5759725130510851,0
race,African-American,46,2,0,0.6644237590196915,0
race,African-American,46,3,0,0.7233169093949001,0
race,African-American,46,4,0,0.8706532340463391,0
race,African-American,46,3,1,0.6728271878264601,0
race,African-American,46,4,1,0.9850870446849715,0
race,African-American,30,1,0,0.685206141833185,0
race,African-American,30,2,0,0.7382660381031534,0
race,African-American,30,3,0,0.7877463663018351,0
race,African-American,30,4,0,0.8717820244345009,0
race,African-American,30,4,1,0.9604237818711597,0
race,African-American,29,1,0,0.6649464833807985,0
race,African-American,29,2,0,0.7093331675928409,0
race,African-American,29,3,0,0.8094943713314935,0
race,African-American,29,4,0,0.8434156016785008,0
race,African-American,29,1,1,0.9651018656656843,0
race,African-American,22,1,0,0.6372932311788742,0
race,African-American,22,2,0,0.7640407832511332,0
race,African-American,22,3,0,0.745304503548621,0
race,African-American,22,4,0,0.8725044375056776,0
race,African-American,22,1,1,0.7221672834031073,0
race,African-American,22,3,1,0.855558133617396,0
race,African-American,22,4,1,0.9888281018882047,0
race,African-American,34,1,0,0.6496344144556133,0
race,African-American,34,2,0,0.7180646743931574,0
race,African-American,34,3,0,0.7906974392037337,0
race,African-American,34,4,0,0.8690946531035405,0
race,African-American,37,1,0,0.6302044022753528,0
race,African-American,37,2,0,0.6476068769826829,0
race,African-American,37,3,0,0.6615572026457187,0
race,African-American,37,4,0,0.7861977618182563,0
race,African-American,53,1,0,0.5323949803456993,0
race,African-American,53,2,0,0.7407164316246357,0
race,African-American,53,3,0,0.7030761510815643,0
race,African-American,53,4,0,0.820060431015643,0
race,African-American,53,4,1,0.9429179984452821,0
race,African-American,23,1,0,0.6630747316188057,0
race,African-American,23,2,0,0.7253744389516164,0
race,African-American,23,3,0,0.7527766531507492,0
race,African-American,23,4,0,0.8558616196385441,0
race,African-American,23,1,1,0.9657547882215567,0
race,African-American,23,2,1,0.8531338881554879,0
race,African-American,23,3,1,0.8921408583316954,0
race,African-American,23,4,1,0.9754150154013514,0
race,African-American,24,1,0,0.6605253244023525,0
race,African-American,24,2,0,0.7442430539613099,0
race,African-American,24,3,0,0.7031967968974954,0
race,African-American,24,4,0,0.8755541297801472,0
race,African-American,26,1,0,0.6489367428019255,0
race,African-American,26,2,0,0.7203642660062083,0
race,African-American,26,3,0,0.7223241509296527,0
race,African-American,26,4,0,0.8571392898948865,0
race,African-American,26,2,1,0.9003798647391169,0
race,African-American,26,4,1,0.9914979205325088,0
race,African-American,35,1,0,0.6649772217707105,0
race,African-American,35,2,0,0.7226153899710261,0
race,African-American,35,3,0,0.7673179477868579,0
race,African-American,35,4,0,0.8779418688062086,0
race,African-American,35,1,1,0.889194814943951,0
race,African-American,38,1,0,0.6079214700923836,0
race,African-American,38,2,0,0.7208932365047939,0
race,African-American,38,3,0,0.7549302537931926,0
race,African-American,38,4,0,0.836761098416999,0
race,African-American,25,1,0,0.6531904352323917,0
race,African-American,25,2,0,0.6978823378794679,0
race,African-American,25,3,0,0.7903299633058454,0
race,African-American,25,4,0,0.8713205537493777,0
race,African-American,25,1,1,0.8491675377039799,0
race,African-American,25,4,1,0.9522856325921962,0
race,African-American,32,1,0,0.6332910280174114,0
race,African-American,32,2,0,0.6909533150218178,0
race,African-American,32,3,0,0.7813988242390523,0
race,African-American,32,4,0,0.8667494619919974,0
race,African-American,32,4,1,0.9146834519703373,0
race,African-American,42,1,0,0.5723654127300443,0
race,African-American,42,2,0,0.6592648766495026,0
race,African-American,42,3,0,0.7755751973092326,0
race,African-American,42,4,0,0.8230539719438761,0
race,African-American,42,4,1,0.9069809101813442,0
race,African-American,41,1,0,0.5908350048880391,0
race,African-American,41,2,0,0.6833381823206687,0
race,African-American,41,3,0,0.7312584410302578,0
race,African-American,41,4,0,0.8045379134018307,0
race,African-American,33,1,0,0.6513746321149253,0
race,African-American,33,2,0,0.7375002274248047,0
race,African-American,33,3,0,0.7603262991462484,0
race,African-American,33,4,0,0.8687129404255979,0
race,African-American,33,4,1,0.9809785295343528,0
race,African-American,31,1,0,0.6490767064761687,0
race,African-American,31,2,0,0.7659198849875796,0
race,African-American,31,3,0,0.7601452978077881,0
race,African-American,31,4,0,0.8926932102843094,0
race,African-American,31,4,1,0.9522856325921962,0
race,African-American,50,1,0,0.5542619742618675,0
race,African-American,50,2,0,0.6511281771691342,0
race,African-American,50,3,0,0.736855581598643,0
race,African-American,50,4,0,0.8311268341860698,0
race,African-American,50,1,1,0.5580272132359623,0
race,African-American,28,1,0,0.6494320468137865,0
race,African-American,28,2,0,0.7184219364312332,0
race,African-American,28,3,0,0.7893565846875163,0
race,African-American,28,4,0,0.8540248218437363,0
race,African-American,52,1,0,0.5669795932340796,0
race,African-American,52,2,0,0.7325626771695464,0
race,African-American,52,3,0,0.7468659855119678,0
race,African-American,52,4,0,0.7853070226986678,0
race,African-American,51,1,0,0.6027591585636192,0
race,African-American,51,2,0,0.7177797786471125,0
race,African-American,51,3,0,0.6418639940567883,0
race,African-American,51,4,0,0.7703636184963097,0
race,African-American,40,1,0,0.5981771403899799,0
