Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,0,0.00152843942189492,0
race,African-American,46,2,0,0.0024009166842028453,0
race,African-American,46,3,0,0.001935107420855993,0
race,African-American,46,4,0,0.003367537316842732,0
race,African-American,46,1,1,0.0015189121474664569,0
race,African-American,46,3,1,0.00011035203681114535,0
race,African-American,46,4,1,0.2254959417620124,0
race,African-American,30,1,0,0.0003373903952560845,0
race,African-American,30,2,0,0.0005572788567263703,0
race,African-American,30,3,0,0.0037531287572547126,0
race,African-American,30,4,0,0.012831466880267227,0
race,African-American,30,1,1,0.0001352463970655806,0
race,African-American,30,3,1,0.002206989569801103,0
race,African-American,30,4,1,0.2139931872469721,0
race,African-American,29,1,0,0.0006953997912177951,0
race,African-American,29,2,0,0.0022266019276255076,0
race,African-American,29,3,0,0.003086708625972113,0
race,African-American,29,4,0,0.014558384794012275,0
race,African-American,29,3,1,0.04651086251497984,0
race,African-American,29,4,1,0.23013995597093187,0
race,African-American,22,1,0,0.000925393740764629,0
race,African-American,22,2,0,0.003317791011738502,0
race,African-American,22,3,0,0.0027494765989067816,0
race,African-American,22,4,0,0.04046691292050721,0
race,African-American,22,1,1,0.0025933682224383685,0
race,African-American,22,3,1,0.01662737842977828,0
race,African-American,22,4,1,0.10121379177962818,0
race,African-American,34,1,0,0.0004128133134509538,0
race,African-American,34,2,0,0.001239032748859848,0
race,African-American,34,3,0,0.0011542820050580575,0
race,African-American,34,4,0,0.04047405692936149,0
race,African-American,34,1,1,0.01187406886681225,0
race,African-American,34,3,1,4.8445023898028624e-05,0
race,African-American,34,4,1,0.12738635659646652,0
race,African-American,37,1,0,0.0010766550168396134,0
race,African-American,37,2,0,0.0012419750631749204,0
race,African-American,37,3,0,0.0011872323358315864,0
race,African-American,37,4,0,0.015568460910646746,0
race,African-American,53,1,0,0.0009129207732439757,0
race,African-American,53,2,0,0.0002665596528721457,0
race,African-American,53,3,0,0.010077772372298382,0
race,African-American,53,4,0,0.007461981228549317,0
race,African-American,53,4,1,0.1442898068680899,0
race,African-American,23,1,0,0.0012416341124257765,0
race,African-American,23,2,0,0.0027036105958426443,0
race,African-American,23,3,0,0.002313159732673039,0
race,African-American,23,4,0,0.03678910060196402,0
race,African-American,23,2,1,0.0017601931991898323,0
race,African-American,23,3,1,0.029542732344027458,0
race,African-American,23,4,1,0.06549960904228763,0
race,African-American,24,1,0,0.000771591523025687,0
race,African-American,24,2,0,0.002184924382652826,0
race,African-American,24,3,0,0.001763241052637759,0
race,African-American,24,4,0,0.04336717518904978,0
race,African-American,24,1,1,0.0021067197215480756,0
race,African-American,24,2,1,0.006877998283379063,0
race,African-American,24,4,1,0.13319203250138478,0
race,African-American,26,1,0,0.0012320412476923889,0
race,African-American,26,2,0,0.002036945202396203,0
race,African-American,26,3,0,0.0009924909159641894,0
