Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.08509467234012044,0
race,African-American,46,2,1,0.10203054464949754,0
race,African-American,46,4,1,0.18119069567711718,0
race,African-American,46,1,0,0.05381422465372155,0
race,African-American,46,2,0,0.08493458504232015,0
race,African-American,46,3,0,0.1138267146303511,0
race,African-American,46,4,0,0.1281874816964715,0
race,African-American,30,1,0,0.06179124876754771,0
race,African-American,30,2,0,0.09133133387419279,0
race,African-American,30,3,0,0.1088895058328785,0
race,African-American,30,4,0,0.13382842569413556,0
race,African-American,30,1,1,0.07229774466202228,0
race,African-American,30,2,1,0.17118617937653324,0
race,African-American,30,3,1,0.15529713745582732,0
race,African-American,30,4,1,0.2186446771555183,0
race,African-American,29,1,0,0.06214996031529621,0
race,African-American,29,2,0,0.07339070569177349,0
race,African-American,29,3,0,0.11662777009333357,0
race,African-American,29,4,0,0.14091554806702963,0
race,African-American,29,1,1,0.159301315462894,0
race,African-American,29,2,1,0.09691916164144738,0
race,African-American,29,4,1,0.13256484546882222,0
race,African-American,22,1,0,0.052178394559466934,0
race,African-American,22,2,0,0.08094820686228449,0
race,African-American,22,3,0,0.0961364196711587,0
race,African-American,22,4,0,0.1410303010996007,0
race,African-American,22,1,1,0.046728979267954586,0
race,African-American,22,2,1,0.029023316484591555,0
race,African-American,22,3,1,0.11728395061728394,0
race,African-American,22,4,1,0.14503504936614234,0
race,African-American,34,1,0,0.06085522965563395,0
race,African-American,34,2,0,0.07458032314261223,0
race,African-American,34,3,0,0.09982987720148798,0
race,African-American,34,4,0,0.1513076013928776,0
race,African-American,34,1,1,0.09924487594390508,0
race,African-American,34,2,1,0.07094446873633581,0
race,African-American,34,3,1,0.04357378249725375,0
race,African-American,34,4,1,0.21393843829867132,0
race,African-American,37,1,0,0.06753504659236878,0
race,African-American,37,2,0,0.07312623184656152,0
race,African-American,37,3,0,0.0842911320569409,0
race,African-American,37,4,0,0.12949888859159794,0
race,African-American,37,1,1,0.09735348540685107,0
race,African-American,37,4,1,0.21748878923766815,0
race,African-American,53,1,0,0.058581087045204934,0
race,African-American,53,2,0,0.07587713984264662,0
race,African-American,53,3,0,0.09610674739638617,0
race,African-American,53,4,0,0.07222981428361755,0
race,African-American,53,1,1,0.036151603498542274,0
race,African-American,53,4,1,0.36830417558623063,0
race,African-American,23,1,0,0.062073909257253736,0
race,African-American,23,2,0,0.078956483130395,0
race,African-American,23,3,0,0.08475068842781458,0
race,African-American,23,4,0,0.12436885673906964,0
race,African-American,23,1,1,0.05933466521345199,0
race,African-American,23,2,1,0.0779300551721842,0
race,African-American,23,3,1,0.13834977672407167,0
race,African-American,23,4,1,0.19080973888553318,0
race,African-American,24,1,0,0.06641209746588189,0
race,African-American,24,2,0,0.08464874131986204,0
race,African-American,24,3,0,0.07603125833293516,0
race,African-American,24,4,0,0.14651753055211228,0
race,African-American,24,1,1,0.06381952718122538,0
race,African-American,24,2,1,0.06280665520269067,0
race,African-American,24,4,1,0.23187424527961942,0
race,African-American,26,1,0,0.061176467056833,0
race,African-American,26,2,0,0.08357032898488856,0
race,African-American,26,3,0,0.07518582219289208,0
race,African-American,26,4,0,0.15243907689748798,0
race,African-American,26,1,1,0.059213774645709344,0
race,African-American,26,2,1,0.04542701393095094,0
race,African-American,26,3,1,0.10827518837022658,0
race,African-American,26,4,1,0.16328703867907493,0
race,African-American,35,1,0,0.07654435566249541,0
race,African-American,35,2,0,0.06864101318839742,0
race,African-American,35,3,0,0.09168569349132165,0
race,African-American,35,4,0,0.16271891327104052,0
race,African-American,35,1,1,0.094453044375645,0
race,African-American,35,2,1,0.07094446873633581,0
race,African-American,35,3,1,0.09421841541755889,0
race,African-American,35,4,1,0.18886467728119533,0
race,African-American,38,1,0,0.06380028150296473,0
race,African-American,38,2,0,0.07235065418599186,0
race,African-American,38,3,0,0.10514997680999126,0
race,African-American,38,4,0,0.1315759660963138,0
race,African-American,38,1,1,0.05312030118943017,0
race,African-American,38,2,1,0.1623108665749656,0
race,African-American,38,4,1,0.23549599970845325,0
race,African-American,25,1,1,0.053348427600396105,0
race,African-American,25,2,1,0.12450980392156863,0
race,African-American,25,3,1,0.09335453047467981,0
race,African-American,25,4,1,0.16738289101011342,0
race,African-American,25,1,0,0.06113102919389897,0
race,African-American,25,2,0,0.07214742455965112,0
race,African-American,25,3,0,0.07566786520859538,0
race,African-American,25,4,0,0.14361108517794563,0
race,African-American,32,1,0,0.060066833005182584,0
race,African-American,32,2,0,0.0685892319542432,0
race,African-American,32,3,0,0.09736189678187337,0
race,African-American,32,4,0,0.14626699650759997,0
race,African-American,32,2,1,0.09498674101002835,0
race,African-American,32,3,1,0.1763827976714929,0
race,African-American,32,4,1,0.18250439113138045,0
race,African-American,42,1,0,0.060770786216185355,0
race,African-American,42,2,0,0.07856054009708703,0
race,African-American,42,3,0,0.08829206128512919,0
race,African-American,42,4,0,0.15025873082332353,0
race,African-American,42,1,1,0.097809475292919,0
race,African-American,42,2,1,0.10530463660280477,0
race,African-American,42,4,1,0.3267080745341615,0
race,African-American,41,1,0,0.0603609308133561,0
race,African-American,41,2,0,0.08546815902193133,0
race,African-American,41,3,0,0.09376312460198973,0
race,African-American,41,4,0,0.1174885075246952,0
race,African-American,41,1,1,0.07094446873633581,0
race,African-American,41,2,1,0.16948415145478768,0
race,African-American,41,3,1,0.12658846529814272,0
race,African-American,41,4,1,0.1589462436353353,0
race,African-American,33,1,0,0.05915047016240945,0
race,African-American,33,2,0,0.0789665940142239,0
race,African-American,33,3,0,0.09286888635664464,0
race,African-American,33,4,0,0.13980759435300266,0
race,African-American,33,2,1,0.07094446873633581,0
race,African-American,33,3,1,0.11728395061728394,0
race,African-American,33,4,1,0.18425031474147768,0
race,African-American,31,1,0,0.06440715337910188,0
race,African-American,31,2,0,0.08359462540141234,0
race,African-American,31,3,0,0.0928146698459181,0
race,African-American,31,4,0,0.16830292981222794,0
race,African-American,31,2,1,0.17447359382843253,0
race,African-American,31,3,1,0.15199368337939204,0
race,African-American,31,4,1,0.2245126074594319,0
race,African-American,50,1,0,0.06010720668203979,0
race,African-American,50,2,0,0.06513505587140973,0
race,African-American,50,3,0,0.08591634317390659,0
race,African-American,50,4,0,0.12391796650072241,0
race,African-American,50,1,1,0.0738654818688931,0
race,African-American,50,2,1,0.13966480446927373,0
race,African-American,50,4,1,0.1612279231043568,0
race,African-American,28,1,0,0.06380008604206332,0
race,African-American,28,2,0,0.06888047509372686,0
race,African-American,28,3,0,0.09155901893338736,0
race,African-American,28,4,0,0.14756800047965862,0
race,African-American,28,1,1,0.050428133344291894,0
race,African-American,28,2,1,0.07352213952890885,0
race,African-American,28,3,1,0.1129123217964448,0
race,African-American,28,4,1,0.21374505709928815,0
race,African-American,52,1,0,0.049914797385994275,0
race,African-American,52,2,0,0.06574673463812637,0
race,African-American,52,3,0,0.07665358602146456,0
race,African-American,52,4,0,0.13024024939392564,0
race,African-American,52,4,1,0.1339916942700351,0
race,African-American,51,1,0,0.05288709805063511,0
race,African-American,51,2,0,0.0729085458700304,0
race,African-American,51,3,0,0.07112562016283121,0
race,African-American,51,4,0,0.10196176096801278,0
race,African-American,51,1,1,0.07086044830079537,0
race,African-American,51,2,1,0.04380872232296946,0
race,African-American,51,4,1,0.16062524110931717,0
race,African-American,40,1,0,0.06335415191909591,0
race,African-American,40,2,0,0.07861490056954176,0
race,African-American,40,3,0,0.09442046752521858,0
race,African-American,40,4,0,0.1197958906763523,0
race,African-American,40,1,1,0.023221159816217557,0
race,African-American,40,2,1,0.06439628482972136,0
race,African-American,40,3,1,0.07675283891228228,0
race,African-American,40,4,1,0.2890911910960842,0
race,African-American,60,1,0,0.0616566254771389,0
race,African-American,60,2,0,0.06234963818680511,0
race,African-American,60,3,0,0.11279117286473232,0
race,African-American,60,4,0,0.19553775686152167,0
race,African-American,39,1,0,0.065047512702947,0
race,African-American,39,2,0,0.07535655745194006,0
race,African-American,39,3,0,0.09761743823150472,0
race,African-American,39,4,0,0.1568251593227674,0
race,African-American,39,1,1,0.12450980392156863,0
race,African-American,39,3,1,0.14827953174884712,0
race,African-American,39,4,1,0.1414199633861004,0
race,African-American,47,1,0,0.06369777776774119,0
race,African-American,47,2,0,0.06872442799878392,0
race,African-American,47,3,0,0.07437102424795737,0
race,African-American,47,4,0,0.10006111936034703,0
race,African-American,47,1,1,0.07094446873633581,0
race,African-American,47,2,1,0.09768050350045965,0
race,African-American,47,4,1,0.11705757191699462,0
race,African-American,36,1,0,0.05857106929670703,0
race,African-American,36,2,0,0.06705447703970474,0
race,African-American,36,3,0,0.11104616487528117,0
race,African-American,36,4,0,0.13972113763550975,0
race,African-American,36,2,1,0.09924487594390508,0
race,African-American,36,4,1,0.18939320392696288,0
race,African-American,44,1,0,0.053416297308273276,0
race,African-American,44,2,0,0.07690345047184824,0
race,African-American,44,3,0,0.07729110723577674,0
race,African-American,44,4,0,0.11953558968360893,0
race,African-American,44,1,1,0.11187733993273685,0
race,African-American,44,2,1,0.07086044830079537,0
race,African-American,44,4,1,0.16513998105120023,0
race,African-American,48,1,1,0.23404255319148937,0
race,African-American,48,2,1,0.11279117286473232,0
race,African-American,48,4,1,0.17094768182803044,0
