Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.04742587317756678,0
race,African-American,46,2,1,0.19407217169605634,0
race,African-American,46,4,1,0.2852054372264206,0
race,African-American,46,1,0,0.05603911903891287,0
race,African-American,46,2,0,0.12074902243681156,0
race,African-American,46,3,0,0.1382751812557849,0
race,African-American,46,4,0,0.19809180408231897,0
race,African-American,30,1,0,0.06458995007517673,0
race,African-American,30,2,0,0.1174266159112188,0
race,African-American,30,3,0,0.11168579819929901,0
race,African-American,30,4,0,0.18868597416753324,0
race,African-American,30,1,1,0.06537013538870447,0
race,African-American,30,2,1,0.11920292202211753,0
race,African-American,30,3,1,0.19407217169605634,0
race,African-American,30,4,1,0.31059190909161266,0
race,African-American,29,1,0,0.05863336527543772,0
race,African-American,29,2,0,0.08023921058141639,0
race,African-American,29,3,0,0.1361510634358842,0
race,African-American,29,4,0,0.18856113007092204,0
race,African-American,29,1,1,0.09527723907393397,0
race,African-American,29,2,1,0.13869328464794925,0
race,African-American,29,3,1,0.2689414213699951,0
race,African-American,29,4,1,0.19469061186193393,0
race,African-American,22,1,0,0.06482636986715487,0
race,African-American,22,2,0,0.11468778528569588,0
race,African-American,22,3,0,0.12015436843116,0
race,African-American,22,4,0,0.20702794554616952,0
race,African-American,22,1,1,0.05540110082696131,0
race,African-American,22,2,1,0.08331439759984217,0
race,African-American,22,3,1,0.19407217169605634,0
race,African-American,22,4,1,0.25650170863076777,0
race,African-American,34,1,0,0.06077974273004134,0
race,African-American,34,2,0,0.09329696422303399,0
race,African-American,34,3,0,0.1303827359990437,0
race,African-American,34,4,0,0.19118578935366365,0
race,African-American,34,1,1,0.04742587317756678,0
race,African-American,34,2,1,0.06178128294647693,0
race,African-American,34,3,1,0.11920292202211755,0
race,African-American,34,4,1,0.23264921510772324,0
race,African-American,37,1,0,0.059065394611818256,0
race,African-American,37,2,0,0.08871797435535647,0
race,African-American,37,3,0,0.08713920906175593,0
race,African-American,37,4,0,0.15767938163344178,0
race,African-American,37,1,1,0.15818364727378095,0
race,African-American,37,3,1,0.2689414213699951,0
race,African-American,37,4,1,0.28927144119052695,0
race,African-American,53,1,0,0.061097692005100256,0
race,African-American,53,2,0,0.12688548234969102,0
race,African-American,53,3,0,0.10983254385272116,0
race,African-American,53,4,0,0.16880891595646477,0
race,African-American,53,1,1,0.04742587317756678,0
race,African-American,53,2,1,0.11920292202211755,0
race,African-American,53,4,1,0.34596094757999674,0
race,African-American,23,1,0,0.0695320586667068,0
race,African-American,23,2,0,0.10714886946232705,0
race,African-American,23,3,0,0.11119710367573246,0
race,African-American,23,4,0,0.18965104783059056,0
race,African-American,23,1,1,0.08331439759984216,0
race,African-American,23,2,1,0.12023365563191353,0
race,African-American,23,3,1,0.17909832176126858,0
race,African-American,23,4,1,0.308311295089421,0
race,African-American,24,1,1,0.07135155612575036,0
race,African-American,24,2,1,0.09049210248429725,0
race,African-American,24,3,1,0.11920292202211755,0
race,African-American,24,4,1,0.34682617154935313,0
race,African-American,24,1,0,0.07043715857935196,0
race,African-American,24,2,0,0.1194289371447277,0
race,African-American,24,3,0,0.09483274370352503,0
race,African-American,24,4,0,0.21076352853831448,0
race,African-American,26,1,0,0.06731917165128765,0
race,African-American,26,2,0,0.09465254287768361,0
race,African-American,26,3,0,0.10359369179839081,0
race,African-American,26,4,0,0.1898802827283183,0
race,African-American,26,1,1,0.08331439759984216,0
race,African-American,26,2,1,0.08331439759984216,0
race,African-American,26,3,1,0.11920292202211755,0
race,African-American,26,4,1,0.26603951788819524,0
race,African-American,35,1,0,0.061097692005100256,0
race,African-American,35,2,0,0.10728518741952134,0
race,African-American,35,3,0,0.10063971978190818,0
race,African-American,35,4,0,0.2193472369322826,0
race,African-American,35,1,1,0.11920292202211755,0
race,African-American,35,2,1,0.04742587317756678,0
race,African-American,35,3,1,0.11920292202211755,0
race,African-American,35,4,1,0.28218628206244367,0
race,African-American,38,1,0,0.05562896447408686,0
race,African-American,38,2,0,0.0877601152511154,0
race,African-American,38,3,0,0.1347952121227829,0
race,African-American,38,4,0,0.16726889531994996,0
race,African-American,38,1,1,0.09527723907393397,0
race,African-American,38,2,1,0.2689414213699951,0
race,African-American,38,4,1,0.3181537635192776,0
race,African-American,25,1,1,0.06537013538870447,0
race,African-American,25,2,1,0.11920292202211755,0
race,African-American,25,3,1,0.17014648874787275,0
race,African-American,25,4,1,0.22912386198666282,0
race,African-American,25,1,0,0.07044054713705905,0
race,African-American,25,2,0,0.11073935464330786,0
race,African-American,25,3,0,0.11045723573068088,0
race,African-American,25,4,0,0.20899718427688685,0
race,African-American,32,1,0,0.052319762871513416,0
race,African-American,32,2,0,0.07862920851514396,0
race,African-American,32,3,0,0.11587643178035363,0
race,African-American,32,4,0,0.19827057551607957,0
race,African-American,32,2,1,0.10827081415782176,0
race,African-American,32,3,1,0.11920292202211755,0
race,African-American,32,4,1,0.23258193480105716,0
race,African-American,42,1,0,0.06071791925989099,0
race,African-American,42,2,0,0.07638406878173813,0
race,African-American,42,3,0,0.11177689133124272,0
race,African-American,42,4,0,0.19095944445513077,0
race,African-American,42,1,1,0.04742587317756678,0
race,African-American,42,2,1,0.15818364727378095,0
race,African-American,42,4,1,0.19407217169605634,0
race,African-American,41,1,0,0.05732615577681516,0
race,African-American,41,2,0,0.10156787989391865,0
race,African-American,41,3,0,0.13119699133032164,0
race,African-American,41,4,0,0.1860505702225569,0
race,African-American,41,1,1,0.04742587317756678,0
race,African-American,41,2,1,0.3096014610110588,0
race,African-American,41,3,1,0.11920292202211755,0
race,African-American,41,4,1,0.2139823629192381,0
race,African-American,33,1,0,0.057559103602679865,0
race,African-American,33,2,0,0.11510580164094522,0
race,African-American,33,3,0,0.10534226438590948,0
race,African-American,33,4,0,0.20454709033534374,0
race,African-American,33,1,1,0.04742587317756678,0
race,African-American,33,2,1,0.09527723907393397,0
race,African-American,33,3,1,0.19407217169605634,0
race,African-American,33,4,1,0.2591673613606022,0
race,African-American,31,1,0,0.06768836423160839,0
race,African-American,31,2,0,0.10827081415782175,0
race,African-American,31,3,0,0.11568316922851687,0
race,African-American,31,4,0,0.22357387743760312,0
race,African-American,31,2,1,0.21902858825403593,0
race,African-American,31,3,1,0.2689414213699951,0
race,African-American,31,4,1,0.33683849157123,0
race,African-American,50,1,0,0.061781282946476924,0
race,African-American,50,2,0,0.0698562009414889,0
race,African-American,50,3,0,0.08331439759984217,0
race,African-American,50,4,0,0.20893465883713822,0
race,African-American,50,1,1,0.08331439759984216,0
race,African-American,50,2,1,0.19407217169605634,0
race,African-American,50,4,1,0.28927144119052695,0
race,African-American,28,1,0,0.06942877624300223,0
race,African-American,28,2,0,0.08365797546977416,0
race,African-American,28,3,0,0.10247118243212743,0
race,African-American,28,4,0,0.20043788287523834,0
race,African-American,28,1,1,0.06537013538870447,0
race,African-American,28,2,1,0.10125865981097987,0
race,African-American,28,3,1,0.13219649710600537,0
race,African-American,28,4,1,0.283853378327875,0
race,African-American,52,1,0,0.0699147642554886,0
race,African-American,52,2,0,0.08929581833688806,0
race,African-American,52,3,0,0.10125865981097985,0
race,African-American,52,4,0,0.16321328926844864,0
race,African-American,52,3,1,0.2689414213699951,0
race,African-American,52,4,1,0.16911575513807675,0
race,African-American,51,1,0,0.058192430504249396,0
race,African-American,51,2,0,0.09228652870541101,0
race,African-American,51,3,0,0.12761750723832782,0
race,African-American,51,4,0,0.15588229006466128,0
race,African-American,51,1,1,0.04742587317756678,0
race,African-American,51,2,1,0.19407217169605634,0
race,African-American,51,4,1,0.1951029053058523,0
race,African-American,40,1,0,0.07245432689218186,0
race,African-American,40,2,0,0.07779308615026136,0
race,African-American,40,3,0,0.12065807535359427,0
race,African-American,40,4,0,0.1786144220144638,0
race,African-American,40,1,1,0.04742587317756678,0
race,African-American,40,2,1,0.2689414213699951,0
race,African-American,40,3,1,0.08331439759984216,0
race,African-American,40,4,1,0.43653382033701954,0
race,African-American,60,1,0,0.04742587317756678,0
race,African-American,60,2,0,0.09049210248429725,0
race,African-American,60,3,0,0.11920292202211755,0
race,African-American,60,4,0,0.28927144119052695,0
race,African-American,39,1,0,0.059554070067217545,0
race,African-American,39,2,0,0.09219040010379745,0
race,African-American,39,3,0,0.15316529983928767,0
race,African-American,39,4,0,0.19475381672731182,0
race,African-American,39,1,1,0.08331439759984216,0
race,African-American,39,2,1,0.19407217169605634,0
race,African-American,39,3,1,0.11920292202211755,0
race,African-American,39,4,1,0.21902858825403593,0
race,African-American,47,1,0,0.0673639423010531,0
race,African-American,47,2,0,0.09159636477421342,0
race,African-American,47,3,0,0.0800518044705444,0
race,African-American,47,4,0,0.2086945348850068,0
race,African-American,47,1,1,0.04742587317756678,0
race,African-American,47,2,1,0.2689414213699951,0
race,African-American,47,3,1,0.04742587317756678,0
race,African-American,47,4,1,0.17612790948491863,0
race,African-American,36,1,0,0.06537013538870448,0
race,African-American,36,2,0,0.08656279137081413,0
race,African-American,36,3,0,0.10525980569712581,0
race,African-American,36,4,0,0.182015383882963,0
race,African-American,36,1,1,0.11920292202211755,0
race,African-American,36,2,1,0.04742587317756678,0
race,African-American,36,4,1,0.23605860163338335,0
race,African-American,44,1,0,0.057679737298216884,0
race,African-American,44,2,0,0.10164518491465335,0
race,African-American,44,3,0,0.10125865981097985,0
race,African-American,44,4,0,0.17336260253475785,0
race,African-American,44,1,1,0.08331439759984216,0
race,African-American,44,2,1,0.04742587317756678,0
race,African-American,44,4,1,0.19407217169605634,0
race,African-American,48,1,1,0.11920292202211755,0
race,African-American,48,2,1,0.11920292202211755,0
race,African-American,48,4,1,0.22008892496932222,0
race,African-American,48,1,0,0.05316803708513084,0
race,African-American,48,2,0,0.10852069343179649,0
race,African-American,48,3,0,0.07135155612575038,0
race,African-American,48,4,0,0.18315872682684853,0
race,African-American,49,1,0,0.06417385124129528,0
race,African-American,49,2,0,0.093084240956166,0
race,African-American,49,3,0,0.12855246115124008,0
race,African-American,49,4,0,0.20984351887881228,0
race,African-American,49,1,1,0.08331439759984216,0
race,African-American,49,2,1,0.09527723907393397,0
race,African-American,49,4,1,0.2518368163535576,0
race,African-American,63,1,0,0.04742587317756678,0
race,African-American,63,2,0,0.09527723907393397,0
race,African-American,63,4,0,0.20762551824307754,0
race,African-American,63,1,1,0.11920292202211755,0
race,African-American,63,4,1,0.11920292202211755,0
race,African-American,27,1,1,0.04742587317756678,0
race,African-American,27,2,1,0.13219649710600537,0
race,African-American,27,3,1,0.08331439759984216,0
race,African-American,27,4,1,0.29943645110079287,0
race,African-American,27,1,0,0.0679621816782846,0
race,African-American,27,2,0,0.1072639606564646,0
race,African-American,27,3,0,0.12990958092766242,0
race,African-American,27,4,0,0.1927766917555776,0
race,African-American,21,1,0,0.06443585333037827,0
race,African-American,21,2,0,0.08975592762435311,0
race,African-American,21,3,0,0.09431825089612814,0
race,African-American,21,4,0,0.17040410829308036,0
race,African-American,21,1,1,0.06337632847635583,0
race,African-American,21,2,1,0.06537013538870447,0
race,African-American,21,3,1,0.2689414213699951,0
race,African-American,21,4,1,0.3197324888641864,0
race,African-American,43,1,0,0.053245633894692515,0
race,African-American,43,2,0,0.08055374187505174,0
race,African-American,43,3,0,0.09228652870541101,0
race,African-American,43,4,0,0.1679778290383078,0
race,African-American,43,1,1,0.11920292202211755,0
race,African-American,43,4,1,0.28055857555315616,0
race,African-American,45,1,0,0.054787621777007876,0
race,African-American,45,2,0,0.09859746761756871,0
race,African-American,45,3,0,0.09630797268372997,0
race,African-American,45,4,0,0.17312270047912928,0
race,African-American,45,1,1,0.11920292202211755,0
race,African-American,45,2,1,0.04742587317756678,0
race,African-American,45,4,1,0.38447071068499755,0
race,African-American,55,1,0,0.0673639423010531,0
race,African-American,55,2,0,0.07818746553951712,0
race,African-American,55,3,0,0.07613669271538707,0
race,African-American,55,4,0,0.22821360978493835,0
race,African-American,55,1,1,0.04742587317756678,0
race,African-American,55,2,1,0.11920292202211755,0
race,African-American,55,3,1,0.04742587317756678,0
race,African-American,55,4,1,0.19407217169605634,0
race,African-American,59,1,0,0.0576797372982169,0
race,African-American,59,2,0,0.10724008054802575,0
race,African-American,59,3,0,0.04742587317756678,0
race,African-American,59,4,0,0.21095462771835938,0
race,African-American,59,3,1,0.11920292202211755,0
race,African-American,20,1,0,0.06337632847635584,0
race,African-American,20,2,0,0.1072639606564646,0
race,African-American,20,3,0,0.13216361438146135,0
race,African-American,20,4,0,0.18478682729282533,0
race,African-American,20,1,1,0.08331439759984216,0
race,African-American,20,2,1,0.14059413621467148,0
race,African-American,20,3,1,0.21902858825403593,0
race,African-American,20,4,1,0.23778687272326154,0
race,African-American,19,1,0,0.06178128294647693,0
race,African-American,19,2,0,0.11857473181075959,0
race,African-American,19,3,0,0.1027185584984785,0
race,African-American,19,4,0,0.1680822754422852,0
race,African-American,19,1,1,0.04742587317756678,0
race,African-American,19,2,1,0.12074902243681157,0
race,African-American,19,3,1,0.15438305653454104,0
race,African-American,19,4,1,0.2703749390607037,0
race,African-American,54,1,0,0.05255280523789183,0
race,African-American,54,2,0,0.09869519378081734,0
race,African-American,54,3,0,0.10484751225320739,0
race,African-American,54,4,0,0.12786530541137608,0
race,African-American,54,1,1,0.04742587317756678,0
race,African-American,54,2,1,0.11920292202211755,0
race,African-American,54,3,1,0.04742587317756678,0
race,African-American,54,4,1,0.04742587317756678,0
race,African-American,62,3,1,0.11920292202211755,0
race,African-American,62,1,0,0.04742587317756678,0
race,African-American,62,2,0,0.10827081415782176,0
race,African-American,62,3,0,0.13479521212278292,0
race,African-American,62,4,0,0.2689414213699951,0
race,African-American,61,1,0,0.06537013538870447,0
race,African-American,61,2,0,0.06537013538870448,0
race,African-American,61,4,0,0.17173699382080218,0
race,African-American,61,1,1,0.04742587317756678,0
race,African-American,61,2,1,0.11920292202211755,0
race,African-American,65,1,0,0.04742587317756678,0
race,African-American,65,2,0,0.07135155612575036,0
race,African-American,65,3,0,0.08331439759984216,0
race,African-American,65,4,0,0.15818364727378095,0
race,African-American,65,2,1,0.11920292202211755,0
race,African-American,56,1,1,0.04742587317756678,0
race,African-American,56,4,1,0.38447071068499755,0
race,African-American,56,1,0,0.05340729391461268,0
race,African-American,56,2,0,0.08331439759984216,0
race,African-American,56,3,0,0.10724008054802575,0
race,African-American,56,4,0,0.14976906205757065,0
race,African-American,57,1,0,0.07434226649427332,0
race,African-American,57,2,0,0.12855246115124008,0
race,African-American,57,3,0,0.09527723907393397,0
race,African-American,57,4,0,0.20174601534255776,0
race,African-American,57,1,1,0.07135155612575038,0
race,African-American,57,4,1,0.11920292202211755,0
race,African-American,64,1,0,0.0743422664942733,0
race,African-American,64,3,0,0.09527723907393397,0
race,African-American,64,4,0,0.13479521212278292,0
race,African-American,64,2,1,0.04742587317756678,0
race,African-American,66,1,0,0.06537013538870448,0
race,African-American,66,2,0,0.06537013538870448,0
race,African-American,66,3,0,0.04742587317756678,0
race,African-American,58,1,0,0.08061402280316039,0
race,African-American,58,2,0,0.06793360141886702,0
race,African-American,58,3,0,0.09527723907393397,0
race,African-American,58,4,0,0.18210933022196452,0
race,African-American,69,1,0,0.04742587317756678,0
race,African-American,69,3,0,0.04742587317756678,0
