Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.6425742532382255,0
race,African-American,46,2,1,0.7820978846539579,0
race,African-American,46,4,1,0.8650901091203823,0
race,African-American,46,1,0,0.5750796043838262,0
race,African-American,46,2,0,0.6670853299950966,0
race,African-American,46,3,0,0.6903440665721363,0
race,African-American,46,4,0,0.7699217006824761,0
race,African-American,30,1,0,0.6323130004875939,0
race,African-American,30,2,0,0.6877932759616409,0
race,African-American,30,3,0,0.7457282912165263,0
race,African-American,30,4,0,0.7724535844243294,0
race,African-American,30,1,1,0.7139808281496351,0
race,African-American,30,2,1,0.8232190475285712,0
race,African-American,30,3,1,0.8108746202907106,0
race,African-American,30,4,1,0.8846722719601722,0
race,African-American,29,1,0,0.6262370472157941,0
race,African-American,29,2,0,0.645569687532984,0
race,African-American,29,3,0,0.7482659937232597,0
race,African-American,29,4,0,0.7681604644074169,0
race,African-American,29,1,1,0.7684670406027918,0
race,African-American,29,2,1,0.7457143887198903,0
race,African-American,29,4,1,0.7790296863008682,0
race,African-American,22,1,0,0.5974461454145686,0
race,African-American,22,2,0,0.6753912373363471,0
race,African-American,22,3,0,0.702414808632366,0
race,African-American,22,4,0,0.7822295947500277,0
race,African-American,22,1,1,0.5771672348403426,0
race,African-American,22,2,1,0.5542572283456807,0
race,African-American,22,3,1,0.786996100233786,0
race,African-American,22,4,1,0.7583429448720473,0
race,African-American,34,1,0,0.6165135102621876,0
race,African-American,34,2,0,0.6606565518872985,0
race,African-American,34,3,0,0.7212189780655496,0
race,African-American,34,4,0,0.7819267639206394,0
race,African-American,34,1,1,0.7294163096163577,0
race,African-American,34,2,1,0.6377060107700507,0
race,African-American,34,3,1,0.6496499271717506,0
race,African-American,34,4,1,0.8330893329928041,0
race,African-American,37,1,0,0.6300972463566673,0
race,African-American,37,2,0,0.6452181975391851,0
race,African-American,37,3,0,0.6660300202617683,0
race,African-American,37,4,0,0.7552493339742342,0
race,African-American,37,1,1,0.7351868378298594,0
race,African-American,37,4,1,0.8061467981191835,0
race,African-American,53,1,0,0.6099141020472019,0
