Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.08871918637824915,0
race,African-American,46,2,1,0.10552657457879895,0
race,African-American,46,4,1,0.2868839147804306,0
race,African-American,46,1,0,0.07073383045552631,0
race,African-American,46,2,0,0.08166299350096673,0
race,African-American,46,3,0,0.15426867533290156,0
race,African-American,46,4,0,0.22224529155648481,0
race,African-American,30,1,0,0.08935637175044989,0
race,African-American,30,2,0,0.11126279658249949,0
race,African-American,30,3,0,0.14682487949745907,0
race,African-American,30,4,0,0.21297619498939055,0
race,African-American,30,1,1,0.1270958222034543,0
race,African-American,30,2,1,0.4025,0
race,African-American,30,3,1,0.24888185584379782,0
race,African-American,30,4,1,0.343646216920847,0
race,African-American,29,1,0,0.08527128183005778,0
race,African-American,29,2,0,0.11935048416424814,0
race,African-American,29,3,0,0.15944813945716915,0
race,African-American,29,4,0,0.2238659482705671,0
race,African-American,29,1,1,0.11667999065985164,0
race,African-American,29,2,1,0.20236062217118145,0
race,African-American,29,3,1,0.17240737152132113,0
race,African-American,29,4,1,0.2654054741328909,0
race,African-American,22,1,0,0.0692848725058867,0
race,African-American,22,2,0,0.1321390939602562,0
race,African-American,22,3,0,0.14658851533144504,0
race,African-American,22,4,0,0.2664195449004066,0
race,African-American,22,1,1,0.07055530079999935,0
race,African-American,22,2,1,0.1134378827653516,0
race,African-American,22,3,1,0.26053229814284784,0
race,African-American,22,4,1,0.3627180839942564,0
race,African-American,34,1,0,0.08313798442472518,0
race,African-American,34,2,0,0.10956620895144428,0
race,African-American,34,3,0,0.18096744431115958,0
race,African-American,34,4,0,0.2612381201638208,0
race,African-American,34,1,1,0.13730028140649903,0
race,African-American,34,2,1,0.1369118392727436,0
race,African-American,34,3,1,0.0884508348794063,0
race,African-American,34,4,1,0.3444450685959109,0
race,African-American,37,1,0,0.09739058993040255,0
race,African-American,37,2,0,0.11794502373141204,0
race,African-American,37,3,0,0.1502217207968751,0
race,African-American,37,4,0,0.2044999730353476,0
race,African-American,37,1,1,0.16185130322299393,0
race,African-American,37,2,1,0.1639589521843766,0
race,African-American,37,4,1,0.2573896642095264,0
race,African-American,53,1,0,0.04521655066587281,0
race,African-American,53,2,0,0.10335571463342448,0
race,African-American,53,3,0,0.060482273325857316,0
race,African-American,53,4,0,0.21425567416515867,0
race,African-American,53,1,1,0.037960122699386506,0
race,African-American,53,2,1,0.1405501971317349,0
race,African-American,53,3,1,0.518095238095238,0
race,African-American,53,4,1,0.5065788595996531,0
race,African-American,23,1,0,0.08269456496506364,0
race,African-American,23,2,0,0.13690174036779668,0
