Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.007469225118550845,0
race,African-American,46,2,1,0.02183522745865711,0
race,African-American,46,4,1,0.13823713128420492,0
race,African-American,46,1,0,0.007321155096424954,0
race,African-American,46,2,0,0.014214909243235768,0
race,African-American,46,3,0,0.038070823963743367,0
race,African-American,46,4,0,0.1275783365158169,0
race,African-American,30,1,0,0.01156247225377211,0
race,African-American,30,2,0,0.02013096700074687,0
race,African-American,30,3,0,0.05646034434082267,0
race,African-American,30,4,0,0.11001454262944114,0
race,African-American,30,1,1,0.02475682406919186,0
race,African-American,30,2,1,0.3628162448597163,0
race,African-American,30,3,1,0.10831003527907952,0
race,African-American,30,4,1,0.2911027560228032,0
race,African-American,29,1,0,0.011429280584267218,0
race,African-American,29,2,0,0.01732100301933159,0
race,African-American,29,3,0,0.0630236329245198,0
race,African-American,29,4,0,0.12439141149381158,0
race,African-American,29,1,1,0.022956948411375865,0
race,African-American,29,2,1,0.08000391597332256,0
race,African-American,29,3,1,0.13048821003448915,0
race,African-American,29,4,1,0.17691254360930078,0
race,African-American,22,1,0,0.008173552130761624,0
race,African-American,22,2,0,0.03299233869836633,0
race,African-American,22,3,0,0.04685409024633116,0
race,African-American,22,4,0,0.15694644664582802,0
race,African-American,22,1,1,0.007696554957014073,0
race,African-American,22,2,1,0.022712751105037964,0
race,African-American,22,3,1,0.10773104456727513,0
race,African-American,22,4,1,0.2637861179637838,0
race,African-American,34,1,0,0.014021860920975179,0
race,African-American,34,2,0,0.021097736933521627,0
race,African-American,34,3,0,0.0625173890967876,0
race,African-American,34,4,0,0.15623270048955373,0
race,African-American,34,1,1,0.020474498615206956,0
race,African-American,34,2,1,0.028136122748745326,0
race,African-American,34,3,1,0.011892564015639148,0
race,African-American,34,4,1,0.3079777462930653,0
race,African-American,37,1,0,0.012480423713700515,0
race,African-American,37,2,0,0.034701951876164,0
race,African-American,37,3,0,0.06169701605433913,0
race,African-American,37,4,0,0.0952452381751932,0
race,African-American,37,1,1,0.03184369958551989,0
race,African-American,37,2,1,0.037964487241121454,0
race,African-American,37,4,1,0.15920174240851753,0
race,African-American,53,1,0,0.002795709200160085,0
race,African-American,53,2,0,0.016484667502027293,0
race,African-American,53,3,0,0.010758565985439457,0
race,African-American,53,4,0,0.07077522237596333,0
race,African-American,53,1,1,0.003401660529975836,0
race,African-American,53,2,1,0.009553616280534761,0
race,African-American,53,3,1,0.2086023293503529,0
race,African-American,53,4,1,0.3338487148000207,0
race,African-American,23,1,0,0.012014177543060858,0
race,African-American,23,2,0,0.03727671129724181,0
race,African-American,23,3,0,0.03846677216522796,0
race,African-American,23,4,0,0.09480304570681918,0
race,African-American,23,1,1,0.05002578612411275,0
race,African-American,23,2,1,0.02559314350907512,0
race,African-American,23,3,1,0.0867093232701898,0
race,African-American,23,4,1,0.2795849697769032,0
race,African-American,24,1,0,0.014034124593822006,0
race,African-American,24,2,0,0.037876030679945695,0
race,African-American,24,3,0,0.027003207502438197,0
race,African-American,24,4,0,0.1834347607311684,0
race,African-American,24,1,1,0.034861649803348736,0
race,African-American,24,2,1,0.0791094628888674,0
race,African-American,24,3,1,0.04326734128316608,0
race,African-American,24,4,1,0.3327368552033036,0
race,African-American,26,1,1,0.029389928265972802,0
race,African-American,26,2,1,0.14175715166822028,0
race,African-American,26,3,1,0.057757483133593135,0
race,African-American,26,4,1,0.2572253820064292,0
race,African-American,26,1,0,0.011682693403248116,0
race,African-American,26,2,0,0.022439735919687613,0
race,African-American,26,3,0,0.03694989700052552,0
race,African-American,26,4,0,0.14058093695128832,0
race,African-American,35,1,1,0.024381567325238784,0
race,African-American,35,2,1,0.03090252777179188,0
race,African-American,35,3,1,0.038866521623238726,0
race,African-American,35,4,1,0.3686725728755798,0
race,African-American,35,1,0,0.01991096145501304,0
race,African-American,35,2,0,0.04187531084487389,0
race,African-American,35,3,0,0.04221945296765437,0
race,African-American,35,4,0,0.10635630688255084,0
race,African-American,38,1,0,0.008352364508354505,0
race,African-American,38,2,0,0.03129134244223153,0
race,African-American,38,3,0,0.0812158061025411,0
race,African-American,38,4,0,0.101894037489865,0
race,African-American,38,1,1,0.021186173785662312,0
race,African-American,38,2,1,0.11249848548175935,0
race,African-American,38,3,1,0.15084078007154098,0
race,African-American,38,4,1,0.2927402354441181,0
race,African-American,25,1,0,0.0158409274556395,0
race,African-American,25,2,0,0.01778055571955908,0
race,African-American,25,3,0,0.05331884619650825,0
race,African-American,25,4,0,0.15212129782837244,0
race,African-American,25,1,1,0.022883211936186875,0
race,African-American,25,2,1,0.008697237892025131,0
race,African-American,25,3,1,0.08800822770500265,0
race,African-American,25,4,1,0.35903103922885454,0
race,African-American,32,1,0,0.008778197902375835,0
race,African-American,32,2,0,0.024327583854531605,0
race,African-American,32,3,0,0.07275887431066813,0
race,African-American,32,4,0,0.1143134591408192,0
race,African-American,32,1,1,0.01220722572672651,0
race,African-American,32,2,1,0.04460834270240743,0
race,African-American,32,3,1,0.10115366156450752,0
race,African-American,32,4,1,0.257138007713451,0
