Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.04742587317756678,0
race,African-American,46,2,1,0.19407217169605634,0
race,African-American,46,4,1,0.29604811446403756,0
race,African-American,46,1,0,0.07160923952819938,0
race,African-American,46,2,0,0.10177402661587785,0
race,African-American,46,3,0,0.17017609185336302,0
race,African-American,46,4,0,0.2661655833275264,0
race,African-American,30,1,0,0.07033344195774255,0
race,African-American,30,2,0,0.1050224203868498,0
race,African-American,30,3,0,0.13976859550214954,0
race,African-American,30,4,0,0.21832848560623916,0
race,African-American,30,1,1,0.09527723907393397,0
race,African-American,30,2,1,0.2689414213699951,0
race,African-American,30,3,1,0.15663754685908693,0
race,African-American,30,4,1,0.33684982526393686,0
race,African-American,29,1,0,0.0695923147325016,0
race,African-American,29,2,0,0.10037698768981898,0
race,African-American,29,3,0,0.14699032205434764,0
race,African-American,29,4,0,0.22276867989349722,0
race,African-American,29,1,1,0.09527723907393397,0
race,African-American,29,2,1,0.17612790948491863,0
race,African-American,29,3,1,0.2689414213699951,0
race,African-American,29,4,1,0.24786186911564634,0
race,African-American,22,1,0,0.06519970262707607,0
race,African-American,22,2,0,0.12705600774313608,0
race,African-American,22,3,0,0.1234820494028855,0
race,African-American,22,4,0,0.2507203088298966,0
race,African-American,22,1,1,0.05938871465165859,0
race,African-American,22,2,1,0.09527723907393397,0
race,African-American,22,3,1,0.15663754685908693,0
race,African-American,22,4,1,0.31566920346465116,0
race,African-American,34,1,0,0.07108279148317753,0
race,African-American,34,2,0,0.1017004027866067,0
race,African-American,34,3,0,0.15195235777438879,0
race,African-American,34,4,0,0.2565003954933293,0
race,African-American,34,1,1,0.08331439759984216,0
race,African-American,34,2,1,0.09869519378081734,0
race,African-American,34,3,1,0.04742587317756678,0
race,African-American,34,4,1,0.3286530345605671,0
race,African-American,37,1,0,0.07152334506071635,0
race,African-American,37,2,0,0.11538480872738997,0
race,African-American,37,3,0,0.11425223489486765,0
race,African-American,37,4,0,0.19357211235358873,0
race,African-American,37,1,1,0.09527723907393397,0
race,African-American,37,2,1,0.16911575513807672,0
race,African-American,37,4,1,0.25336414704662835,0
race,African-American,53,1,0,0.053951059436162296,0
race,African-American,53,2,0,0.14785787027594552,0
race,African-American,53,3,0,0.09630797268372997,0
race,African-American,53,4,0,0.2711858903353905,0
race,African-American,53,1,1,0.04742587317756678,0
race,African-American,53,2,1,0.16911575513807672,0
race,African-American,53,3,1,0.2689414213699951,0
race,African-American,53,4,1,0.5,0
race,African-American,23,1,0,0.07406534596215211,0
race,African-American,23,2,0,0.1252381948404388,0
race,African-American,23,3,0,0.12843942052729912,0
race,African-American,23,4,0,0.21318632990137976,0
race,African-American,23,1,1,0.11264365730354006,0
race,African-American,23,2,1,0.10983254385272115,0
race,African-American,23,3,1,0.16980291087794075,0
race,African-American,23,4,1,0.317965484151042,0
race,African-American,24,1,0,0.07498268337164003,0
race,African-American,24,2,0,0.11485183280620298,0
race,African-American,24,3,0,0.10911174553199834,0
race,African-American,24,4,0,0.25116811758760105,0
race,African-American,24,1,1,0.12023365563191356,0
race,African-American,24,2,1,0.11920292202211756,0
race,African-American,24,3,1,0.11920292202211755,0
race,African-American,24,4,1,0.36390768265088425,0
race,African-American,26,1,1,0.08844132966016723,0
race,African-American,26,2,1,0.16665151807987372,0
race,African-American,26,3,1,0.21902858825403593,0
race,African-American,26,4,1,0.32217480980722135,0
race,African-American,26,1,0,0.07283539946041355,0
race,African-American,26,2,0,0.090011454948407,0
race,African-American,26,3,0,0.11804723405905437,0
race,African-American,26,4,0,0.22601122674659235,0
race,African-American,35,1,1,0.07613669271538709,0
race,African-American,35,2,1,0.08331439759984216,0
race,African-American,35,3,1,0.11920292202211755,0
race,African-American,35,4,1,0.3539829358560857,0
race,African-American,35,1,0,0.08003476524055346,0
race,African-American,35,2,0,0.12365331098260181,0
race,African-American,35,3,0,0.12017940649455587,0
race,African-American,35,4,0,0.23593015741156623,0
race,African-American,38,1,0,0.06009241120895809,0
race,African-American,38,2,0,0.12591354148300146,0
race,African-American,38,3,0,0.15766828046888293,0
race,African-American,38,4,0,0.2191648381262494,0
race,African-American,38,1,1,0.11920292202211755,0
race,African-American,38,2,1,0.21902858825403593,0
race,African-American,38,3,1,0.21902858825403593,0
race,African-American,38,4,1,0.3545230108154221,0
race,African-American,25,1,0,0.07619419675932433,0
race,African-American,25,2,0,0.09413264028106895,0
race,African-American,25,3,0,0.13999264215633803,0
race,African-American,25,4,0,0.2450305294993102,0
race,African-American,25,1,1,0.09527723907393397,0
race,African-American,25,2,1,0.11920292202211755,0
race,African-American,25,3,1,0.20706574677994413,0
race,African-American,25,4,1,0.3563809338745296,0
race,African-American,32,1,0,0.057679737298216884,0
race,African-American,32,2,0,0.09664752578117626,0
race,African-American,32,3,0,0.1300100755331462,0
race,African-American,32,4,0,0.23256417293776294,0
race,African-American,32,1,1,0.08331439759984216,0
race,African-American,32,2,1,0.14519007218989316,0
race,African-American,32,3,1,0.14519007218989316,0
race,African-American,32,4,1,0.3001792871612083,0
race,African-American,42,1,0,0.06892219882257351,0
race,African-American,42,2,0,0.11425223489486765,0
race,African-American,42,3,0,0.1476654157535181,0
race,African-American,42,4,0,0.2163697085212422,0
race,African-American,42,1,1,0.11920292202211755,0
race,African-American,42,2,1,0.12126438924170957,0
race,African-American,42,4,1,0.2852054372264206,0
race,African-American,41,1,0,0.06603473769282069,0
race,African-American,41,2,0,0.15293484164533383,0
race,African-American,41,3,0,0.14704629720187712,0
race,African-American,41,4,0,0.2165236153968046,0
race,African-American,41,1,1,0.09049210248429725,0
race,African-American,41,2,1,0.11920292202211755,0
race,African-American,41,4,1,0.3135669439288712,0
race,African-American,33,1,1,0.04742587317756678,0
race,African-American,33,2,1,0.15663754685908696,0
race,African-American,33,3,1,0.2737129365887834,0
race,African-American,33,4,1,0.3865190093480085,0
race,African-American,33,1,0,0.06986345026012213,0
race,African-American,33,2,0,0.10170040278660672,0
race,African-American,33,3,0,0.1319241301690009,0
race,African-American,33,4,0,0.22815473951660556,0
race,African-American,31,1,0,0.07127796053709481,0
race,African-American,31,2,0,0.112086639047553,0
race,African-American,31,3,0,0.11788501748822493,0
race,African-American,31,4,0,0.26643376334753344,0
race,African-American,31,1,1,0.08331439759984216,0
race,African-American,31,2,1,0.21902858825403593,0
race,African-American,31,3,1,0.2689414213699951,0
race,African-American,31,4,1,0.36783309964634453,0
race,African-American,50,1,0,0.068463868056913,0
race,African-American,50,2,0,0.1110038411238957,0
race,African-American,50,3,0,0.13869328464794922,0
race,African-American,50,4,0,0.24969541320586428,0
race,African-American,50,1,1,0.04742587317756678,0
race,African-American,50,2,1,0.19407217169605634,0
race,African-American,50,4,1,0.4229804737899984,0
race,African-American,28,1,0,0.06953359661010011,0
race,African-American,28,2,0,0.10610521831050712,0
race,African-American,28,3,0,0.14193205218676216,0
race,African-American,28,4,0,0.23832894648982914,0
race,African-American,28,1,1,0.10125865981097987,0
race,African-American,28,2,1,0.10125865981097987,0
race,African-American,28,3,1,0.16412447182648082,0
race,African-American,28,4,1,0.330425345178753,0
race,African-American,52,1,0,0.0699147642554886,0
race,African-American,52,2,0,0.12621507636895946,0
race,African-American,52,3,0,0.17815131950275756,0
race,African-American,52,4,0,0.1723977683986923,0
race,African-American,52,4,1,0.2689414213699951,0
race,African-American,51,1,0,0.07419554389181053,0
race,African-American,51,2,0,0.11997597222946454,0
race,African-American,51,3,0,0.10203171001832687,0
race,African-American,51,4,0,0.16764201832961195,0
race,African-American,51,1,1,0.08331439759984216,0
race,African-American,51,2,1,0.19407217169605634,0
race,African-American,51,3,1,0.2737129365887834,0
race,African-American,51,4,1,0.3047104978532961,0
race,African-American,40,1,0,0.07928482858362292,0
race,African-American,40,2,0,0.11739371270636961,0
race,African-American,40,3,0,0.13480365849751336,0
race,African-American,40,4,0,0.24505126214839978,0
race,African-American,40,1,1,0.11920292202211755,0
race,African-American,40,2,1,0.04742587317756678,0
race,African-American,40,3,1,0.1951029053058523,0
race,African-American,40,4,1,0.41335303301374815,0
race,African-American,60,1,0,0.04742587317756678,0
race,African-American,60,2,0,0.09527723907393397,0
race,African-American,60,3,0,0.2689414213699951,0
race,African-American,60,4,0,0.21902858825403593,0
race,African-American,60,2,1,0.19407217169605634,0
race,African-American,60,4,1,0.5,0
race,African-American,39,1,0,0.07719001637834533,0
race,African-American,39,2,0,0.10948549280941015,0
race,African-American,39,3,0,0.1611405274886822,0
race,African-American,39,4,0,0.24052060637043188,0
race,African-American,39,1,1,0.19407217169605634,0
race,African-American,39,2,1,0.19407217169605634,0
race,African-American,39,3,1,0.11920292202211755,0
race,African-American,39,4,1,0.32100453102201715,0
race,African-American,47,1,0,0.07533916995044762,0
race,African-American,47,2,0,0.14918809529262786,0
race,African-American,47,3,0,0.10177402661587785,0
race,African-American,47,4,0,0.2525240707637787,0
race,African-American,47,1,1,0.04742587317756678,0
race,African-American,47,2,1,0.11920292202211755,0
race,African-American,47,4,1,0.2689414213699951,0
race,African-American,36,1,0,0.06253683082905115,0
race,African-American,36,2,0,0.12621507636895943,0
race,African-American,36,3,0,0.15423368353768746,0
race,African-American,36,4,0,0.26069308540769826,0
race,African-American,36,1,1,0.14519007218989313,0
race,African-American,36,2,1,0.04742587317756678,0
race,African-American,36,3,1,0.2689414213699951,0
race,African-American,36,4,1,0.2287513083585807,0
race,African-American,44,1,0,0.06970150902587564,0
race,African-American,44,2,0,0.12522493894350947,0
race,African-American,44,3,0,0.10125865981097985,0
race,African-American,44,4,0,0.22791242913874754,0
race,African-American,44,1,1,0.04742587317756678,0
race,African-American,44,2,1,0.08331439759984216,0
race,African-American,44,4,1,0.36136485282199704,0
race,African-American,48,1,0,0.05340729391461268,0
race,African-American,48,2,0,0.13183811955731525,0
race,African-American,48,3,0,0.12023365563191356,0
race,African-American,48,4,0,0.24052060637043188,0
race,African-American,48,1,1,0.11920292202211755,0
race,African-American,48,2,1,0.19407217169605634,0
race,African-American,48,4,1,0.35452301081542203,0
race,African-American,49,1,0,0.08393283776571976,0
race,African-American,49,2,0,0.13652768880063462,0
race,African-American,49,3,0,0.1611405274886822,0
race,African-American,49,4,0,0.25721659190787477,0
race,African-American,49,1,1,0.08331439759984216,0
race,African-American,49,2,1,0.10280476022567388,0
race,African-American,49,4,1,0.3730676406740392,0
race,African-American,63,1,0,0.061781282946476945,0
race,African-American,63,2,0,0.16911575513807675,0
race,African-American,63,4,0,0.23258193480105716,0
race,African-American,63,4,1,0.11920292202211755,0
race,African-American,27,1,1,0.08331439759984217,0
race,African-American,27,2,1,0.141972917007238,0
race,African-American,27,3,1,0.21095462771835943,0
race,African-American,27,4,1,0.29744505942375765,0
race,African-American,27,1,0,0.07243435404940768,0
race,African-American,27,2,0,0.13978649543437885,0
race,African-American,27,3,0,0.1351044322057217,0
race,African-American,27,4,0,0.2365271035408897,0
race,African-American,21,1,0,0.07269312524921881,0
race,African-American,21,2,0,0.0948103632505285,0
race,African-American,21,3,0,0.12037294395756169,0
race,African-American,21,4,0,0.21191895887201356,0
race,African-American,21,1,1,0.0743422664942733,0
race,African-American,21,2,1,0.19469061186193393,0
race,African-American,21,3,1,0.04742587317756678,0
race,African-American,21,4,1,0.3118715733355001,0
race,African-American,43,1,0,0.06294523508990207,0
race,African-American,43,2,0,0.08607505332463258,0
race,African-American,43,3,0,0.16638272817200278,0
race,African-American,43,4,0,0.18304452562421258,0
race,African-American,43,1,1,0.11920292202211755,0
race,African-American,43,4,1,0.4111313159115365,0
race,African-American,45,1,0,0.0635757091675907,0
race,African-American,45,2,0,0.11295287738647886,0
race,African-American,45,3,0,0.10827081415782175,0
race,African-American,45,4,0,0.23555044284046237,0
race,African-American,45,1,1,0.04742587317756678,0
race,African-American,45,2,1,0.08331439759984216,0
race,African-American,45,4,1,0.3844707106849976,0
race,African-American,55,1,0,0.07041780447893944,0
race,African-American,55,2,0,0.08844132966016723,0
race,African-American,55,3,0,0.0761366927153871,0
race,African-American,55,4,0,0.2504726007672083,0
race,African-American,55,2,1,0.2689414213699951,0
race,African-American,55,3,1,0.2689414213699951,0
race,African-American,55,4,1,0.24613528134807838,0
race,African-American,59,1,0,0.04742587317756678,0
race,African-American,59,2,0,0.16911575513807675,0
race,African-American,59,3,0,0.04742587317756678,0
race,African-American,59,4,0,0.2571663434443604,0
race,African-American,59,1,1,0.04742587317756678,0
race,African-American,20,1,0,0.06787860868289575,0
race,African-American,20,2,0,0.10446800534655581,0
race,African-American,20,3,0,0.12873864570831928,0
race,African-American,20,4,0,0.18030614895533884,0
race,African-American,20,1,1,0.07352661821194886,0
race,African-American,20,2,1,0.15247814409942367,0
race,African-American,20,3,1,0.2038173530089722,0
race,African-American,20,4,1,0.23672653600797527,0
race,African-American,19,1,0,0.06030893322658875,0
race,African-American,19,2,0,0.11247547102870477,0
race,African-American,19,3,0,0.13760007386151965,0
race,African-American,19,4,0,0.2169915697123236,0
race,African-American,19,1,1,0.06178128294647693,0
race,African-American,19,2,1,0.2552577373568451,0
race,African-American,19,3,1,0.23258193480105716,0
race,African-American,19,4,1,0.31699967643340005,0
race,African-American,54,1,0,0.0698562009414889,0
race,African-American,54,2,0,0.14147762216592522,0
race,African-American,54,3,0,0.10484751225320739,0
race,African-American,54,4,0,0.111914850112587,0
race,African-American,54,2,1,0.04742587317756678,0
race,African-American,54,3,1,0.04742587317756678,0
race,African-American,54,4,1,0.2689414213699951,0
race,African-American,62,3,1,0.11920292202211755,0
race,African-American,62,1,0,0.04742587317756678,0
race,African-American,62,2,0,0.14678057726282256,0
race,African-American,62,3,0,0.13479521212278292,0
race,African-American,62,4,0,0.11920292202211755,0
race,African-American,61,1,0,0.06337632847635583,0
race,African-American,61,2,0,0.0761366927153871,0
race,African-American,61,4,0,0.20865625185287354,0
race,African-American,65,1,0,0.06537013538870448,0
race,African-American,65,2,0,0.07135155612575036,0
race,African-American,65,3,0,0.08331439759984216,0
race,African-American,65,4,0,0.15818364727378095,0
race,African-American,65,2,1,0.11920292202211755,0
race,African-American,56,1,1,0.04742587317756678,0
race,African-American,56,4,1,0.5,0
race,African-American,56,1,0,0.061781282946476924,0
race,African-American,56,2,0,0.09913693675644418,0
race,African-American,56,3,0,0.13322723071580134,0
race,African-American,56,4,0,0.2409023275879349,0
race,African-American,57,1,0,0.04742587317756679,0
race,African-American,57,2,0,0.09305957891275801,0
race,African-American,57,3,0,0.09527723907393397,0
race,African-American,57,4,0,0.2861597402701782,0
race,African-American,57,1,1,0.11920292202211755,0
race,African-American,57,2,1,0.2689414213699951,0
race,African-American,57,4,1,0.21902858825403593,0
race,African-American,64,2,1,0.04742587317756678,0
race,African-American,64,4,1,0.2689414213699951,0
race,African-American,64,1,0,0.05639800428313563,0
race,African-American,64,3,0,0.07135155612575036,0
race,African-American,64,4,0,0.15663754685908696,0
race,African-American,66,1,0,0.06537013538870448,0
race,African-American,66,2,0,0.09527723907393397,0
race,African-American,66,3,0,0.11920292202211755,0
race,African-American,66,2,1,0.11920292202211755,0
race,African-American,58,1,0,0.08061402280316039,0
race,African-American,58,2,0,0.06793360141886702,0
race,African-American,58,3,0,0.14519007218989313,0
