Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.6793725978788113,0
race,African-American,46,2,1,0.8222959200544515,0
race,African-American,46,4,1,0.8789395883213413,0
race,African-American,46,1,0,0.6182913427789087,0
race,African-American,46,2,0,0.6798834818482918,0
race,African-American,46,3,0,0.7611663429034247,0
race,African-American,46,4,0,0.8628325520725285,0
race,African-American,30,1,0,0.6858559539112288,0
race,African-American,30,2,0,0.7267338571342874,0
race,African-American,30,3,0,0.7825553113242483,0
race,African-American,30,4,0,0.851755807224401,0
race,African-American,30,1,1,0.7858830966014644,0
race,African-American,30,2,1,0.9479849929976568,0
race,African-American,30,3,1,0.8671515709242509,0
race,African-American,30,4,1,0.9089000629018188,0
race,African-American,29,1,0,0.6789507641078175,0
race,African-American,29,2,0,0.7143731401646668,0
race,African-American,29,3,0,0.7992526044679843,0
race,African-American,29,4,0,0.8328225874558068,0
race,African-American,29,1,1,0.7065438245142696,0
race,African-American,29,2,1,0.8198483584900491,0
race,African-American,29,3,1,0.8766558447331142,0
race,African-American,29,4,1,0.8712799530301768,0
race,African-American,22,1,0,0.6489031909592152,0
race,African-American,22,2,0,0.7523828076367891,0
race,African-American,22,3,0,0.7353093255785706,0
race,African-American,22,4,0,0.8422903975796647,0
race,African-American,22,1,1,0.6648011881936313,0
race,African-American,22,2,1,0.7322525504782361,0
race,African-American,22,3,1,0.857114064522021,0
race,African-American,22,4,1,0.9059423447448921,0
race,African-American,34,1,0,0.6570927392871244,0
race,African-American,34,2,0,0.7268860737145084,0
race,African-American,34,3,0,0.7919946364041469,0
race,African-American,34,4,0,0.8542495425603137,0
race,African-American,34,1,1,0.7819713145308836,0
race,African-American,34,2,1,0.7667214629375293,0
race,African-American,34,3,1,0.7240282688615396,0
race,African-American,34,4,1,0.9139558151130137,0
race,African-American,37,1,0,0.67827452531796,0
race,African-American,37,2,0,0.6986266420744173,0
race,African-American,37,3,0,0.7281491990956076,0
race,African-American,37,4,0,0.8012680038257258,0
race,African-American,37,1,1,0.7997796805920925,0
race,African-American,37,2,1,0.817846136456103,0
race,African-American,37,4,1,0.870537223574784,0
race,African-American,53,1,0,0.5820954676484696,0
race,African-American,53,2,0,0.714823105197863,0
race,African-American,53,3,0,0.7052993479819363,0
race,African-American,53,4,0,0.8195423304550461,0
race,African-American,53,1,1,0.6596915359127192,0
race,African-American,53,2,1,0.7425570898018302,0
race,African-American,53,3,1,0.9443770019652425,0
race,African-American,53,4,1,0.9389226182076449,0
race,African-American,23,1,0,0.6726106104168348,0
race,African-American,23,2,0,0.7302020715359083,0
race,African-American,23,3,0,0.7365170099979367,0
race,African-American,23,4,0,0.8251491700680932,0
race,African-American,23,1,1,0.7816425931479978,0
race,African-American,23,2,1,0.7374087792192964,0
race,African-American,23,3,1,0.8014382079633717,0
race,African-American,23,4,1,0.8870671307930982,0
race,African-American,24,1,0,0.6670842715062268,0
race,African-American,24,2,0,0.7345248825562004,0
race,African-American,24,3,0,0.702380526830681,0
race,African-American,24,4,0,0.8473905883352323,0
race,African-American,24,1,1,0.7891990482718468,0
race,African-American,24,2,1,0.844877539948412,0
race,African-American,24,3,1,0.7903944387056103,0
race,African-American,24,4,1,0.9037755969596093,0
race,African-American,26,1,1,0.7193181061347579,0
race,African-American,26,2,1,0.7675105360012485,0
race,African-American,26,3,1,0.8224923517654036,0
race,African-American,26,4,1,0.8905492328629476,0
race,African-American,26,1,0,0.6645981578739116,0
race,African-American,26,2,0,0.7316715449472143,0
race,African-American,26,3,0,0.7317047333214697,0
race,African-American,26,4,0,0.8401694286896692,0
race,African-American,35,1,1,0.7689680920228297,0
race,African-American,35,2,1,0.766908071080734,0
race,African-American,35,3,1,0.7998237023767548,0
race,African-American,35,4,1,0.9090173354830747,0
race,African-American,35,1,0,0.6751337187062029,0
race,African-American,35,2,0,0.7224533603535089,0
race,African-American,35,3,0,0.7518112166833383,0
race,African-American,35,4,0,0.8510661126892181,0
race,African-American,38,1,0,0.6419860949426344,0
race,African-American,38,2,0,0.7433666341998989,0
race,African-American,38,3,0,0.7687676179281938,0
race,African-American,38,4,0,0.8165841622025833,0
race,African-American,38,1,1,0.7684502803493116,0
race,African-American,38,2,1,0.818583313939611,0
race,African-American,38,3,1,0.8925203303595245,0
race,African-American,38,4,1,0.8979851950643924,0
race,African-American,25,1,0,0.6756539282269028,0
race,African-American,25,2,0,0.7070623884768614,0
race,African-American,25,3,0,0.7715940897572593,0
race,African-American,25,4,0,0.8467717479662678,0
race,African-American,25,1,1,0.7652378065491273,0
race,African-American,25,2,1,0.7253889039033694,0
race,African-American,25,3,1,0.8344232764530716,0
race,African-American,25,4,1,0.9248395917335206,0
race,African-American,32,1,0,0.656180842710055,0
race,African-American,32,2,0,0.6977374631796155,0
race,African-American,32,3,0,0.7819216287638169,0
race,African-American,32,4,0,0.8411246712675845,0
race,African-American,32,1,1,0.7164908986659588,0
race,African-American,32,2,1,0.7377351727855573,0
race,African-American,32,3,1,0.7752560986448377,0
race,African-American,32,4,1,0.9191515892750912,0
race,African-American,42,1,0,0.6105981718222736,0
race,African-American,42,2,0,0.6967169979774827,0
race,African-American,42,3,0,0.7792501483368002,0
