Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.1669193496586982,0
race,African-American,46,2,1,0.21287617941500878,0
race,African-American,46,3,1,0.39493089720284263,0
race,African-American,46,4,1,0.6400280526885601,0
race,African-American,46,1,0,0.16352289806778345,0
race,African-American,46,2,0,0.28274817307323113,0
race,African-American,46,3,0,0.24283336834628658,0
race,African-American,46,4,0,0.47208352960811406,0
race,African-American,30,1,0,0.19907197066708238,0
race,African-American,30,2,0,0.2565485255828592,0
race,African-American,30,3,0,0.3195741329204383,0
race,African-American,30,4,0,0.364821551158376,0
race,African-American,30,1,1,0.2189747270018938,0
race,African-American,30,2,1,0.4185980795771883,0
race,African-American,30,3,1,0.42211003872252073,0
race,African-American,30,4,1,0.5251822637990634,0
race,African-American,29,1,0,0.20350468350584433,0
race,African-American,29,2,0,0.2329355462377949,0
race,African-American,29,3,0,0.3153718832307004,0
race,African-American,29,4,0,0.36805372196594655,0
race,African-American,29,1,1,0.26855021092040093,0
race,African-American,29,2,1,0.3338359365268697,0
race,African-American,29,3,1,0.4039620956971056,0
race,African-American,29,4,1,0.5225807924502779,0
race,African-American,22,1,0,0.18212775136980236,0
race,African-American,22,2,0,0.2771188918440793,0
race,African-American,22,3,0,0.2932323939871072,0
race,African-American,22,4,0,0.4100651132019221,0
race,African-American,22,1,1,0.21491750177415675,0
race,African-American,22,2,1,0.38550850006064846,0
race,African-American,22,3,1,0.34501310269158625,0
race,African-American,22,4,1,0.5705935536004623,0
race,African-American,34,1,0,0.1959506154990637,0
race,African-American,34,2,0,0.2632710199839852,0
race,African-American,34,3,0,0.33377589893351617,0
race,African-American,34,4,0,0.40316558657872253,0
race,African-American,34,1,1,0.3061604468807911,0
race,African-American,34,2,1,0.23805466072297637,0
race,African-American,34,3,1,0.3269671411328373,0
race,African-American,34,4,1,0.5796052837497017,0
race,African-American,37,1,0,0.21480553836734942,0
race,African-American,37,2,0,0.2755527439824603,0
race,African-American,37,3,0,0.2988841479969163,0
race,African-American,37,4,0,0.3446935091993779,0
race,African-American,37,1,1,0.2935803706964617,0
race,African-American,37,2,1,0.3104108041372658,0
race,African-American,37,3,1,0.3339998128753884,0
race,African-American,37,4,1,0.5441394837013239,0
race,African-American,53,1,1,0.17762279730771854,0
race,African-American,53,2,1,0.23978664284186968,0
race,African-American,53,3,1,0.4631373272363827,0
race,African-American,53,4,1,0.6030044254109926,0
race,African-American,53,1,0,0.1474315021082711,0
race,African-American,53,2,0,0.1970083454143305,0
race,African-American,53,3,0,0.20871725775720512,0
race,African-American,53,4,0,0.2992869812759426,0
race,African-American,23,1,0,0.2037943513306186,0
race,African-American,23,2,0,0.29223794983443097,0
race,African-American,23,3,0,0.2860253770071765,0
race,African-American,23,4,0,0.3801162030750763,0
race,African-American,23,1,1,0.2593256637233708,0
race,African-American,23,2,1,0.2939267162071035,0
race,African-American,23,3,1,0.36933091498924175,0
race,African-American,23,4,1,0.5286492285393615,0
race,African-American,24,1,1,0.2362523160023171,0
race,African-American,24,2,1,0.3302952732576284,0
race,African-American,24,3,1,0.3314917127071823,0
race,African-American,24,4,1,0.5395360202646069,0
race,African-American,24,1,0,0.20583682786630692,0
race,African-American,24,2,0,0.23911812542140115,0
race,African-American,24,3,0,0.23793969592601433,0
race,African-American,24,4,0,0.4527399046391481,0
race,African-American,26,1,1,0.23814066379509136,0
race,African-American,26,2,1,0.3256275946221541,0
race,African-American,26,3,1,0.323237187757205,0
race,African-American,26,4,1,0.5073438861533967,0
race,African-American,26,1,0,0.19801206678388197,0
race,African-American,26,2,0,0.2561845948207227,0
race,African-American,26,3,0,0.2761291892517414,0
race,African-American,26,4,0,0.3993802177899945,0
race,African-American,35,1,1,0.27408854669841065,0
race,African-American,35,2,1,0.3217018123252801,0
race,African-American,35,3,1,0.23770379242735187,0
race,African-American,35,4,1,0.5524886699053594,0
race,African-American,35,1,0,0.20026086513472555,0
race,African-American,35,2,0,0.23563424350652043,0
race,African-American,35,3,0,0.30467125743894,0
race,African-American,35,4,0,0.43469600961337707,0
race,African-American,38,1,0,0.2105456666671929,0
race,African-American,38,2,0,0.2648900780343261,0
race,African-American,38,3,0,0.28198981336401135,0
race,African-American,38,4,0,0.3483786691863628,0
race,African-American,38,1,1,0.2744757476528975,0
race,African-American,38,2,1,0.35535353586608803,0
race,African-American,38,3,1,0.501178028950036,0
race,African-American,38,4,1,0.5394914073587385,0
race,African-American,25,1,1,0.23809046782391952,0
race,African-American,25,2,1,0.3488109395852745,0
race,African-American,25,3,1,0.42535166871841484,0
race,African-American,25,4,1,0.5880501234324113,0
race,African-American,25,1,0,0.2132543237870255,0
race,African-American,25,2,0,0.2581918858578312,0
race,African-American,25,3,0,0.2863509509048748,0
race,African-American,25,4,0,0.4188880465830323,0
race,African-American,32,1,0,0.19667962872728287,0
race,African-American,32,2,0,0.23307925429945164,0
race,African-American,32,3,0,0.33772462934311415,0
race,African-American,32,4,0,0.40087324386202383,0
race,African-American,32,1,1,0.19023620047397025,0
race,African-American,32,2,1,0.2647917729841389,0
race,African-American,32,3,1,0.35963636071153815,0
race,African-American,32,4,1,0.6127640712882555,0
race,African-American,42,1,0,0.18610965977962704,0
race,African-American,42,2,0,0.262603258736804,0
race,African-American,42,3,0,0.3185579643655718,0
race,African-American,42,4,0,0.4358812526932071,0
race,African-American,42,1,1,0.24376857108330946,0
race,African-American,42,2,1,0.2835485089503302,0
race,African-American,42,3,1,0.38201612569774657,0
race,African-American,42,4,1,0.5852342505695813,0
race,African-American,41,1,0,0.19455418019931436,0
race,African-American,41,2,0,0.29220492290446637,0
race,African-American,41,3,0,0.3204732277501326,0
race,African-American,41,4,0,0.3516537423710256,0
race,African-American,41,1,1,0.3143115154021087,0
race,African-American,41,2,1,0.37271394625624105,0
race,African-American,41,3,1,0.4948571428571429,0
race,African-American,41,4,1,0.47208805551665445,0
race,African-American,33,1,1,0.20953426225250021,0
race,African-American,33,2,1,0.42069000632106507,0
race,African-American,33,3,1,0.34872183467514906,0
race,African-American,33,4,1,0.6257347050324367,0
race,African-American,33,1,0,0.20267734839262386,0
race,African-American,33,2,0,0.23623075049706255,0
race,African-American,33,3,0,0.29783394863628393,0
race,African-American,33,4,0,0.3505351457321062,0
race,African-American,31,1,1,0.28208155046894484,0
race,African-American,31,2,1,0.33095770134292135,0
race,African-American,31,3,1,0.4875191671051614,0
race,African-American,31,4,1,0.5933579641292566,0
race,African-American,31,1,0,0.19734172099367606,0
race,African-American,31,2,0,0.2792164051150067,0
race,African-American,31,3,0,0.2664592614007415,0
race,African-American,31,4,0,0.4403297007342826,0
race,African-American,50,1,0,0.15137324407273617,0
race,African-American,50,2,0,0.18310099457561596,0
race,African-American,50,3,0,0.213602633438445,0
race,African-American,50,4,0,0.38135298849192845,0
race,African-American,50,1,1,0.14666821660736062,0
race,African-American,50,2,1,0.2924030998429599,0
race,African-American,50,4,1,0.4971022297088481,0
race,African-American,28,1,0,0.21080857137459152,0
race,African-American,28,2,0,0.23185917680505969,0
race,African-American,28,3,0,0.30744426130261165,0
race,African-American,28,4,0,0.44656259067430193,0
race,African-American,28,1,1,0.2307327177417099,0
race,African-American,28,2,1,0.3347213949333872,0
race,African-American,28,3,1,0.38068479695145296,0
race,African-American,28,4,1,0.5406814557143196,0
race,African-American,52,1,0,0.160897094272073,0
