Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.2389937215004196,0
race,African-American,46,2,1,0.3730676406740392,0
race,African-American,46,3,1,0.4614902368949992,0
race,African-American,46,4,1,0.6680426026400036,0
race,African-American,46,1,0,0.2181874252108636,0
race,African-American,46,2,0,0.3331302754705762,0
race,African-American,46,3,0,0.29604811446403756,0
race,African-American,46,4,0,0.48459609475799964,0
race,African-American,30,1,0,0.17818235223278822,0
race,African-American,30,2,0,0.24490655189889965,0
race,African-American,30,3,0,0.3213117133843118,0
race,African-American,30,4,0,0.38490076599221007,0
race,African-American,30,1,1,0.2502241089515104,0
race,African-American,30,2,1,0.407576568547998,0
race,African-American,30,3,1,0.40757656854799806,0
race,African-American,30,4,1,0.532144708578397,0
race,African-American,29,1,0,0.18367737927880506,0
race,African-American,29,2,0,0.21882844797784257,0
race,African-American,29,3,0,0.3275124197285199,0
race,African-American,29,4,0,0.38079293415132315,0
race,African-American,29,1,1,0.2432759014389801,0
race,African-American,29,2,1,0.3383589009060245,0
race,African-American,29,3,1,0.4422353553424988,0
race,African-American,29,4,1,0.47941637416335775,0
race,African-American,22,1,0,0.1433542928846784,0
race,African-American,22,2,0,0.21352480903628196,0
race,African-American,22,3,0,0.2559028203176639,0
race,African-American,22,4,0,0.37600246709277996,0
race,African-American,22,1,1,0.1652763064368491,0
race,African-American,22,2,1,0.30603068108722936,0
race,African-American,22,3,1,0.28927144119052695,0
race,African-American,22,4,1,0.5449280569558344,0
race,African-American,34,1,0,0.17805857256677737,0
race,African-American,34,2,0,0.2421677480993791,0
race,African-American,34,3,0,0.3294339082304795,0
race,African-American,34,4,0,0.41511896318049823,0
race,African-American,34,1,1,0.3181537635192776,0
race,African-American,34,2,1,0.2502241089515104,0
race,African-American,34,3,1,0.3267060660274963,0
race,African-American,34,4,1,0.6019376082191198,0
race,African-American,37,1,0,0.22401987156563177,0
race,African-American,37,2,0,0.2773308020455529,0
race,African-American,37,3,0,0.29333744515463334,0
race,African-American,37,4,0,0.3446205003027075,0
race,African-American,37,1,1,0.2870125500993568,0
race,African-American,37,2,1,0.35951429412701796,0
race,African-American,37,3,1,0.38447071068499755,0
race,African-American,37,4,1,0.6223251298629437,0
race,African-American,53,1,1,0.2389937215004196,0
race,African-American,53,2,1,0.3267060660274963,0
race,African-American,53,3,1,0.6155292893150024,0
race,African-American,53,4,1,0.6544300117901966,0
race,African-American,53,1,0,0.2152275649170498,0
race,African-American,53,2,0,0.301469453082846,0
race,African-American,53,3,0,0.31515313709599607,0
race,African-American,53,4,0,0.4557887018895201,0
race,African-American,23,1,0,0.16736143667485234,0
race,African-American,23,2,0,0.23033856007490222,0
race,African-American,23,3,0,0.25129924721954183,0
race,African-American,23,4,0,0.3190485333765373,0
race,African-American,23,1,1,0.20841468679183675,0
race,African-American,23,2,1,0.2600889084474862,0
race,African-American,23,3,1,0.2939629842260343,0
race,African-American,23,4,1,0.4682669101685098,0
race,African-American,24,1,1,0.1944516322612439,0
race,African-American,24,2,1,0.2998491378010236,0
race,African-American,24,3,1,0.2689414213699951,0
race,African-American,24,4,1,0.4875217917210102,0
race,African-American,24,1,0,0.17952837706848113,0
race,African-American,24,2,0,0.22498749600686013,0
race,African-American,24,3,0,0.1914406940012198,0
race,African-American,24,4,0,0.42538345651123327,0
race,African-American,26,1,1,0.18471351548681397,0
race,African-American,26,2,1,0.3345578775690384,0
race,African-American,26,3,1,0.22810364882057393,0
race,African-American,26,4,1,0.48607083726996486,0
race,African-American,26,1,0,0.18123941173054878,0
race,African-American,26,2,0,0.24288911778096076,0
race,African-American,26,3,0,0.23919275054086409,0
race,African-American,26,4,0,0.37377789236792247,0
race,African-American,35,1,1,0.2700165596380265,0
race,African-American,35,2,1,0.3135669439288712,0
race,African-American,35,3,1,0.2689414213699951,0
race,African-American,35,4,1,0.5630159759900012,0
race,African-American,35,1,0,0.20008782240398687,0
race,African-American,35,2,0,0.22095506240110316,0
race,African-American,35,3,0,0.2665739157237176,0
race,African-American,35,4,0,0.45838030871019236,0
race,African-American,38,1,0,0.17067553117295048,0
race,African-American,38,2,0,0.23695051539073375,0
race,African-American,38,3,0,0.33954916088063425,0
race,African-American,38,4,0,0.3754682869921357,0
race,African-American,38,1,1,0.29604811446403756,0
race,African-American,38,2,1,0.3345578775690384,0
race,African-American,38,3,1,0.5462117157260009,0
race,African-American,38,4,1,0.5577646446575013,0
race,African-American,25,1,1,0.18918514169135986,0
race,African-American,25,2,1,0.30194978974571013,0
race,African-American,25,3,1,0.3912473839585082,0
race,African-American,25,4,1,0.5467118201298812,0
race,African-American,25,1,0,0.1920732171651672,0
race,African-American,25,2,0,0.21810129922775884,0
race,African-American,25,3,0,0.23882103894055204,0
race,African-American,25,4,0,0.3773942930563067,0
race,African-American,32,1,0,0.1958982509563963,0
race,African-American,32,2,0,0.23677305106644467,0
race,African-American,32,3,0,0.34629175935477563,0
race,African-American,32,4,0,0.41148925147283893,0
race,African-American,32,1,1,0.16911575513807675,0
race,African-American,32,2,1,0.25373732802205057,0
race,African-American,32,3,1,0.34768116880884703,0
race,African-American,32,4,1,0.5972878225810546,0
race,African-American,42,1,0,0.19407217169605637,0
race,African-American,42,2,0,0.28927144119052695,0
race,African-American,42,3,0,0.32100453102201715,0
race,African-American,42,4,0,0.45421833958121155,0
race,African-American,42,1,1,0.28927144119052695,0
race,African-American,42,2,1,0.31356694392887113,0
race,African-American,42,3,1,0.38447071068499755,0
race,African-American,42,4,1,0.684846862904004,0
race,African-American,41,1,0,0.20793684756160055,0
race,African-American,41,2,0,0.3424422820552027,0
race,African-American,41,3,0,0.3525471500687854,0
race,African-American,41,4,0,0.3873284501357418,0
race,African-American,41,1,1,0.31515313709599607,0
race,African-American,41,2,1,0.37762886867842255,0
race,African-American,41,3,1,0.5,0
race,African-American,41,4,1,0.5385097631050008,0
race,African-American,33,1,1,0.15247814409942367,0
race,African-American,33,2,1,0.4229804737899984,0
race,African-American,33,3,1,0.3595142941270179,0
race,African-American,33,4,1,0.6083598896214111,0
race,African-American,33,1,0,0.18532122043546606,0
race,African-American,33,2,0,0.2239297763170053,0
race,African-American,33,3,0,0.29062677584522906,0
race,African-American,33,4,0,0.3784337912674313,0
race,African-American,31,1,1,0.3036501611380098,0
race,African-American,31,2,1,0.35680362481761374,0
race,African-American,31,3,1,0.5,0
race,African-American,31,4,1,0.5972878225810546,0
race,African-American,31,1,0,0.17611753024807686,0
race,African-American,31,2,0,0.26092668799579205,0
race,African-American,31,3,0,0.25137604281011555,0
race,African-American,31,4,0,0.44951004143548823,0
race,African-American,50,1,0,0.2023242637899851,0
race,African-American,50,2,0,0.2163849329754943,0
race,African-American,50,3,0,0.2689414213699951,0
race,African-American,50,4,0,0.45748287020789763,0
race,African-American,50,1,1,0.19407217169605634,0
race,African-American,50,2,1,0.34703608584802814,0
race,African-American,50,4,1,0.6026927016133354,0
race,African-American,28,1,0,0.18057686865730718,0
race,African-American,28,2,0,0.20173376551019165,0
race,African-American,28,3,0,0.3028713368325942,0
race,African-American,28,4,0,0.4118321277669224,0
race,African-American,28,1,1,0.19407217169605634,0
race,African-American,28,2,1,0.3202877721766628,0
race,African-American,28,3,1,0.3736502571920121,0
race,African-American,28,4,1,0.5271771457784364,0
race,African-American,52,1,0,0.22862721000710498,0
race,African-American,52,2,0,0.3314171529524216,0
race,African-American,52,3,0,0.34703608584802814,0
race,African-American,52,4,0,0.45240036525276467,0
race,African-American,52,1,1,0.34596094757999674,0
race,African-American,52,2,1,0.3096014610110588,0
race,African-American,52,3,1,0.7310585786300049,0
race,African-American,52,4,1,0.6155292893150024,0
race,African-American,51,1,0,0.22354637043637635,0
race,African-American,51,2,0,0.2960481144640375,0
race,African-American,51,3,0,0.28927144119052695,0
race,African-American,51,4,0,0.4172789387845192,0
race,African-American,51,1,1,0.34596094757999674,0
race,African-American,51,2,1,0.4048007305055294,0
race,African-American,51,3,1,0.5,0
race,African-American,51,4,1,0.4957238487458906,0
race,African-American,40,1,0,0.21700709971879073,0
race,African-American,40,2,0,0.2665276491591527,0
race,African-American,40,3,0,0.29706275974101365,0
race,African-American,40,4,0,0.42097679044644765,0
race,African-American,40,1,1,0.23777614716804826,0
race,African-American,40,2,1,0.3267060660274963,0
race,African-American,40,3,1,0.5,0
race,African-American,40,4,1,0.6210306840442883,0
race,African-American,60,1,1,0.2689414213699951,0
race,African-American,60,2,1,0.34703608584802814,0
race,African-American,60,3,1,0.5,0
race,African-American,60,4,1,0.6155292893150024,0
race,African-American,60,1,0,0.2389937215004196,0
race,African-American,60,2,0,0.11920292202211755,0
race,African-American,60,4,0,0.5,0
race,African-American,39,1,0,0.2160163141407407,0
race,African-American,39,2,0,0.23390376244032793,0
race,African-American,39,3,0,0.29217572973631717,0
race,African-American,39,4,0,0.4708640163520053,0
race,African-American,39,1,1,0.19407217169605637,0
race,African-American,39,2,1,0.40757656854799806,0
race,African-American,39,3,1,0.29604811446403756,0
race,African-American,39,4,1,0.6617410050410035,0
race,African-American,47,1,0,0.18908088838446035,0
race,African-American,47,2,0,0.3195176846207691,0
race,African-American,47,3,0,0.2933374451546333,0
race,African-American,47,4,0,0.47052580125968,0
race,African-American,47,1,1,0.23150679653302572,0
race,African-American,47,2,1,0.3470360858480282,0
race,African-American,47,3,1,0.38447071068499755,0
race,African-American,47,4,1,0.5165041841878575,0
race,African-American,36,1,0,0.19875149980067752,0
race,African-American,36,2,0,0.27404253554689423,0
race,African-American,36,3,0,0.2701142994805748,0
race,African-American,36,4,0,0.42557316567343595,0
race,African-American,36,1,1,0.22806415261871674,0
race,African-American,36,2,1,0.2689414213699951,0
race,African-American,36,3,1,0.5,0
race,African-American,36,4,1,0.5564489058100829,0
race,African-American,44,1,0,0.19746050833281167,0
race,African-American,44,2,0,0.38809462370417075,0
race,African-American,44,3,0,0.2591673613606022,0
race,African-American,44,4,0,0.41164257251210434,0
race,African-American,44,1,1,0.26894142136999516,0
race,African-American,44,2,1,0.28927144119052695,0
race,African-American,44,3,1,0.5,0
race,African-American,44,4,1,0.592423431452002,0
race,African-American,48,1,1,0.24613528134807838,0
race,African-American,48,2,1,0.5,0
race,African-American,48,3,1,0.2689414213699951,0
race,African-American,48,4,1,0.6039763603835022,0
race,African-American,48,1,0,0.2233688346119454,0
race,African-American,48,2,0,0.3138776122651682,0
race,African-American,48,3,0,0.28520543722642056,0
race,African-American,48,4,0,0.41299790716680645,0
race,African-American,49,1,0,0.21882844797784257,0
race,African-American,49,2,0,0.2698629684568792,0
race,African-American,49,3,0,0.37163412298333065,0
race,African-American,49,4,0,0.46476741191814647,0
race,African-American,49,1,1,0.2518368163535576,0
race,African-American,49,2,1,0.3657533982665129,0
race,African-American,49,4,1,0.7021762563012544,0
race,African-American,63,1,0,0.15663754685908696,0
race,African-American,63,2,0,0.34596094757999674,0
race,African-American,63,4,0,0.3980240572320188,0
race,African-American,63,1,1,0.2689414213699951,0
race,African-American,63,4,1,0.5,0
race,African-American,27,1,1,0.25650170863076777,0
race,African-American,27,2,1,0.35951429412701796,0
race,African-American,27,3,1,0.40073472654142306,0
race,African-American,27,4,1,0.5194084727336478,0
race,African-American,27,1,0,0.19687205857896126,0
race,African-American,27,2,0,0.26700437129576804,0
race,African-American,27,3,0,0.22987126549165288,0
race,African-American,27,4,0,0.3765277929385077,0
race,African-American,21,1,0,0.1555452148228833,0
race,African-American,21,2,0,0.17789611175513811,0
race,African-American,21,3,0,0.2449624032374986,0
race,African-American,21,4,0,0.28246046858382445,0
race,African-American,21,1,1,0.149150621891693,0
race,African-American,21,2,1,0.2775070339607682,0
race,African-American,21,3,1,0.19536233761769406,0
race,African-American,21,4,1,0.4600963702212248,0
race,African-American,43,1,0,0.19180340655442185,0
race,African-American,43,2,0,0.22806415261871674,0
race,African-American,43,3,0,0.3368710759377622,0
race,African-American,43,4,0,0.3240670668839008,0
race,African-American,43,1,1,0.23258193480105713,0
race,African-American,43,2,1,0.3267060660274963,0
race,African-American,43,4,1,0.6155292893150024,0
race,African-American,45,1,0,0.2305678936473051,0
race,African-American,45,2,0,0.2748927212430441,0
race,African-American,45,3,0,0.25753835135903674,0
race,African-American,45,4,0,0.4101438860883314,0
race,African-American,45,1,1,0.19407217169605634,0
race,African-American,45,2,1,0.23150679653302572,0
race,African-American,45,4,1,0.6347841708675029,0
race,African-American,55,1,0,0.22901115487722776,0
race,African-American,55,2,0,0.14415933858009716,0
race,African-American,55,3,0,0.15663754685908696,0
race,African-American,55,4,0,0.5062553907140098,0
race,African-American,55,1,1,0.28927144119052695,0
race,African-American,55,2,1,0.38447071068499755,0
race,African-American,55,3,1,0.38447071068499755,0
race,African-American,55,4,1,0.5,0
race,African-American,59,1,0,0.15663754685908693,0
race,African-American,59,2,0,0.32100453102201715,0
race,African-American,59,3,0,0.2689414213699951,0
race,African-American,59,4,0,0.5162640158564255,0
race,African-American,59,1,1,0.21902858825403593,0
race,African-American,59,3,1,0.11920292202211755,0
race,African-American,20,1,0,0.1534304334185049,0
race,African-American,20,2,0,0.18508786173518366,0
race,African-American,20,3,0,0.24675431139842463,0
race,African-American,20,4,0,0.29934208388334066,0
race,African-American,20,1,1,0.15872733040409442,0
race,African-American,20,2,1,0.251030462652534,0
race,African-American,20,3,1,0.3036501611380098,0
race,African-American,20,4,1,0.40572600985301893,0
race,African-American,19,1,0,0.14901533585476284,0
race,African-American,19,2,0,0.18396782103786438,0
race,African-American,19,3,0,0.20084884496956693,0
race,African-American,19,4,0,0.2635529352432506,0
race,African-American,19,1,1,0.14166369692429914,0
race,African-American,19,2,1,0.27066164259884534,0
race,African-American,19,3,1,0.27001655963802645,0
race,African-American,19,4,1,0.3859904161446508,0
race,African-American,54,1,0,0.20608673546190753,0
race,African-American,54,2,0,0.2439850048120155,0
race,African-American,54,3,0,0.37762886867842255,0
race,African-American,54,4,0,0.3657533982665129,0
race,African-American,54,1,1,0.21902858825403593,0
race,African-American,54,2,1,0.38447071068499755,0
race,African-American,54,3,1,0.2689414213699951,0
race,African-American,54,4,1,0.5,0
race,African-American,62,2,1,0.5,0
race,African-American,62,3,1,0.5,0
race,African-American,62,1,0,0.19407217169605634,0
race,African-American,62,2,0,0.27152175321327054,0
race,African-American,62,3,0,0.3267060660274963,0
race,African-American,62,4,0,0.7310585786300049,0
race,African-American,61,1,0,0.24167180644329167,0
race,African-American,61,2,0,0.25183681635355754,0
race,African-American,61,4,0,0.34811122411605955,0
race,African-American,61,1,1,0.11920292202211755,0
race,African-American,61,2,1,0.11920292202211755,0
race,African-American,65,1,1,0.11920292202211755,0
race,African-American,65,2,1,0.11920292202211755,0
race,African-American,65,3,1,0.11920292202211755,0
race,African-American,65,4,1,0.7310585786300049,0
race,African-American,65,1,0,0.21902858825403593,0
race,African-American,65,2,0,0.21902858825403593,0
race,African-American,65,3,0,0.11920292202211755,0
race,African-American,65,4,0,0.2689414213699951,0
race,African-American,56,1,1,0.23150679653302572,0
race,African-American,56,2,1,0.5,0
race,African-American,56,3,1,0.11920292202211755,0
race,African-American,56,4,1,0.6290826358620236,0
race,African-American,56,1,0,0.20239097721538288,0
race,African-American,56,2,0,0.24288911778096073,0
race,African-American,56,3,0,0.3314171529524216,0
race,African-American,56,4,0,0.3980240572320188,0
race,African-American,57,1,1,0.2689414213699951,0
race,African-American,57,2,1,0.5,0
race,African-American,57,3,1,0.38447071068499755,0
race,African-American,57,4,1,0.533008368375715,0
race,African-American,57,1,0,0.13792023444060225,0
race,African-American,57,2,0,0.2805585755531562,0
race,African-American,57,3,0,0.5,0
race,African-American,57,4,0,0.5,0
race,African-American,64,1,1,0.2689414213699951,0
race,African-American,64,2,1,0.11920292202211755,0
race,African-American,64,4,1,0.6155292893150024,0
race,African-American,64,1,0,0.14059413621467148,0
race,African-American,64,3,0,0.16911575513807675,0
race,African-American,64,4,0,0.21902858825403593,0
race,African-American,66,1,0,0.11920292202211753,0
race,African-American,66,2,0,0.2689414213699951,0
race,African-American,66,3,0,0.2689414213699951,0
race,African-American,66,1,1,0.2689414213699951,0
race,African-American,66,2,1,0.2689414213699951,0
race,African-American,58,1,1,0.2689414213699951,0
race,African-American,58,4,1,0.5462117157260009,0
race,African-American,58,1,0,0.17909832176126858,0
race,African-American,58,2,0,0.27078451554376326,0
race,African-American,58,3,0,0.3844707106849976,0
race,African-American,58,4,0,0.3795836806803011,0
race,African-American,69,1,0,0.21902858825403593,0
race,African-American,69,3,0,0.2689414213699951,0
race,African-American,18,1,0,0.14463021436421,0
race,African-American,18,2,0,0.1652763064368491,0
race,African-American,18,3,0,0.17909832176126858,0
race,African-American,18,4,0,0.19407217169605634,0
race,African-American,18,1,1,0.16779392749880595,0
race,African-American,18,2,1,0.21566393608134665,0
race,African-American,18,3,1,0.17909832176126858,0
race,African-American,18,4,1,0.25183681635355754,0
race,African-American,68,1,0,0.19407217169605634,0
race,African-American,68,3,0,0.11920292202211755,0
race,African-American,68,4,0,0.5,0
race,African-American,67,1,0,0.11920292202211755,0
race,African-American,67,2,0,0.2689414213699951,0
race,African-American,67,3,0,0.11920292202211755,0
race,African-American,67,4,0,0.38447071068499755,0
race,African-American,70,1,0,0.2689414213699951,0
race,Caucasian,28,1,0,0.1815791523413701,0
race,Caucasian,28,2,0,0.20213505424328115,0
race,Caucasian,28,3,0,0.26971832101227744,0
race,Caucasian,28,4,0,0.4201589947265969,0
race,Caucasian,28,1,1,0.20774734275902132,0
race,Caucasian,28,2,1,0.33857531181049905,0
race,Caucasian,28,3,1,0.38964868015080883,0
race,Caucasian,28,4,1,0.5403973095327496,0
race,Caucasian,23,1,1,0.1844777457624042,0
race,Caucasian,23,2,1,0.30042782183024597,0
race,Caucasian,23,3,1,0.35826647329911904,0
race,Caucasian,23,4,1,0.516721145739758,0
race,Caucasian,23,1,0,0.1502559878118837,0
race,Caucasian,23,2,0,0.20624948807884433,0
race,Caucasian,23,3,0,0.2592831983682683,0
