Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.1600126378383432,0
race,African-American,46,2,1,0.17058150724868437,0
race,African-American,46,3,1,0.3073246163198153,0
race,African-American,46,4,1,0.5655389003134522,0
race,African-American,46,1,0,0.13110929972179677,0
race,African-American,46,2,0,0.2035018392301333,0
race,African-American,46,3,0,0.1658551492895526,0
race,African-American,46,4,0,0.32183569307636817,0
race,African-American,30,1,0,0.1625279125562799,0
race,African-American,30,2,0,0.21403782267310248,0
race,African-American,30,3,0,0.2635324440965375,0
race,African-American,30,4,0,0.27849269664800536,0
race,African-American,30,1,1,0.17408390031203538,0
race,African-American,30,2,1,0.33982586395186365,0
race,African-American,30,3,1,0.28657864228986396,0
race,African-American,30,4,1,0.42345679657091834,0
race,African-American,29,1,0,0.1695211985945622,0
race,African-American,29,2,0,0.18693392690460453,0
race,African-American,29,3,0,0.25124848375508413,0
race,African-American,29,4,0,0.29742439559586303,0
race,African-American,29,1,1,0.2070108524533296,0
race,African-American,29,2,1,0.24695759038496237,0
race,African-American,29,3,1,0.29509308695814856,0
race,African-American,29,4,1,0.35424751230826185,0
race,African-American,22,1,0,0.1454894851016037,0
race,African-American,22,2,0,0.22262870817821187,0
race,African-American,22,3,0,0.2652332410225031,0
race,African-American,22,4,0,0.3525984998479721,0
race,African-American,22,1,1,0.17154043958932225,0
race,African-American,22,2,1,0.30481449532761007,0
race,African-American,22,3,1,0.21583527849396,0
race,African-American,22,4,1,0.4330921364610501,0
race,African-American,34,1,0,0.1595428360109031,0
race,African-American,34,2,0,0.19719138154284993,0
race,African-American,34,3,0,0.258464203650421,0
race,African-American,34,4,0,0.3193776616437333,0
race,African-American,34,1,1,0.20577480432142334,0
race,African-American,34,2,1,0.15579993739180664,0
race,African-American,34,3,1,0.18185928919300764,0
race,African-American,34,4,1,0.47499687071923596,0
race,African-American,37,1,0,0.1714735131822559,0
race,African-American,37,2,0,0.20711540136984896,0
race,African-American,37,3,0,0.2159470385646646,0
race,African-American,37,4,0,0.255118970602456,0
race,African-American,37,1,1,0.20576619820294834,0
race,African-American,37,2,1,0.2335046940550004,0
race,African-American,37,3,1,0.24914561973826793,0
race,African-American,37,4,1,0.4257020903017963,0
race,African-American,53,1,1,0.1558939105666811,0
race,African-American,53,2,1,0.35035970500481306,0
race,African-American,53,3,1,0.2564935064935065,0
race,African-American,53,4,1,0.5589430617723867,0
race,African-American,53,1,0,0.12790423020953606,0
race,African-American,53,2,0,0.1775590852850717,0
race,African-American,53,3,0,0.2084631055261922,0
race,African-American,53,4,0,0.2993398952152416,0
race,African-American,23,1,0,0.15826436837027033,0
race,African-American,23,2,0,0.22051672114329113,0
race,African-American,23,3,0,0.22847422818314977,0
race,African-American,23,4,0,0.3144476477046576,0
race,African-American,23,1,1,0.21969334678632377,0
race,African-American,23,2,1,0.24946184417836806,0
race,African-American,23,3,1,0.2914130046627501,0
race,African-American,23,4,1,0.3942226456917815,0
race,African-American,24,1,1,0.23942521497648248,0
race,African-American,24,2,1,0.2515188447725122,0
race,African-American,24,4,1,0.42504655232294786,0
race,African-American,24,1,0,0.16327613726125004,0
race,African-American,24,2,0,0.20837675070844852,0
race,African-American,24,3,0,0.19388614293640224,0
race,African-American,24,4,0,0.34889786389144434,0
race,African-American,26,1,1,0.1996775091728434,0
race,African-American,26,2,1,0.36752292007557447,0
race,African-American,26,3,1,0.25344861184665657,0
race,African-American,26,4,1,0.37546097151503294,0
race,African-American,26,1,0,0.15783618958412546,0
race,African-American,26,2,0,0.19709855243361815,0
race,African-American,26,3,0,0.21426921644937363,0
race,African-American,26,4,0,0.3246068083817179,0
race,African-American,35,1,1,0.18559940211025674,0
race,African-American,35,2,1,0.1840284710352846,0
race,African-American,35,3,1,0.15821630250239907,0
race,African-American,35,4,1,0.4378323081162591,0
race,African-American,35,1,0,0.16698860443199665,0
race,African-American,35,2,0,0.19158743880342177,0
race,African-American,35,3,0,0.23033644914257165,0
race,African-American,35,4,0,0.3659879955312501,0
race,African-American,38,1,0,0.1720157128329616,0
race,African-American,38,2,0,0.19907831831985923,0
race,African-American,38,3,0,0.2829703706756906,0
race,African-American,38,4,0,0.269344827981587,0
race,African-American,38,1,1,0.18391690712103262,0
race,African-American,38,2,1,0.2220872750114236,0
race,African-American,38,3,1,0.22974137931034483,0
race,African-American,38,4,1,0.44938054027228425,0
race,African-American,25,1,1,0.2069650595994686,0
race,African-American,25,2,1,0.2611689395441827,0
race,African-American,25,3,1,0.28429122556605646,0
race,African-American,25,4,1,0.4422730869637994,0
race,African-American,25,1,0,0.17306724104126944,0
race,African-American,25,2,0,0.19810571584887013,0
race,African-American,25,3,0,0.22164002431920124,0
race,African-American,25,4,0,0.3340147086274816,0
race,African-American,32,1,0,0.1581357757540058,0
race,African-American,32,2,0,0.17315006049575427,0
race,African-American,32,3,0,0.2759529657366409,0
race,African-American,32,4,0,0.31333832408506235,0
race,African-American,32,1,1,0.08776556776556776,0
race,African-American,32,2,1,0.19755529956939383,0
race,African-American,32,3,1,0.28726336283618875,0
race,African-American,32,4,1,0.46102572438723516,0
race,African-American,42,1,0,0.15116114118429197,0
race,African-American,42,2,0,0.2023241733312577,0
race,African-American,42,3,0,0.23391469744408125,0
race,African-American,42,4,0,0.33069795920632217,0
race,African-American,42,1,1,0.13710059597404323,0
race,African-American,42,2,1,0.17230285116924898,0
race,African-American,42,4,1,0.46631108638521346,0
race,African-American,41,1,0,0.15590260930029437,0
race,African-American,41,2,0,0.22053917498035702,0
race,African-American,41,3,0,0.22551779656049403,0
race,African-American,41,4,0,0.26528443250648515,0
race,African-American,41,1,1,0.2522397353220817,0
race,African-American,41,2,1,0.2864661981184304,0
race,African-American,41,3,1,0.4226873733963538,0
race,African-American,41,4,1,0.33491165249802934,0
race,African-American,33,1,1,0.15222116036487346,0
race,African-American,33,2,1,0.2974580972063472,0
race,African-American,33,3,1,0.2444385027355305,0
