Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.11920292202211755,0
race,African-American,46,2,1,0.21902858825403593,0
race,African-American,46,3,1,0.27109169790605797,0
race,African-American,46,4,1,0.43398326324857006,0
race,African-American,46,1,0,0.13281551287192456,0
race,African-American,46,2,0,0.1872658762711528,0
race,African-American,46,3,0,0.16911575513807675,0
race,African-American,46,4,0,0.35474730082401673,0
race,African-American,30,1,0,0.12616750338713512,0
race,African-American,30,2,0,0.19122140419331676,0
race,African-American,30,3,0,0.2008630120854505,0
race,African-American,30,4,0,0.26122706083594643,0
race,African-American,30,1,1,0.11920292202211756,0
race,African-American,30,2,1,0.19407217169605634,0
race,African-American,30,3,1,0.279106431280261,0
race,African-American,30,4,1,0.3667861914408055,0
race,African-American,29,1,0,0.131278607453398,0
race,African-American,29,2,0,0.16267538957472716,0
race,African-American,29,3,0,0.20690875939772324,0
race,African-American,29,4,0,0.2821965292912672,0
race,African-American,29,1,1,0.17589242841158736,0
race,African-American,29,2,1,0.20762551824307754,0
race,African-American,29,3,1,0.2439850048120155,0
race,African-American,29,4,1,0.31356694392887113,0
race,African-American,22,1,0,0.12841759890506388,0
race,African-American,22,2,0,0.1925848147381052,0
race,African-American,22,3,0,0.20956208799949919,0
race,African-American,22,4,0,0.3256750555041174,0
race,African-American,22,1,1,0.1341767719569053,0
race,African-American,22,2,1,0.25753835135903674,0
race,African-American,22,3,1,0.21902858825403593,0
race,African-American,22,4,1,0.3782316065455027,0
race,African-American,34,1,0,0.13102438249695003,0
race,African-American,34,2,0,0.1553466977267777,0
race,African-American,34,3,0,0.20630928482821406,0
race,African-American,34,4,0,0.30936855468713437,0
race,African-American,34,1,1,0.18337656459977936,0
race,African-American,34,2,1,0.11920292202211756,0
race,African-American,34,3,1,0.17909832176126858,0
race,African-American,34,4,1,0.4071139288742533,0
race,African-American,37,1,0,0.11920292202211755,0
race,African-American,37,2,0,0.17729087020270035,0
race,African-American,37,3,0,0.17225647975469358,0
race,African-American,37,4,0,0.21969021180359363,0
race,African-American,37,1,1,0.16198535040722542,0
race,African-American,37,2,1,0.23150679653302572,0
race,African-American,37,3,1,0.19407217169605634,0
race,African-American,37,4,1,0.42890505272922924,0
race,African-American,53,1,1,0.11920292202211755,0
race,African-American,53,2,1,0.2689414213699951,0
race,African-American,53,3,1,0.2689414213699951,0
race,African-American,53,4,1,0.4711176776712494,0
race,African-American,53,1,0,0.12708389567200581,0
race,African-American,53,2,0,0.18837063669057716,0
race,African-American,53,3,0,0.20762551824307754,0
race,African-American,53,4,0,0.3060306810872294,0
race,African-American,23,1,0,0.13684448465684626,0
race,African-American,23,2,0,0.19073990030676125,0
race,African-American,23,3,0,0.1998569616573921,0
race,African-American,23,4,0,0.28865537998384416,0
race,African-American,23,1,1,0.15663754685908693,0
race,African-American,23,2,1,0.1998313447478977,0
race,African-American,23,3,1,0.23215187949384458,0
race,African-American,23,4,1,0.3464258722364427,0
race,African-American,24,1,1,0.17679465254053198,0
race,African-American,24,2,1,0.23935860807456774,0
race,African-American,24,4,1,0.38836255761019084,0
race,African-American,24,1,0,0.13792023444060225,0
race,African-American,24,2,0,0.16152032401173513,0
race,African-American,24,3,0,0.16911575513807675,0
race,African-American,24,4,0,0.3247233245685902,0
race,African-American,26,1,1,0.16198535040722536,0
race,African-American,26,2,1,0.29604811446403756,0
race,African-American,26,3,1,0.2389937215004196,0
race,African-American,26,4,1,0.3416855834813072,0
race,African-American,26,1,0,0.13631589337616065,0
race,African-American,26,2,0,0.15663754685908693,0
race,African-American,26,3,0,0.17128587831703146,0
race,African-American,26,4,0,0.28285314733969347,0
race,African-American,35,1,1,0.13792023444060225,0
race,African-American,35,2,1,0.11920292202211756,0
race,African-American,35,3,1,0.19407217169605634,0
race,African-American,35,4,1,0.3835442954321064,0
race,African-American,35,1,0,0.13496486932189414,0
race,African-American,35,2,0,0.17250409177483203,0
race,African-American,35,3,0,0.18195234283974365,0
race,African-American,35,4,0,0.3216849256645777,0
race,African-American,38,1,0,0.12360699553234923,0
race,African-American,38,2,0,0.16658173958008596,0
race,African-American,38,3,0,0.2484717542643252,0
race,African-American,38,4,0,0.27647916044987547,0
race,African-American,38,1,1,0.15663754685908696,0
race,African-American,38,2,1,0.19407217169605634,0
race,African-American,38,3,1,0.2689414213699951,0
race,African-American,38,4,1,0.40757656854799806,0
race,African-American,25,1,1,0.14915062189169306,0
race,African-American,25,2,1,0.23777614716804832,0
race,African-American,25,3,1,0.26133937469602286,0
race,African-American,25,4,1,0.3916460117981264,0
race,African-American,25,1,0,0.1441593385800971,0
race,African-American,25,2,0,0.18305004325454183,0
race,African-American,25,3,0,0.19985696165739208,0
race,African-American,25,4,0,0.3144006712009763,0
race,African-American,32,1,0,0.11920292202211757,0
race,African-American,32,2,0,0.15375796033316622,0
race,African-American,32,3,0,0.1940721716960563,0
race,African-American,32,4,0,0.301964677123123,0
race,African-American,32,1,1,0.11920292202211755,0
race,African-American,32,2,1,0.15663754685908693,0
race,African-American,32,3,1,0.23150679653302572,0
race,African-American,32,4,1,0.38447071068499755,0
race,African-American,42,1,0,0.12496209507395897,0
race,African-American,42,2,0,0.17054335723653888,0
race,African-American,42,3,0,0.17535485927757163,0
race,African-American,42,4,0,0.2748302800261517,0
race,African-American,42,1,1,0.11920292202211755,0
race,African-American,42,2,1,0.20904602163084407,0
race,African-American,42,4,1,0.4711176776712494,0
race,African-American,41,1,0,0.1192029220221175,0
race,African-American,41,2,0,0.19858995387839673,0
race,African-American,41,3,0,0.19983134474789774,0
race,African-American,41,4,0,0.28194451898337525,0
race,African-American,41,1,1,0.15663754685908693,0
race,African-American,41,2,1,0.25183681635355754,0
race,African-American,41,3,1,0.2689414213699951,0
race,African-American,41,4,1,0.34703608584802814,0
race,African-American,33,1,1,0.13584053306077062,0
race,African-American,33,2,1,0.25753835135903674,0
race,African-American,33,3,1,0.28372689033038195,0
race,African-American,33,4,1,0.42298047378999837,0
race,African-American,33,1,0,0.12503688952917769,0
race,African-American,33,2,0,0.16840400179385404,0
race,African-American,33,3,0,0.1804373642327046,0
race,African-American,33,4,0,0.27196248310062315,0
race,African-American,31,1,1,0.16198535040722542,0
race,African-American,31,2,1,0.21902858825403593,0
race,African-American,31,3,1,0.38447071068499755,0
race,African-American,31,4,1,0.4033310079631183,0
race,African-American,31,1,0,0.13021310579769677,0
race,African-American,31,2,0,0.1790983217612686,0
race,African-American,31,3,0,0.17495916628369115,0
race,African-American,31,4,0,0.33480152660092594,0
race,African-American,50,1,0,0.12455072557025601,0
race,African-American,50,2,0,0.15663754685908693,0
race,African-American,50,3,0,0.15663754685908693,0
race,African-American,50,4,0,0.27926741065120875,0
race,African-American,50,1,1,0.11920292202211755,0
race,African-American,50,2,1,0.2689414213699951,0
race,African-American,50,4,1,0.3946357205952635,0
race,African-American,28,1,0,0.12708389567200584,0
race,African-American,28,2,0,0.15195821875446577,0
race,African-American,28,3,0,0.19013168487111218,0
race,African-American,28,4,0,0.29130444317258014,0
race,African-American,28,1,1,0.14415933858009713,0
race,African-American,28,2,1,0.19407217169605634,0
race,African-American,28,3,1,0.23258193480105713,0
race,African-American,28,4,1,0.38219009668280585,0
race,African-American,52,1,0,0.1302946627145529,0
race,African-American,52,2,0,0.20220417962426906,0
race,African-American,52,3,0,0.19407217169605634,0
race,African-American,52,4,0,0.27448387657578943,0
race,African-American,52,1,1,0.11920292202211755,0
race,African-American,52,2,1,0.19407217169605634,0
race,African-American,52,3,1,0.5,0
race,African-American,52,4,1,0.40757656854799806,0
race,African-American,51,1,0,0.1358405330607706,0
race,African-American,51,2,0,0.19407217169605634,0
race,African-American,51,3,0,0.17535485927757163,0
race,African-American,51,4,0,0.26547162381690925,0
race,African-American,51,1,1,0.16911575513807675,0
race,African-American,51,2,1,0.19407217169605634,0
race,African-American,51,3,1,0.3096014610110588,0
race,African-American,51,4,1,0.34703608584802814,0
race,African-American,40,1,0,0.12964979406964391,0
race,African-American,40,2,0,0.158265139243303,0
race,African-American,40,3,0,0.18451966038007703,0
race,African-American,40,4,0,0.3202909463968926,0
race,African-American,40,1,1,0.17360250459038648,0
race,African-American,40,2,1,0.23150679653302572,0
race,African-American,40,3,1,0.28927144119052695,0
race,African-American,40,4,1,0.4037255922374979,0
race,African-American,60,1,1,0.11920292202211753,0
race,African-American,60,2,1,0.11920292202211755,0
race,African-American,60,4,1,0.2689414213699951,0
race,African-American,60,1,0,0.11920292202211755,0
