Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,0,3.3461538461538463,0
race,African-American,46,2,0,3.9285714285714284,0
race,African-American,46,3,0,4.125,0
race,African-American,46,4,0,4.6,0
race,African-American,46,1,1,4.0,0
race,African-American,46,3,1,3.0,0
race,African-American,46,4,1,5.0,0
race,African-American,30,1,0,3.0408163265306123,0
race,African-American,30,2,0,3.230769230769231,0
race,African-American,30,3,0,3.935483870967742,0
race,African-American,30,4,0,4.220588235294118,0
race,African-American,30,1,1,3.0,0
race,African-American,30,4,1,4.0,0
race,African-American,29,1,0,2.7945205479452055,0
race,African-American,29,2,0,3.324324324324324,0
race,African-American,29,3,0,3.9583333333333335,0
race,African-American,29,4,0,3.825,0
race,African-American,29,1,1,4.0,0
race,African-American,22,1,0,2.5753424657534247,0
race,African-American,22,2,0,2.9482758620689653,0
race,African-American,22,3,0,2.962962962962963,0
race,African-American,22,4,0,3.8625,0
race,African-American,22,1,1,3.5,0
race,African-American,22,3,1,4.0,0
race,African-American,22,4,1,4.833333333333333,0
race,African-American,34,1,0,3.088888888888889,0
race,African-American,34,2,0,3.4285714285714284,0
race,African-American,34,3,0,4.033333333333333,0
race,African-American,34,4,0,4.422535211267606,0
race,African-American,37,1,0,3.4615384615384617,0
race,African-American,37,2,0,3.2333333333333334,0
race,African-American,37,3,0,3.5833333333333335,0
race,African-American,37,4,0,4.326923076923077,0
race,African-American,53,1,0,3.217391304347826,0
race,African-American,53,2,0,4.0,0
race,African-American,53,3,0,4.0,0
race,African-American,53,4,0,4.6,0
race,African-American,53,4,1,5.666666666666667,0
race,African-American,23,1,0,2.548076923076923,0
race,African-American,23,2,0,2.909090909090909,0
race,African-American,23,3,0,2.911764705882353,0
race,African-American,23,4,0,3.49,0
race,African-American,23,1,1,5.0,0
race,African-American,23,2,1,5.0,0
race,African-American,23,3,1,3.3333333333333335,0
race,African-American,23,4,1,5.0,0
race,African-American,24,1,0,2.5584415584415585,0
race,African-American,24,2,0,3.0701754385964914,0
race,African-American,24,3,0,2.7037037037037037,0
race,African-American,24,4,0,3.8850574712643677,0
race,African-American,24,2,1,5.0,0
race,African-American,24,4,1,5.0,0
race,African-American,26,1,0,2.682926829268293,0
race,African-American,26,2,0,3.289473684210526,0
race,African-American,26,3,0,3.1818181818181817,0
race,African-American,26,4,0,3.95959595959596,0
race,African-American,26,1,1,1.5,0
race,African-American,26,2,1,2.0,0
race,African-American,26,4,1,5.5,0
race,African-American,35,1,0,3.0952380952380953,0
race,African-American,35,2,0,3.3,0
race,African-American,35,3,0,3.5,0
race,African-American,35,4,0,4.4393939393939394,0
race,African-American,35,1,1,3.5,0
race,African-American,38,1,0,3.0789473684210527,0
race,African-American,38,2,0,3.2758620689655173,0
race,African-American,38,3,0,4.133333333333334,0
race,African-American,38,4,0,4.3428571428571425,0
race,African-American,25,1,0,2.675675675675676,0
