Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,0,6.900114305597829e-05,0
race,African-American,46,2,0,8.19968819167024e-05,0
race,African-American,46,3,0,0.0002230234800821644,0
race,African-American,46,4,0,0.0010395665560931828,0
race,African-American,46,1,1,3.31090003329538e-05,0
race,African-American,46,3,1,0.00012441700377517991,0
race,African-American,46,4,1,0.013834528735075678,0
race,African-American,30,1,0,0.00016118020484881225,0
race,African-American,30,2,0,0.0007382380841194593,0
race,African-American,30,3,0,0.0004489188272123898,0
race,African-American,30,4,0,0.0019723890532323805,0
race,African-American,30,1,1,0.0002531340311234009,0
race,African-American,30,4,1,0.0010796573059830036,0
race,African-American,29,1,0,0.00023174835072652198,0
race,African-American,29,2,0,0.00025112908955842594,0
race,African-American,29,3,0,0.001083032615721176,0
race,African-American,29,4,0,0.001657796158023537,0
race,African-American,29,1,1,0.004635447620946612,0
race,African-American,22,1,0,0.00028691229630997147,0
race,African-American,22,2,0,0.0005742375422360253,0
race,African-American,22,3,0,0.00036999970621135126,0
race,African-American,22,4,0,0.010151132149066645,0
race,African-American,22,1,1,0.00020994693829659464,0
race,African-American,22,3,1,0.00044364085333932474,0
race,African-American,22,4,1,0.017450031335177845,0
race,African-American,34,1,0,0.00013078205238422955,0
race,African-American,34,2,0,0.00013956266289464069,0
race,African-American,34,3,0,0.0005031169609852529,0
race,African-American,34,4,0,0.005724179260007898,0
race,African-American,37,1,0,0.00021510201405471074,0
race,African-American,37,2,0,0.0003394369739069801,0
race,African-American,37,3,0,0.0004341032456115208,0
race,African-American,37,4,0,0.0024861873760819025,0
race,African-American,53,1,0,3.186766844406284e-05,0
race,African-American,53,2,0,0.00021418728142413553,0
race,African-American,53,3,0,0.00021015396962864122,0
race,African-American,53,4,0,0.003056367819719147,0
race,African-American,53,4,1,0.0010195265127478507,0
race,African-American,23,1,0,0.0002639812285084989,0
race,African-American,23,2,0,0.00038136882339165383,0
race,African-American,23,3,0,0.00039327421322633653,0
race,African-American,23,4,0,0.004630418749887874,0
race,African-American,23,1,1,0.005693875169317517,0
race,African-American,23,2,1,0.0005071902789099882,0
race,African-American,23,3,1,0.001725062005772076,0
race,African-American,23,4,1,0.027680099606366738,0
race,African-American,24,1,0,0.00026506841905711516,0
race,African-American,24,2,0,0.0007379298687773542,0
race,African-American,24,3,0,0.0008788536629431452,0
race,African-American,24,4,0,0.008217565130903642,0
race,African-American,24,2,1,0.001155613995796533,0
race,African-American,24,4,1,0.0017190695008125546,0
race,African-American,26,1,0,0.00013637366550360892,0
race,African-American,26,2,0,0.0007948818121662277,0
race,African-American,26,3,0,0.0004136226094222721,0
race,African-American,26,4,0,0.0027798236577778737,0
race,African-American,26,1,1,0.0010876755964470376,0
race,African-American,26,2,1,0.000761722283798293,0
race,African-American,26,4,1,0.052822328228059885,0
race,African-American,35,1,0,0.00015365001080871332,0
race,African-American,35,2,0,0.0005099098322200795,0
race,African-American,35,3,0,0.00032304206840600254,0
race,African-American,35,4,0,0.0018017901320435308,0
race,African-American,35,1,1,0.003426219849173312,0
race,African-American,38,1,0,0.00019190988918722286,0
race,African-American,38,2,0,0.0004968412929252296,0
race,African-American,38,3,0,0.0007454243712147104,0
race,African-American,38,4,0,0.002178964944385676,0
race,African-American,25,1,0,0.00021661688653863652,0
race,African-American,25,2,0,0.0002142180266529899,0
race,African-American,25,3,0,0.0015578064486680735,0
race,African-American,25,4,0,0.006494694529895171,0
race,African-American,25,1,1,0.0004853124355957236,0
race,African-American,25,3,1,0.0005205702509385291,0
race,African-American,25,4,1,0.001759038032031055,0
race,African-American,32,1,0,9.243384095761951e-05,0
race,African-American,32,2,0,0.00023725537854170774,0
race,African-American,32,3,0,0.0008485000509358346,0
race,African-American,32,4,0,0.004165828321933125,0
race,African-American,32,4,1,0.00032958783160303264,0
race,African-American,42,1,0,7.809395135613674e-05,0
race,African-American,42,2,0,0.00019434742414029473,0
race,African-American,42,3,0,0.0003406320953693196,0
race,African-American,42,4,0,0.001695276913822389,0
race,African-American,42,4,1,0.0002478583219030717,0
race,African-American,41,1,0,9.404265663876321e-05,0
race,African-American,41,2,0,0.0003851846398911771,0
race,African-American,41,3,0,0.0002390928990415188,0
race,African-American,41,4,0,0.003786584564107519,0
race,African-American,41,4,1,0.0007633810333104635,0
race,African-American,33,1,0,0.0001320851424523214,0
race,African-American,33,2,0,0.0003226031117707631,0
race,African-American,33,3,0,0.0005166434377646815,0
race,African-American,33,4,0,0.004140280755511148,0
race,African-American,33,1,1,0.00013747332372714748,0
race,African-American,33,4,1,0.013797251595822993,0
race,African-American,31,1,0,0.0001511417221736336,0
race,African-American,31,2,0,0.001149117065662937,0
race,African-American,31,3,0,0.0006261284698695876,0
race,African-American,31,4,0,0.006153921836876646,0
race,African-American,31,4,1,0.15080249227668638,0
race,African-American,50,1,0,3.450134998784386e-05,0
race,African-American,50,2,0,6.079975010018286e-05,0
race,African-American,50,3,0,0.0003751638240871091,0
race,African-American,50,4,0,0.0006680660992846369,0
race,African-American,50,1,1,2.2657455364002876e-05,0
race,African-American,50,2,1,0.016541834971851726,0
race,African-American,28,1,0,0.00022403634743316025,0
race,African-American,28,2,0,0.00294138724481822,0
race,African-American,28,3,0,0.0014088482988811634,0
race,African-American,28,4,0,0.0075203465459355145,0
race,African-American,28,3,1,0.00023138963112708216,0
race,African-American,28,4,1,0.0004937632021872097,0
race,African-American,52,1,0,3.155792470307718e-05,0
race,African-American,52,2,0,0.00010077830226488614,0
race,African-American,52,3,0,0.00034250172554018955,0
race,African-American,52,4,0,0.0010085297027727597,0
race,African-American,51,1,0,6.790103495160663e-05,0
