Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.06859456599210455,0
race,African-American,46,2,1,0.06153833505392529,0
race,African-American,46,3,1,0.08331439759984216,0
race,African-American,46,4,1,0.28711404331393586,0
race,African-American,46,1,0,0.0467349411899583,0
race,African-American,46,2,0,0.09924798711139253,0
race,African-American,46,3,0,0.06224828679621356,0
race,African-American,46,4,0,0.10183107867415053,0
race,African-American,30,1,0,0.025668512782401707,0
race,African-American,30,2,0,0.04916089705233507,0
race,African-American,30,3,0,0.07509385819973413,0
race,African-American,30,4,0,0.09615349904313412,0
race,African-American,30,1,1,0.01798620996209156,0
race,African-American,30,3,1,0.23389255414241986,0
race,African-American,30,4,1,0.3787691756795184,0
race,African-American,29,1,0,0.03602448411528893,0
race,African-American,29,2,0,0.05002539747955968,0
race,African-American,29,3,0,0.041644784070415566,0
race,African-American,29,4,0,0.11048605929387226,0
race,African-American,29,1,1,0.027799431033916633,0
race,African-American,29,2,1,0.13537685111806808,0
race,African-American,29,3,1,0.1951029053058523,0
race,African-American,29,4,1,0.3361481639307024,0
race,African-American,22,1,0,0.031730373927592655,0
race,African-American,22,2,0,0.059265255128233704,0
race,African-American,22,3,0,0.06792477009617785,0
race,African-American,22,4,0,0.12111994133345254,0
race,African-American,22,1,1,0.11338910663294274,0
race,African-American,22,2,1,0.10853820805378737,0
race,African-American,22,3,1,0.21902858825403593,0
race,African-American,22,4,1,0.26091295914797147,0
race,African-American,34,1,0,0.0355601502535588,0
race,African-American,34,2,0,0.05380804981554855,0
race,African-American,34,3,0,0.06544091354585023,0
race,African-American,34,4,0,0.12553434055984442,0
race,African-American,34,1,1,0.2737129365887834,0
race,African-American,34,2,1,0.11920292202211755,0
race,African-American,34,3,1,0.13133336884408042,0
race,African-American,34,4,1,0.3801945594308882,0
race,African-American,37,1,0,0.029622763661577872,0
race,African-American,37,2,0,0.05216753190940829,0
race,African-American,37,3,0,0.049916764832384435,0
race,African-American,37,4,0,0.09175336847772282,0
race,African-American,37,1,1,0.11920292202211755,0
race,African-American,37,2,1,0.11145116816988448,0
race,African-American,37,3,1,0.11920292202211755,0
race,African-American,37,4,1,0.28927144119052695,0
race,African-American,53,1,0,0.03129328245870003,0
race,African-American,53,2,0,0.05040227065762838,0
race,African-American,53,3,0,0.044117485017191795,0
race,African-American,53,4,0,0.1336151824649414,0
race,African-American,53,2,1,0.01798620996209156,0
race,African-American,53,3,1,0.3096014610110588,0
race,African-American,53,4,1,0.5,0
race,African-American,23,1,0,0.03641237267262663,0
race,African-American,23,2,0,0.05841805524089811,0
race,African-American,23,3,0,0.07087936063893327,0
race,African-American,23,4,0,0.12614009351484426,0
race,African-American,23,1,1,0.07024876007229204,0
race,African-American,23,2,1,0.07066230859233891,0
race,African-American,23,3,1,0.19659921794944923,0
race,African-American,23,4,1,0.24224606888342107,0
race,African-American,24,1,0,0.028045643014142065,0
race,African-American,24,2,0,0.04476964878170795,0
race,African-American,24,3,0,0.050639927358750676,0
race,African-American,24,4,0,0.14456126791620227,0
race,African-American,24,1,1,0.14519007218989313,0
race,African-American,24,2,1,0.15582079407371147,0
race,African-American,24,4,1,0.26197962393470575,0
race,African-American,26,1,1,0.09996396741809249,0
race,African-American,26,2,1,0.11145116816988448,0
race,African-American,26,3,1,0.19407217169605634,0
race,African-American,26,4,1,0.30734165346274145,0
race,African-American,26,1,0,0.02916725344311865,0
race,African-American,26,2,0,0.052135706608752136,0
race,African-American,26,3,0,0.04963480594684693,0
race,African-American,26,4,0,0.11467395826304146,0
race,African-American,35,1,1,0.051725113982100224,0
race,African-American,35,4,1,0.3495415132850383,0
race,African-American,35,1,0,0.03624721095947005,0
race,African-American,35,2,0,0.04794823842851679,0
race,African-American,35,3,0,0.06033399915663425,0
race,African-American,35,4,0,0.1417609348657267,0
race,African-American,38,1,0,0.0334545378671028,0
race,African-American,38,2,0,0.04563634257454897,0
race,African-American,38,3,0,0.0917714408501964,0
race,African-American,38,4,0,0.0774705894974875,0
race,African-American,38,1,1,0.11920292202211755,0
race,African-American,38,2,1,0.08331439759984216,0
race,African-American,38,3,1,0.2689414213699951,0
race,African-American,38,4,1,0.4229804737899984,0
race,African-American,25,1,0,0.03255761591826671,0
race,African-American,25,2,0,0.03151462629712223,0
