Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.8325083429158191,0
race,African-American,46,2,1,0.8254291255913718,0
race,African-American,46,3,1,0.8874965604377167,0
race,African-American,46,4,1,0.9260880116852295,0
race,African-American,46,1,0,0.7135045088097571,0
race,African-American,46,2,0,0.8215214532140528,0
race,African-American,46,3,0,0.7650187354222179,0
race,African-American,46,4,0,0.8224921083357593,0
race,African-American,30,1,0,0.7015039441343377,0
race,African-American,30,2,0,0.7549604670604153,0
race,African-American,30,3,0,0.7978094383026328,0
race,African-American,30,4,0,0.8394560094388713,0
race,African-American,30,1,1,0.7222205113882796,0
race,African-American,30,3,1,0.8827447680656333,0
race,African-American,30,4,1,0.9692405132786659,0
race,African-American,29,1,0,0.7275298188261357,0
race,African-American,29,2,0,0.7641218246482163,0
race,African-American,29,3,0,0.7845142652308859,0
race,African-American,29,4,0,0.819415223420949,0
race,African-American,29,1,1,0.7037292288832767,0
race,African-American,29,2,1,0.8845490315584513,0
race,African-American,29,3,1,0.9238562006001314,0
race,African-American,29,4,1,0.913418241343479,0
race,African-American,22,1,0,0.728778238539673,0
race,African-American,22,2,0,0.7786262948141229,0
race,African-American,22,3,0,0.7731915429662466,0
race,African-American,22,4,0,0.8426833267015363,0
race,African-American,22,1,1,0.8901525820554624,0
race,African-American,22,2,1,0.8277615637743577,0
race,African-American,22,3,1,0.962496826865034,0
race,African-American,22,4,1,0.9366252188803537,0
race,African-American,34,1,0,0.7092860424049905,0
race,African-American,34,2,0,0.7434142738982727,0
race,African-American,34,3,0,0.7843324352637414,0
race,African-American,34,4,0,0.8373446757225299,0
race,African-American,34,1,1,0.8900862026420091,0
race,African-American,34,2,1,0.9569050529397928,0
race,African-American,34,3,1,0.878776570395396,0
race,African-American,34,4,1,0.9666413664603595,0
race,African-American,37,1,0,0.7167402526920573,0
race,African-American,37,2,0,0.715680060714234,0
race,African-American,37,3,0,0.761020619929522,0
race,African-American,37,4,0,0.8047512013271746,0
race,African-American,37,1,1,0.946405550890155,0
race,African-American,37,2,1,0.8627903350281206,0
race,African-American,37,3,1,0.9524971287735268,0
race,African-American,37,4,1,0.9514129805995728,0
race,African-American,53,1,0,0.679730279065723,0
race,African-American,53,2,0,0.7322081742288944,0
race,African-American,53,3,0,0.7644045915826387,0
race,African-American,53,4,0,0.8196561767577385,0
race,African-American,53,2,1,0.6944471172750525,0
race,African-American,53,3,1,0.9693140170174337,0
race,African-American,53,4,1,0.9825035340573576,0
race,African-American,23,1,0,0.7460755158109581,0
race,African-American,23,2,0,0.7883289979131899,0
race,African-American,23,3,0,0.7782593567256841,0
race,African-American,23,4,0,0.8449651839281274,0
race,African-American,23,1,1,0.8955247105484437,0
race,African-American,23,2,1,0.8590365085036326,0
race,African-American,23,3,1,0.9430221490157008,0
race,African-American,23,4,1,0.9002677471695801,0
race,African-American,24,1,0,0.7411545009816091,0
race,African-American,24,2,0,0.7828212466813218,0
race,African-American,24,3,0,0.7749068770536345,0
race,African-American,24,4,0,0.862096599423001,0
race,African-American,24,1,1,0.9488072539132482,0
race,African-American,24,2,1,0.9023632429230178,0
race,African-American,24,4,1,0.9435160391228609,0
race,African-American,26,1,1,0.8378519440388563,0
race,African-American,26,2,1,0.8692351014602474,0
race,African-American,26,3,1,0.9596977381729658,0
race,African-American,26,4,1,0.9410279231777098,0
race,African-American,26,1,0,0.7140134963334793,0
race,African-American,26,2,0,0.7869834172632544,0
race,African-American,26,3,0,0.7430312008437354,0
race,African-American,26,4,0,0.8380079134033728,0
race,African-American,35,1,1,0.8227261844968998,0
race,African-American,35,4,1,0.9295165354878029,0
race,African-American,35,1,0,0.7179068879366275,0
race,African-American,35,2,0,0.7718419195933066,0
race,African-American,35,3,0,0.7405768810634041,0
race,African-American,35,4,0,0.8504680303952225,0
race,African-American,38,1,0,0.6856824228029401,0
race,African-American,38,2,0,0.733040085295683,0
race,African-American,38,3,0,0.7892406778925048,0
race,African-American,38,4,0,0.7848298013581076,0
race,African-American,38,1,1,0.9250375724205385,0
race,African-American,38,2,1,0.9104310216120537,0
race,African-American,38,3,1,0.9742374898066661,0
race,African-American,38,4,1,0.9827425302851592,0
race,African-American,25,1,0,0.7369421705457427,0
race,African-American,25,2,0,0.719194760185354,0
race,African-American,25,3,0,0.7710904174213363,0
race,African-American,25,4,0,0.8391497429569774,0
race,African-American,25,1,1,0.9359880655321002,0
race,African-American,25,2,1,0.9469484546182477,0
race,African-American,25,3,1,0.9203681625534699,0
race,African-American,25,4,1,0.9565883331501264,0
race,African-American,32,1,0,0.7111892381533631,0
race,African-American,32,2,0,0.7082973732811516,0
race,African-American,32,3,0,0.7646290476427138,0
race,African-American,32,4,0,0.8399065833054695,0
race,African-American,32,1,1,0.9311026974958593,0
race,African-American,32,2,1,0.9656534117298545,0
race,African-American,32,3,1,0.8389249399414794,0
race,African-American,32,4,1,0.9787012275315734,0
race,African-American,42,1,0,0.6873203721667291,0
race,African-American,42,2,0,0.7449378530915021,0
race,African-American,42,3,0,0.7853631034302324,0
race,African-American,42,4,0,0.8296033921582829,0
race,African-American,42,2,1,0.9651905072077913,0
race,African-American,42,4,1,0.9334009014753313,0
race,African-American,41,1,0,0.6951922526775738,0
race,African-American,41,2,0,0.750665133841179,0
race,African-American,41,3,0,0.7508174102959403,0
race,African-American,41,4,0,0.780048236150537,0
race,African-American,41,2,1,0.9412093513556188,0
race,African-American,41,4,1,0.9709366529188501,0
race,African-American,33,1,0,0.7026440493891127,0
race,African-American,33,2,0,0.7563575738516531,0
race,African-American,33,3,0,0.760609954500219,0
race,African-American,33,4,0,0.8067828563348775,0
race,African-American,33,1,1,0.8373849494462337,0
race,African-American,33,2,1,0.96265323362919,0
race,African-American,33,3,1,0.9239113476615877,0
race,African-American,33,4,1,0.9267068386709197,0
race,African-American,31,1,0,0.7010702408784402,0
race,African-American,31,2,0,0.7491311650657725,0
race,African-American,31,3,0,0.7478479771375479,0
race,African-American,31,4,0,0.8480845779412078,0
race,African-American,31,1,1,0.9486272276064547,0
race,African-American,31,2,1,0.9705554035972457,0
race,African-American,31,4,1,0.9391445086575206,0
race,African-American,50,1,0,0.6569249752873955,0
race,African-American,50,2,0,0.7381883118691992,0
race,African-American,50,3,0,0.7402920333503654,0
race,African-American,50,4,0,0.8175720547212819,0
race,African-American,50,1,1,0.9425998152532168,0
race,African-American,50,4,1,0.9753796551043207,0
race,African-American,28,1,0,0.6973498158965544,0
race,African-American,28,2,0,0.7609088537712075,0
race,African-American,28,3,0,0.7894681306633138,0
race,African-American,28,4,0,0.8465700732276936,0
race,African-American,28,1,1,0.8462628373368756,0
race,African-American,28,2,1,0.9725165471224784,0
race,African-American,28,3,1,0.8714029409772064,0
race,African-American,28,4,1,0.9337121340216732,0
race,African-American,52,1,0,0.6760032992538269,0
race,African-American,52,2,0,0.7840876470591145,0
race,African-American,52,3,0,0.8227608967373126,0
race,African-American,52,4,0,0.7881140214789637,0
race,African-American,52,1,1,0.9523167185268269,0
race,African-American,52,2,1,0.8800257297429175,0
race,African-American,52,4,1,0.8638388511081648,0
race,African-American,51,1,0,0.6536625330138325,0
race,African-American,51,2,0,0.767478657151533,0
race,African-American,51,3,0,0.6886962626874655,0
race,African-American,51,4,0,0.7719706801080047,0
race,African-American,51,1,1,0.9694247726498676,0
race,African-American,51,3,1,0.9702784776696279,0
race,African-American,51,4,1,0.8957131730464272,0
race,African-American,40,1,0,0.6680894126353233,0
race,African-American,40,2,0,0.6994971561674176,0
race,African-American,40,3,0,0.7727981481297104,0
race,African-American,40,4,0,0.8188252474206593,0
race,African-American,40,1,1,0.7058954222022713,0
race,African-American,40,2,1,0.6390370479498042,0
race,African-American,40,3,1,0.8370078440129943,0
race,African-American,40,4,1,0.9774894802737184,0
race,African-American,60,2,1,0.8541474534680557,0
race,African-American,60,3,1,0.9673185057675484,0
race,African-American,60,1,0,0.6813325626946678,0
race,African-American,60,2,0,0.7590206851548593,0
race,African-American,60,4,0,0.8185765599175715,0
race,African-American,39,1,0,0.6848702954367559,0
race,African-American,39,2,0,0.7143223573842432,0
race,African-American,39,3,0,0.752295820041153,0
race,African-American,39,4,0,0.8224882981061252,0
race,African-American,39,1,1,0.527944978254599,0
race,African-American,39,2,1,0.9117117048950838,0
race,African-American,39,4,1,0.9816582279062104,0
race,African-American,47,1,0,0.6857651876195321,0
race,African-American,47,2,0,0.7615945111240718,0
race,African-American,47,3,0,0.7286796772163707,0
race,African-American,47,4,0,0.8126354210983737,0
